OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day,Snow_Emerg
61,12/30/2019 11:03pm,Snow Emergency,"39TH & CHICAGO AVE ,Minneapolis,MN",44.93236,-93.26251,8,Bryant,Powderhorn,3,1,Kasota
62,12/30/2019 11:03pm,Snow Emergency,"4831 CHICAGO AVE S ,Minneapolis,MN",44.914909,-93.262485,11,Northrop,Nokomis,5,1,Kasota
63,12/30/2019 11:05pm,Snow Emergency,"700 UNIVERSITY AVE SE,Minneapolis,MN",44.98297,-93.24622,3,Marcy Holmes,University,5,1,Kasota
64,12/30/2019 10:44pm,Snow Emergency,"4741 4TH AVE S,Minneapolis,MN",44.91666,-93.26992,8,Field,Nokomis,4,1,Kasota
65,12/30/2019 11:10pm,Snow Emergency,"29TH & IRVING AVE ,Minneapolis,MN",45.00957,-93.29937,5,Jordan,Near North,5,1,Kasota
66,12/30/2019 11:14pm,Snow Emergency,"748 4TH ST SE,Minneapolis,MN",44.983957,-93.24484,3,Marcy Holmes,University,6,1,Kasota
67,12/30/2019 11:16pm,Snow Emergency,"717 UNIVERSITY AVE NE,Minneapolis,MN",44.996346,-93.261914,3,St. Anthony West,Northeast,4,1,Kasota
68,12/30/2019 11:21pm,Snow Emergency,"780 UNIVERSITY AVE SE,Minneapolis,MN",44.982844,-93.245283,3,Marcy Holmes,University,3,1,Kasota
69,12/30/2019 11:22pm,Snow Emergency,"40TH & CHICAGO AVE ,Minneapolis,MN",44.93055,-93.26249,8,Bryant,Powderhorn,6,1,Kasota
70,12/30/2019 11:25pm,Snow Emergency,"3215 LYNDALE AVE N,Minneapolis,MN",45.01364,-93.28837,4,McKinley,Camden,5,1,Kasota
71,12/30/2019 11:25pm,Snow Emergency,"GRANT & LASALLE AVE ,Minneapolis,MN",44.96985,-93.27933,7,Loring Park,Central,3,1,Kasota
72,12/30/2019 11:26pm,Snow Emergency,"1300 BLK LASALLE AVE,Minneapolis,MN",44.970431,-93.279455,7,Loring Park,Central,3,1,Kasota
73,12/30/2019 11:27pm,Snow Emergency,"401-499 2ND ST N ,Minneapolis,MN",44.98629,-93.27336,3,North Loop,Central,1,1,Kasota
74,12/30/2019 11:27pm,Snow Emergency,"2900 IRVING AVE S,Minneapolis,MN",44.94927,-93.30224,7,East Isles,Calhoun Isle,3,1,Kasota
75,12/30/2019 11:29pm,Snow Emergency,"600-698 UNIVERSITY AVE SE,Minneapolis,MN",44.9835,-93.24756,3,Marcy Holmes,University,5,1,Kasota
76,12/30/2019 11:29pm,Snow Emergency,"300 8TH SE,Minneapolis,MN",44.974316,-93.268895,7,Downtown West,Central,1,1,Kasota
77,12/30/2019 11:30pm,Snow Emergency,"400 8TH ST SE,Minneapolis,MN",44.98966,-93.24676,3,Marcy Holmes,University,3,1,Kasota
78,12/30/2019 11:36pm,Snow Emergency,"GRANT & LASALLE AVE ,Minneapolis,MN",44.96985,-93.27933,7,Loring Park,Central,3,1,Kasota
79,12/30/2019 11:36pm,Snow Emergency,"27TH & HENNEPIN AVE ,Minneapolis,MN",44.95372,-93.29763,7,East Isles,Calhoun Isle,5,1,Kasota
80,12/30/2019 11:38pm,Snow Emergency,"GRANT & LASALLE AVE ,Minneapolis,MN",44.96985,-93.27933,7,Loring Park,Central,3,1,Kasota
81,12/30/2019 11:43pm,Snow Emergency,"31ST & IRVING AVE S,Minneapolis,MN",44.94655,-93.30211,10,ECCO,Calhoun Isle,4,1,Kasota
82,12/30/2019 11:45pm,Snow Emergency,"40TH & BLOOMINGTON AVE S,Minneapolis,MN",44.93051,-93.25239,8,Bancroft,Powderhorn,5,1,Kasota
83,12/30/2019 11:47pm,Snow Emergency,"600 8TH ST SE,Minneapolis,MN",44.98857,-93.24368,3,Marcy Holmes,University,1,1,Kasota
84,12/30/2019 11:47pm,Snow Emergency,"1417 LASALLE AVE ,Minneapolis,MN",44.96824,-93.2789,7,Loring Park,Central,3,1,Kasota
85,12/30/2019 11:49pm,Snow Emergency,"4001 BLOOMINGTON AVE S,Minneapolis,MN",44.92993,-93.25234,8,Bancroft,Powderhorn,3,1,Kasota
86,12/30/2019 11:52pm,Snow Emergency,"1362 LASALLE AVE ,Minneapolis,MN",44.96934,-93.27976,7,Loring Park,Central,5,1,Kasota
87,12/30/2019 11:54pm,Snow Emergency,"1362 LASALLE AVE ,Minneapolis,MN",44.96934,-93.27976,7,Loring Park,Central,6,1,Kasota
88,12/30/2019 11:57pm,Snow Emergency,"500 8TH ST SE,Minneapolis,MN",44.989182,-93.245019,3,Marcy Holmes,University,1,1,Kasota
89,12/30/2019 11:57pm,Snow Emergency,"1417 LASALLE AVE S,Minneapolis,MN",44.96824,-93.2789,7,Loring Park,Central,5,1,Kasota
90,12/31/2019 12:02am,Snow Emergency,"1100 VAN WHITE BLVD,Minneapolis,MN",44.98934,-93.29227,5,Near - North,Near North,3,1,Kasota
91,12/31/2019 12:03am,Snow Emergency,"1462 LASALLE AVE,Minneapolis,MN",44.968123,-93.279513,7,Loring Park,Central,1,1,Kasota
92,12/31/2019 12:06am,Snow Emergency,"300-398 11 AVE SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,3,1,Kasota
93,12/31/2019 12:08am,Snow Emergency,"1100 VAN WHITE BLVD,Minneapolis,MN",44.98934,-93.29227,5,Near - North,Near North,1,1,Kasota
94,12/31/2019 12:09am,Snow Emergency,"301 11TH AVE SE,Minneapolis,MN",44.981382,-93.240746,3,Marcy Holmes,University,4,1,Kasota
95,12/31/2019 12:09am,Snow Emergency,"1517 LASALLE AVE ,Minneapolis,MN",44.96711,-93.2789,7,Loring Park,Central,4,1,Kasota
96,12/31/2019 12:13am,Snow Emergency,"1425 LASALLE AVE S,Minneapolis,MN",44.96798,-93.27908,7,Loring Park,Central,1,1,Kasota
97,12/30/2019 11:35am,Snow Emergency,"38TH ST E & CHICAGO AVE S,Minneapolis,MN",44.93416,-93.26248,8,Powderhorn Park,Powderhorn,6,1,Kasota
98,12/31/2019 12:14am,Snow Emergency,"311 11TH AVE SE,Minneapolis,MN",44.98168,-93.24067,3,Marcy Holmes,University,4,1,Kasota
99,12/31/2019 12:15am,Snow Emergency,"4200 CHICAGO AVE S,Minneapolis,MN",44.92678,-93.26289,8,Regina,Nokomis,5,1,Kasota
100,12/31/2019 12:17am,Snow Emergency,"1501 LASALLE ,Minneapolis,MN",44.96746,-93.27908,7,Loring Park,Central,1,1,Kasota
101,12/31/2019 12:22am,Snow Emergency,"3125 BLOOMINGTON AVE S,Minneapolis,MN",44.94572,-93.2521,9,Powderhorn Park,Powderhorn,1,1,Kasota
102,12/31/2019 12:22am,Snow Emergency,"1362 LASALLE AVE ,Minneapolis,MN",44.96934,-93.27976,7,Loring Park,Central,6,1,Kasota
103,12/31/2019 12:25am,Snow Emergency,"1525 LASALLE AVE S,Minneapolis,MN",44.96686,-93.2789,7,Loring Park,Central,1,1,Kasota
104,12/31/2019 12:26am,Snow Emergency,"1530 LASALLE AVE S,Minneapolis,MN",44.96668,-93.2797,7,Loring Park,Central,5,1,Kasota
105,12/31/2019 12:27am,Snow Emergency,"1530 LASALLE AVE ,Minneapolis,MN",44.96668,-93.2797,7,Loring Park,Central,6,1,Kasota
106,12/31/2019 12:28am,Snow Emergency,"2122 EMERSON AVE N ,Minneapolis,MN",45.00108,-93.29366,5,Hawthorne,Near North,4,1,Kasota
107,12/31/2019 12:29am,Snow Emergency,"4TH ST SE & 6TH AVE SE,Minneapolis,MN",44.98492,-93.24688,3,Marcy Holmes,University,3,1,Kasota
108,12/31/2019 12:29am,Snow Emergency,"2000 E 31ST ST,Minneapolis,MN",44.94668,-93.243559,9,Corcoran,Powderhorn,5,1,Kasota
109,12/31/2019 12:30am,Snow Emergency,"1800 LASALLE AVE S,Minneapolis,MN",44.96521,-93.27963,7,Steven's Square - Loring Heights,Central,3,1,Kasota
110,12/31/2019 12:31am,Snow Emergency,"1399 UPTON AVE N ,Minneapolis,MN",44.993179,-93.314755,5,Willard - Hay,Near North,3,1,Kasota
111,12/31/2019 12:32am,Snow Emergency,"2304 EMERSON AVE N ,Minneapolis,MN",45.00282,-93.29367,5,Hawthorne,Near North,1,1,Kasota
112,12/31/2019 12:34am,Snow Emergency,"2122 EMERSON AVE N ,Minneapolis,MN",45.00108,-93.29366,5,Hawthorne,Near North,2,1,Kasota
113,12/31/2019 12:35am,Snow Emergency,"299 11TH AVE SE,Minneapolis,MN",44.981199,-93.240974,3,Marcy Holmes,University,1,1,Kasota
114,12/31/2019 12:37am,Snow Emergency,"1806 LASALLE AVE,Minneapolis,MN",44.96503,-93.27971,7,Steven's Square - Loring Heights,Central,4,1,Kasota
115,12/31/2019 12:39am,Snow Emergency,"1806 LASALLE ,Minneapolis,MN",44.96503,-93.27971,7,Steven's Square - Loring Heights,Central,6,1,Kasota
116,12/31/2019 12:39am,Snow Emergency,"4900 CHICAGO AVE S,Minneapolis,MN",44.91409,-93.26303,8,Field,Nokomis,3,1,Kasota
117,12/31/2019 12:39am,Snow Emergency,"299 11TH AVE SE,Minneapolis,MN",44.981199,-93.240974,3,Marcy Holmes,University,2,1,Kasota
118,12/31/2019 12:43am,Snow Emergency,"2200 E 31 ST ,Minneapolis,MN",44.946685,-93.240429,9,Corcoran,Powderhorn,6,1,Kasota
119,12/31/2019 12:44am,Snow Emergency,"499 2ND ST N ,Minneapolis,MN",44.986812,-93.273626,3,North Loop,Central,3,1,Kasota
120,12/31/2019 12:45am,Snow Emergency,"3008 EMERSON AVE N ,Minneapolis,MN",45.01173,-93.29395,5,Hawthorne,Near North,3,1,Kasota
121,12/31/2019 12:49am,Snow Emergency,"1806 LASALLE AVE S,Minneapolis,MN",44.96503,-93.27971,7,Steven's Square - Loring Heights,Central,2,1,Kasota
122,12/31/2019 12:49am,Snow Emergency,"4898 UPTON AVE S,Minneapolis,MN",44.91436,-93.315175,13,Fulton,Southwest,1,1,Kasota
123,12/31/2019 12:51am,Snow Emergency,"498 2ND ST N ,Minneapolis,MN",44.987044,-93.273441,3,North Loop,Central,4,1,Kasota
124,12/31/2019 12:54am,Snow Emergency,"3226 EMERSON AVE N ,Minneapolis,MN",45.01403,-93.29394,4,Folwell,Camden,4,1,Kasota
125,12/31/2019 12:59am,Snow Emergency,"3200 BLOOMINGTON AVE S,Minneapolis,MN",44.94458,-93.25279,9,Powderhorn Park,Powderhorn,4,1,Kasota
126,12/31/2019 01:00am,Snow Emergency,"3500 BLOOMINGTON AVE S,Minneapolis,MN",44.93937,-93.25266,9,Powderhorn Park,Powderhorn,3,1,Kasota
127,12/31/2019 01:00am,Snow Emergency,"1806 LASALLE AVE ,Minneapolis,MN",44.96503,-93.27971,7,Steven's Square - Loring Heights,Central,3,1,Kasota
128,12/31/2019 01:02am,Snow Emergency,"1001 2ND ST SE,Minneapolis,MN",44.981019,-93.243233,3,Marcy Holmes,University,4,1,Kasota
129,12/31/2019 01:02am,Snow Emergency,"1800 LASALLE AVE S,Minneapolis,MN",44.96521,-93.27963,7,Steven's Square - Loring Heights,Central,6,1,Kasota
130,12/31/2019 01:03am,Snow Emergency,"2200 E 31ST ST ,Minneapolis,MN",44.946685,-93.240429,9,Corcoran,Powderhorn,1,1,Kasota
131,12/31/2019 01:07am,Snow Emergency,"4700 MINNEHAHA AVE S,Minneapolis,MN",44.91808,-93.2145,12,Hiawatha,Longfellow,3,1,Kasota
132,12/31/2019 01:08am,Snow Emergency,"1822 LASALLE AVE S,Minneapolis,MN",44.96444,-93.27985,7,Steven's Square - Loring Heights,Central,4,1,Kasota
133,12/31/2019 01:09am,Snow Emergency,"1822 LASALLE AVE S,Minneapolis,MN",44.96444,-93.27985,7,Steven's Square - Loring Heights,Central,1,1,Kasota
134,12/31/2019 01:10am,Snow Emergency,"3311 FREMONT AVE N ,Minneapolis,MN",45.01537,-93.29594,4,Folwell,Camden,2,1,Kasota
135,12/31/2019 01:15am,Snow Emergency,"2414 EMERSON AVE N ,Minneapolis,MN",45.00428,-93.29366,5,Hawthorne,Near North,6,1,Kasota
136,12/31/2019 01:16am,Snow Emergency,"3143 BLOOMINGTON AVE S,Minneapolis,MN",44.94527,-93.2521,9,Powderhorn Park,Powderhorn,1,1,Kasota
137,12/31/2019 01:16am,Snow Emergency,"1822 LASALLE AVE,Minneapolis,MN",44.96444,-93.27985,7,Steven's Square - Loring Heights,Central,4,1,Kasota
138,12/31/2019 01:16am,Snow Emergency,"301 10TH AVE N ,Minneapolis,MN",44.989199,-93.281839,3,North Loop,Central,1,1,Kasota
139,12/31/2019 01:17am,Snow Emergency,"1362 LASALLE AVE S,Minneapolis,MN",44.96934,-93.27976,7,Loring Park,Central,3,1,Kasota
140,12/31/2019 01:17am,Snow Emergency,"220 11TH AVE SE,Minneapolis,MN",44.980404,-93.241529,2,Marcy Holmes,University,6,1,Kasota
141,12/31/2019 01:18am,Snow Emergency,"1822 LASALLE AVE,Minneapolis,MN",44.96444,-93.27985,7,Steven's Square - Loring Heights,Central,1,1,Kasota
142,12/31/2019 01:19am,Snow Emergency,"301 10TH AVE N ,Minneapolis,MN",44.989199,-93.281839,3,North Loop,Central,4,1,Kasota
143,12/31/2019 01:19am,Snow Emergency,"1822 LASALLE AVE ,Minneapolis,MN",44.96444,-93.27985,7,Steven's Square - Loring Heights,Central,3,1,Kasota
144,12/31/2019 01:20am,Snow Emergency,"3393 FREMONT AVE N ,Minneapolis,MN",45.016488,-93.295725,4,Folwell,Camden,2,1,Kasota
145,12/31/2019 01:20am,Snow Emergency,"220 11TH AVE SE,Minneapolis,MN",44.980404,-93.241529,2,Marcy Holmes,University,3,1,Kasota
146,12/31/2019 01:22am,Snow Emergency,"3311 FREMONT AVE N ,Minneapolis,MN",45.01537,-93.29594,4,Folwell,Camden,4,1,Kasota
147,12/31/2019 01:22am,Snow Emergency,"1932 LASALLE AVE ,Minneapolis,MN",44.963027,-93.279557,7,Steven's Square - Loring Heights,Central,6,1,Kasota
148,12/31/2019 01:22am,Snow Emergency,"2567 ESSEX ST SE,Minneapolis,MN",44.971244,-93.22197,2,Prospect Park - East River Road,University,6,1,Kasota
149,12/31/2019 01:26am,Snow Emergency,"498 2ND ST N ,Minneapolis,MN",44.987044,-93.273441,3,North Loop,Central,4,1,Kasota
150,12/31/2019 01:27am,Snow Emergency,"4600 MINNEHAHA AVE ,Minneapolis,MN",44.919409,-93.214893,12,Hiawatha,Longfellow,3,1,Kasota
151,12/31/2019 01:28am,Snow Emergency,"307 16TH AVE SE,Minneapolis,MN",44.97878,-93.23381,2,University of Minnesota,University,4,1,Kasota
152,12/31/2019 01:30am,Snow Emergency,"1800 E 31ST ST,Minneapolis,MN",44.94675,-93.24852,9,Powderhorn Park,Powderhorn,3,1,Kasota
153,12/31/2019 01:31am,Snow Emergency,"2567 ESSEX ST SE,Minneapolis,MN",44.971244,-93.22197,2,Prospect Park - East River Road,University,4,1,Kasota
154,12/31/2019 01:32am,Snow Emergency,"1907 LASALLE AVE,Minneapolis,MN",44.96393,-93.279131,7,Steven's Square - Loring Heights,Central,3,1,Kasota
155,12/31/2019 01:33am,Snow Emergency,"2700 E 38TH ST ,Minneapolis,MN",44.93423,-93.23302,12,Standish,Powderhorn,6,1,Kasota
156,12/31/2019 01:31am,Snow Emergency,"31ST & HENNEPIN AVE ,Minneapolis,MN",44.9466,-93.29832,10,ECCO,Calhoun Isle,6,1,Kasota
157,12/31/2019 01:35am,Snow Emergency,"4901 UPTON AVE S,Minneapolis,MN",44.91409,-93.31468,13,Fulton,Southwest,3,1,Kasota
158,12/31/2019 01:36am,Snow Emergency,"3901 4TH AVE S,Minneapolis,MN",44.93214,-93.26989,8,Bryant,Powderhorn,6,1,Kasota
159,12/31/2019 01:38am,Snow Emergency,"700 E 15TH ST ,Minneapolis,MN",44.968195,-93.2649,7,Elliot Park,Central,2,1,Kasota
160,12/31/2019 01:40am,Snow Emergency,"3427 FREMONT AVE N ,Minneapolis,MN",45.01758,-93.29594,4,Folwell,Camden,1,1,Kasota
161,12/31/2019 01:41am,Snow Emergency,"3901 4TH AVE S,Minneapolis,MN",44.93214,-93.26989,8,Bryant,Powderhorn,6,1,Kasota
162,12/31/2019 01:45am,Snow Emergency,"4599 NICOLLET AVE S,Minneapolis,MN",44.91976,-93.277815,8,King Field,Southwest,6,1,Kasota
163,12/31/2019 01:45am,Snow Emergency,"2630 ESSEX ST SE,Minneapolis,MN",44.97045,-93.220764,2,Prospect Park - East River Road,University,5,1,Kasota
164,12/31/2019 01:46am,Snow Emergency,"3443 FREMONT AVE N ,Minneapolis,MN",45.01802,-93.29594,4,Folwell,Camden,2,1,Kasota
165,12/31/2019 01:48am,Snow Emergency,"27TH & ESSEX ST SE,Minneapolis,MN",44.97037,-93.22019,2,Prospect Park - East River Road,University,5,1,Kasota
166,12/31/2019 01:50am,Snow Emergency,"700 15TH ST E,Minneapolis,MN",44.968195,-93.2649,7,Elliot Park,Central,3,1,Kasota
167,12/31/2019 01:50am,Snow Emergency,"700 15TH ST E,Minneapolis,MN",44.968195,-93.2649,7,Elliot Park,Central,4,1,Kasota
168,12/31/2019 01:51am,Snow Emergency,"698 WASHINGTON AVE N ,Minneapolis,MN",44.987424,-93.276344,3,North Loop,Central,3,1,Kasota
169,12/31/2019 01:53am,Snow Emergency,"3407 FREMONT AVE N ,Minneapolis,MN",45.01704,-93.29594,4,Folwell,Camden,5,1,Kasota
170,12/31/2019 01:54am,Snow Emergency,"700 15TH ST E,Minneapolis,MN",44.968195,-93.2649,7,Elliot Park,Central,3,1,Kasota
171,12/31/2019 01:58am,Snow Emergency,"2630 ESSEX ST SE,Minneapolis,MN",44.97045,-93.220764,2,Prospect Park - East River Road,University,1,1,Kasota
172,12/31/2019 01:58am,Snow Emergency,"2624 ESSEX ST SE,Minneapolis,MN",44.9703,-93.22077,2,Prospect Park - East River Road,University,5,1,Kasota
