X,Y,OBJECTID,Call_Taken,Community,Customer,Day,Latitude,Location,Longitude,Neighbohoo,Tow_Zone,Ward
-10381887.2559318,5610990.87458842,20,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93307,"3833 Chicago Avenue S,Minneapolis,MN",-93.26208,Bancroft,6,8
-10384016.9091097,5624452.04080093,21,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.018612,"3500 blk 2nd st n,Minneapolis,MN",-93.281211,McKinley,1,4
-10383273.1835329,5619638.82541966,22,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.98804,"600 2nd st n,Minneapolis,MN",-93.27453,North Loop,1,3
-10378920.5914468,5619242.19446876,23,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98552,"8TH ST SE & 12TH AVE SE,Minneapolis,MN",-93.23543,Marcy Holmes,4,3
-10383273.1835329,5619638.82541966,24,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.98804,"600 2nd st n,Minneapolis,MN",-93.27453,North Loop,1,3
-10378460.8419721,5618979.35744559,25,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98385,"8 st se & 15 ave se,Minneapolis,MN",-93.2313,Marcy Holmes,4,3
-10381975.1982804,5611060.06301144,26,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93351,"3818 Chicago Ave S ,Minneapolis,MN",-93.26287,Bryant,5,8
-10384752.5082892,5623608.14111665,27,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.013253,"3200 LYNDALE AVE N ,Minneapolis,MN",-93.287819,McKinley,1,4
-10383273.1835329,5619638.82541966,28,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.98804,"600 2ND ST N ,Minneapolis,MN",-93.27453,North Loop,1,3
-10383273.1835329,5619638.82541966,29,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.98804,"600 block of 2 st n,Minneapolis,MN",-93.27453,North Loop,1,3
-10381954.9381999,5610789.28756205,30,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.931788,"3926 CHICAGO AVE S,Minneapolis,MN",-93.262688,Bryant,5,8
-10378764.7441808,5619154.05667249,31,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98496,"8TH ST SE & 13TH AVE SE,Minneapolis,MN",-93.23403,Marcy Holmes,4,3
-10384016.9091097,5624452.04080093,32,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.018612,"3500 2ND ST N ,Minneapolis,MN",-93.281211,McKinley,1,4
-10382780.9287696,5613337.44636312,33,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.947991,"3019 4TH AVE S,Minneapolis,MN",-93.270108,Central,5,9
-10384633.5077719,5627438.05415927,34,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.03757,"4500 LYNDALE AVE N ,Minneapolis,MN",-93.28675,Camden Industrial,1,4
-10384758.1855447,5627620.79420326,35,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.03873,"4601 LYNDALE AVE N,Minneapolis,MN",-93.28787,Lind - Bohanon,1,4
-10383817.5359178,5622015.82849133,36,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.00314,"2300 2ND ST N ,Minneapolis,MN",-93.27942,Hawthorne,1,5
-10382239.5821496,5615700.0463383,37,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 park av S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10382239.5821496,5615700.0463383,38,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 park ave S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10382761.1138875,5613307.40465871,39,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.9478,"3017 4th ave s ,Minneapolis,MN",-93.26993,Central,5,9
-10381912.0801216,5610696.04321635,40,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.931195,"3935 Chicago ave S,Minneapolis,MN",-93.262303,Bancroft,6,8
-10384756.5157754,5621576.5867054,41,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.00035,"2100 lyndale ave n,Minneapolis,MN",-93.287855,Hawthorne,1,5
-10381887.2559318,5610633.93326974,42,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.9308,"3949 CHICAGO AVE S,Minneapolis,MN",-93.26208,Bancroft,6,8
-10382745.529241,5611641.89634644,43,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93721,"3615 4TH AVE S,Minneapolis,MN",-93.26979,Central,5,8
-10382239.5821496,5615700.0463383,44,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 PARK AVE S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10383807.5171021,5606529.33647145,45,2020/02/09 00:00:00+00,Southwest,Snow Emergency,1,44.90469,"100 W DIAMOND LAKE RD,Minneapolis,MN",-93.27933,Tangletown,5,11
-10383842.0261338,5622302.37054386,46,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.00496,"2500 2ND ST N ,Minneapolis,MN",-93.27964,Hawthorne,1,5
-10382239.5821496,5615700.0463383,47,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 Park Avenue S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10379690.9224074,5619623.08574712,48,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98794,"700 block of 8th st se,Minneapolis,MN",-93.24235,Marcy Holmes,4,3
-10383807.5171021,5606529.33647145,49,2020/02/09 00:00:00+00,Southwest,Snow Emergency,1,44.90469,"102 W DIAMOND LAKE RD,Minneapolis,MN",-93.27933,Tangletown,5,11
-10383889.3369968,5622118.32122961,50,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.003791,"2400 2ND ST N ,Minneapolis,MN",-93.280065,Hawthorne,1,5
-10382239.5821496,5615700.0463383,51,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 Park Avenue S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10382239.5821496,5615700.0463383,52,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 park ave s,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10384748.166829,5625034.42317632,53,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.02231,"3700 LYNDALE AVE N ,Minneapolis,MN",-93.28778,McKinley,1,4
-10379842.3168886,5619050.18106411,54,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.9843,"8TH ST & 8TH AVE SE,Minneapolis,MN",-93.24371,Marcy Holmes,4,3
-10381934.5666946,5607047.53524536,55,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.907987,"5227 CHICAGO AVE S,Minneapolis,MN",-93.262505,Hale,6,11
-10380003.7301856,5619851.31347432,56,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98939,"8TH ST SE & 5TH AVE SE,Minneapolis,MN",-93.24516,Marcy Holmes,4,3
-10385175.5223397,5627542.49905344,57,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.038233,"4557 BRYANT AVE N ,Minneapolis,MN",-93.291619,Lind - Bohanon,1,4
-10382826.7924125,5611338.39487992,58,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93528,"3720 4TH AVE S,Minneapolis,MN",-93.27052,Central,5,8
-10382273.5345582,5616382.87560506,59,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.96735,"1520 PARK AVE S,Minneapolis,MN",-93.26555,Elliot Park,3,6
-10382210.0824256,5616866.3941485,60,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.970423,"956 PARK AVE S,Minneapolis,MN",-93.26498,Elliot Park,3,7
-10381986.3302423,5608978.35057477,61,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.92027,"4540 CHICAGO AVE S,Minneapolis,MN",-93.26297,Regina,5,8
-10382273.5345582,5616382.87560506,62,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.96735,"1520 PARK AVE S,Minneapolis,MN",-93.26555,Elliot Park,3,6
-10385176.3016121,5627996.52557614,63,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.041115,"4729 BRYANT AVE N ,Minneapolis,MN",-93.291626,Lind - Bohanon,1,4
-10383273.1835329,5619638.82541966,64,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.98804,"600 2 ST N,Minneapolis,MN",-93.27453,North Loop,1,3
-10379712.0730849,5619283.11594684,65,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98578,"6th st & 8th ave SE ,Minneapolis,MN",-93.24254,Marcy Holmes,4,3
-10385588.6289993,5622303.94490665,66,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.00497,"2500 FREMONT AVE N ,Minneapolis,MN",-93.29533,Jordan,1,5
-10382239.5821496,5615700.0463383,67,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 PARK AVE S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10381905.0670708,5606964.70317378,68,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.90746,"5245 CHICAGO AVE S,Minneapolis,MN",-93.26224,Hale,6,11
-10382239.5821496,5615700.0463383,69,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 PARK AVE S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10382273.5345582,5616382.87560506,70,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.96735,"1520 PARK AVE,Minneapolis,MN",-93.26555,Elliot Park,3,6
-10382182.5865448,5616833.98037126,71,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.970217,"957 PARK AVE S,Minneapolis,MN",-93.264733,Elliot Park,3,7
-10383031.6203107,5611700.08172774,72,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93758,"3601 3RD AVE S,Minneapolis,MN",-93.27236,Central,5,8
-10380559.2144322,5619210.71667653,73,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98532,"401 university ave se,Minneapolis,MN",-93.25015,Marcy Holmes,4,3
-10381976.3115266,5610105.62329877,74,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.92744,"4140 CHICAGO AVE S,Minneapolis,MN",-93.26288,Bryant,5,8
-10383846.1450448,5620121.73140891,75,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.991108,"200 10TH AVE N ,Minneapolis,MN",-93.279677,North Loop,1,5
-10382014.1600969,5604932.6475698,76,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.89453,"5940 CHICAGO AVE S,Minneapolis,MN",-93.26322,Diamond Lake,5,11
-10385247.9913664,5619843.44352004,77,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,44.98934,"1100 VAN WHITE MEMORIAL BLVD,Minneapolis,MN",-93.29227,Near - North,1,5
-10388179.0335734,5609547.47211907,78,2020/02/09 00:00:00+00,Southwest,Snow Emergency,1,44.92389,"4331 XERXES AVE S,Minneapolis,MN",-93.3186,Linden Hills,5,13
-10380207.4448376,5619012.40836064,79,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98406,"611 UNIVERSITY AVE SE,Minneapolis,MN",-93.24699,Marcy Holmes,4,3
-10387778.6173204,5609684.09798717,80,2020/02/09 00:00:00+00,Southwest,Snow Emergency,1,44.924759,"2810 43RD ST W,Minneapolis,MN",-93.315003,Linden Hills,5,13
-10380263.6611699,5623041.12406625,81,2020/02/09 00:00:00+00,Northeast,Snow Emergency,1,45.009652,"2100 CENTRAL AVE NE,Minneapolis,MN",-93.247495,Holland,2,1
-10383062.6783792,5613098.68814288,82,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.946473,"3101 3RD AVE S,Minneapolis,MN",-93.272639,Central,5,9
-10383846.1450448,5620121.73140891,83,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.991108,"200 10TH AVE N ,Minneapolis,MN",-93.279677,North Loop,1,5
-10381140.3021412,5624481.64716982,84,2020/02/09 00:00:00+00,Northeast,Snow Emergency,1,45.0188,"2800 CENTRAL AVE NE,Minneapolis,MN",-93.25537,Columbia Park,2,1
-10383499.1621086,5615843.21590234,85,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.96392,"19TH ST & 1ST AVE S,Minneapolis,MN",-93.27656,Steven's Square - Loring Heights,3,6
-10383800.8379249,5619292.40199332,86,2020/02/09 00:00:00+00,Central,Snow Emergency,1,44.985839,"711 4TH ST N,Minneapolis,MN",-93.27927,North Loop,1,5
-10385247.9913664,5619843.44352004,87,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,44.98934,"1100 block van white memorial blvd ,Minneapolis,MN",-93.29227,Near - North,1,5
-10383402.3141905,5612083.80015997,88,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.94002,"3440 STEVENS AVE S,Minneapolis,MN",-93.27569,Lyndale,5,8
-10378460.8419721,5618979.35744559,89,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98385,"15 ave se & 8th street ,Minneapolis,MN",-93.2313,Marcy Holmes,4,3
-10383091.1761816,5612031.90273297,90,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93969,"3498 3rd ave s,Minneapolis,MN",-93.272895,Central,5,9
-10382239.5821496,5615700.0463383,91,2020/02/09 00:00:00+00,Phillips,Snow Emergency,1,44.96301,"1950 Park Avenue S,Minneapolis,MN",-93.265245,Ventura Village,3,6
-10379421.5292304,5618711.80658616,92,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98215,"11 ave se & 4th st se,Minneapolis,MN",-93.23993,Marcy Holmes,4,3
-10387765.4816154,5607263.97109461,93,2020/02/09 00:00:00+00,Southwest,Snow Emergency,1,44.909364,"5143 UPTON AVE S,Minneapolis,MN",-93.314885,Fulton,5,13
-10385576.3838913,5623919.45674851,94,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.01523,"3300 FREMONT AVE N,Minneapolis,MN",-93.29522,Folwell,1,4
-10385577.4970374,5624765.11785532,95,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.0206,"3600 FREMONT AVE N ,Minneapolis,MN",-93.29523,Folwell,1,4
-10385597.5345688,5626817.39603374,96,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.03363,"4300 FREMONT AVE N ,Minneapolis,MN",-93.29541,Webber - Camden,1,4
-10380425.6309899,5619029.72090087,97,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98417,"504 university ave se,Minneapolis,MN",-93.24895,Marcy Holmes,4,3
-10385464.5077495,5623609.24342927,98,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.01326,"3200 EMERSON AVE N ,Minneapolis,MN",-93.294215,Folwell,1,4
-10380290.9344014,5623262.82495305,99,2020/02/09 00:00:00+00,Northeast,Snow Emergency,1,45.01106,"2300 CENTRAL AVE NE,Minneapolis,MN",-93.24774,Holland,2,1
-10379421.5292304,5618711.80658616,100,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98215,"11th av se & 4 th st se,Minneapolis,MN",-93.23993,Marcy Holmes,4,3
-10385575.270645,5624182.43776471,101,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.0169,"3400 FREMONT AVE N ,Minneapolis,MN",-93.29521,Folwell,1,4
-10380207.4448376,5619012.40836064,102,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98406,"611 university ave se,Minneapolis,MN",-93.24699,Marcy Holmes,4,3
-10380278.6892934,5625316.33621037,103,2020/02/09 00:00:00+00,Northeast,Snow Emergency,1,45.0241,"3100 CENTRAL AVE NE,Minneapolis,MN",-93.24763,Columbia Park,2,1
-10385574.1574989,5622483.43199533,104,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.00611,"2600 FREMONT AVE N,Minneapolis,MN",-93.2952,Jordan,1,5
-10385115.5211703,5628378.57444752,105,2020/02/10 00:00:00+00,Camden,Snow Emergency,1,45.04354,"4850 BRYANT AVE N ,Minneapolis,MN",-93.29108,Lind - Bohanon,1,4
-10380146.2190973,5619056.47653006,106,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98434,"612 4TH ST SE,Minneapolis,MN",-93.24644,Marcy Holmes,4,3
-10385588.6289993,5622303.94490665,107,2020/02/10 00:00:00+00,Near North,Snow Emergency,1,45.00497,"2500 FREMONT AVE N,Minneapolis,MN",-93.29533,Jordan,1,5
-10380280.9156858,5618993.5220682,108,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98394,"6TH & UNIVERSITY AVE SE,Minneapolis,MN",-93.24765,Marcy Holmes,4,3
-10379421.5292304,5618711.80658616,109,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98215,"11 AVE SE & 4 ST SE,Minneapolis,MN",-93.23993,Marcy Holmes,4,3
-10385435.0081257,5623047.10739126,110,2020/02/10 00:00:00+00,Near North,Snow Emergency,1,45.00969,"2900 EMERSON AVE N ,Minneapolis,MN",-93.29395,Hawthorne,1,5
-10383406.7669753,5612552.46195729,111,2020/02/10 00:00:00+00,Powderhorn,Snow Emergency,1,44.943,"3300 STEVENS AVE S,Minneapolis,MN",-93.27573,Lyndale,5,8
-10380073.8613952,5618933.71587784,112,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98356,"701 UNIVERSITY AVE SE,Minneapolis,MN",-93.24579,Marcy Holmes,4,3
-10383405.653729,5609423.2684493,113,2020/02/10 00:00:00+00,Southwest,Snow Emergency,1,44.9231,"4400 STEVENS AVE S,Minneapolis,MN",-93.27572,King Field,5,8
-10378508.7093581,5611028.61373967,114,2020/02/10 00:00:00+00,Powderhorn,Snow Emergency,1,44.93331,"3825 28th Avenue ,Minneapolis,MN",-93.23173,Standish,6,12
-10385589.85347,5618414.99186593,115,2020/02/10 00:00:00+00,Near North,Snow Emergency,1,44.980264,"360 FREMONT AVE N ,Minneapolis,MN",-93.295341,Harrison,3,5
-10379512.8112177,5618560.72252868,116,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98119,"11TH & UNIVERSITY AVE SE,Minneapolis,MN",-93.24075,Marcy Holmes,4,3
-10379912.4481984,5618842.43343498,117,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98298,"801 UNIVERSITY AVE SE,Minneapolis,MN",-93.24434,Marcy Holmes,4,3
-10383846.1450448,5620121.73140891,118,2020/02/10 00:00:00+00,Central,Snow Emergency,1,44.991108,"200 10TH AVE N ,Minneapolis,MN",-93.279677,North Loop,1,5
-10379421.5292304,5618711.80658616,119,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98215,"11 ave se & 4th st se,Minneapolis,MN",-93.23993,Marcy Holmes,4,3
-10383279.86271,5619398.01178745,120,2020/02/10 00:00:00+00,Central,Snow Emergency,1,44.98651,"500 WASHINGTON AVE N ,Minneapolis,MN",-93.27459,North Loop,1,3
-10376927.6386005,5611194.5104524,121,2020/02/10 00:00:00+00,Longfellow,Snow Emergency,1,44.934365,"3816 38th st E,Minneapolis,MN",-93.217527,Howe,6,12
-10380839.739471,5615187.17161969,122,2020/02/10 00:00:00+00,Phillips,Snow Emergency,1,44.95975,"2300 BLOOMINGTON AVE S,Minneapolis,MN",-93.25267,Ventura Village,3,6
-10380073.8613952,5618933.71587784,123,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98356,"701 university ave se,Minneapolis,MN",-93.24579,Marcy Holmes,4,3
-10383384.6143761,5609470.74867902,124,2020/02/10 00:00:00+00,Southwest,Snow Emergency,1,44.923402,"4398 Stevens ave s ,Minneapolis,MN",-93.275531,King Field,5,8
-10379421.5292304,5618711.80658616,125,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98215,"11 ave se & 4TH ST SE,Minneapolis,MN",-93.23993,Marcy Holmes,4,3
-10378510.9357505,5608182.89842614,126,2020/02/10 00:00:00+00,Nokomis,Snow Emergency,1,44.91521,"4815 28th ave S ,Minneapolis,MN",-93.23175,Keewaydin,6,12
-10380845.305502,5615061.31724865,127,2020/02/10 00:00:00+00,Phillips,Snow Emergency,1,44.95895,"2400 BLOOMINGTON AVE ,Minneapolis,MN",-93.25272,Midtown Phillips,3,9
-10383525.8788171,5606392.60113484,128,2020/02/10 00:00:00+00,Southwest,Snow Emergency,1,44.90382,"1ST AVE S & DIAMOND LAKE RD,Minneapolis,MN",-93.2768,Tangletown,5,11
-10383637.1983357,5615843.21590234,129,2020/02/10 00:00:00+00,Central,Snow Emergency,1,44.96392,"19TH & NICOLLET AVE S,Minneapolis,MN",-93.2778,Steven's Square - Loring Heights,3,6
-10385121.0871012,5629131.69159723,130,2020/02/10 00:00:00+00,Camden,Snow Emergency,1,45.04832,"5124 BRYANT AVE N ,Minneapolis,MN",-93.29113,Lind - Bohanon,1,4
-10384747.0536829,5611835.32489627,131,2020/02/10 00:00:00+00,Powderhorn,Snow Emergency,1,44.93844,"3531 lyndale av s,Minneapolis,MN",-93.28777,Lyndale,5,8
-10381905.0670708,5608101.15622282,132,2020/02/10 00:00:00+00,Nokomis,Snow Emergency,1,44.91469,"4837 Chicago ave s ,Minneapolis,MN",-93.26224,Northrop,6,11
-10382362.5901531,5621867.83780466,133,2020/02/10 00:00:00+00,Northeast,Snow Emergency,1,45.0022,"1400 Block 2nd st ne,Minneapolis,MN",-93.26635,Sheridan,2,3
-10380925.4555273,5619353.94194983,134,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98623,"2ND & UNIVERSITY AVE SE,Minneapolis,MN",-93.25344,Marcy Holmes,4,3
-10380855.3242176,5614203.98099362,135,2020/02/10 00:00:00+00,Phillips,Snow Emergency,1,44.9535,"2700 bloomington AVE S,Minneapolis,MN",-93.25281,Midtown Phillips,3,9
-10377658.3397969,5608903.67578789,136,2020/02/10 00:00:00+00,Nokomis,Snow Emergency,1,44.919795,"3300 block of 46th st e,Minneapolis,MN",-93.224091,Ericsson,6,12
-10385611.449446,5621560.84365151,137,2020/02/10 00:00:00+00,Near North,Snow Emergency,1,45.00025,"2100 block of Fremont Ave n,Minneapolis,MN",-93.295535,Jordan,1,5
-10380925.4555273,5619353.94194983,138,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.98623,"2ND & UNIVERSITY AVE SE,Minneapolis,MN",-93.25344,Marcy Holmes,4,3
-10381184.4960148,5619575.70963294,139,2020/02/10 00:00:00+00,University,Snow Emergency,1,44.987639,"11 ave se & university ave se,Minneapolis,MN",-93.255767,Nicollet Island - East Bank,4,3
-10383822.5452256,5616754.20540795,140,2020/02/10 00:00:00+00,Central,Snow Emergency,1,44.96971,"1350 LASALLE AVE,Minneapolis,MN",-93.279465,Loring Park,3,7
-10382362.5901531,5621867.83780466,141,2020/02/10 00:00:00+00,Northeast,Snow Emergency,1,45.0022,"1400 Block 2nd st ne,Minneapolis,MN",-93.26635,Sheridan,2,3
-10380849.7582867,5614726.2385181,142,2020/02/10 00:00:00+00,Phillips,Snow Emergency,1,44.95682,"2500 Bloomington ave,Minneapolis,MN",-93.25276,Midtown Phillips,3,9
-10385121.0871012,5629131.69159723,143,2020/02/10 00:00:00+00,Camden,Snow Emergency,1,45.04832,"5124 BRYANT AVE N,Minneapolis,MN",-93.29113,Lind - Bohanon,1,4
-10382354.2412067,5621512.04042988,144,2020/02/10 00:00:00+00,Northeast,Snow Emergency,1,44.99994,"1200 Block 2nd st ne,Minneapolis,MN",-93.266275,Sheridan,2,3
-10378509.8226044,5609838.33530942,145,2020/02/10 00:00:00+00,Nokomis,Snow Emergency,1,44.92574,"4237 28th av s,Minneapolis,MN",-93.23174,Ericsson,6,12
-10383223.0898547,5619692.3405117,146,2020/02/10 00:00:00+00,Central,Snow Emergency,1,44.98838,"615 1ST ST N ,Minneapolis,MN",-93.27408,North Loop,1,3
-10380859.7770023,5613912.97714632,147,2020/02/10 00:00:00+00,Phillips,Snow Emergency,1,44.95165,"2800 BLOOMINGTON AVE S,Minneapolis,MN",-93.25285,Midtown Phillips,3,9
-10385589.7421454,5625894.36433023,148,2020/02/10 00:00:00+00,Camden,Snow Emergency,1,45.02777,"4000 block Fremont ave n ,Minneapolis,MN",-93.29534,Webber - Camden,1,4
