X,Y,OBJECTID,Citation_N,Address,Latitude,Longitude,Neighborho,Community,Ward,Day_ID,Date,Code,Descriptio,Tow_Dist
-93.2968673704328,45.0107192992563,15,271118300133,2936 GIRARD AVE N,45.0107192993,-93.2968673706,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968521116356,45.0107612607237,16,271118300134,2938 GIRARD AVE N,45.010761261,-93.2968521118,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968215940413,45.0119285582564,17,271118300135,3018 GIRARD AVE N,45.0119285583,-93.2968215942,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968215940413,45.0120735172791,18,271118300136,3022 GIRARD AVE N,45.0120735168,-93.2968215942,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968444826867,45.0134201045543,19,271118300137,3204 GIRARD AVE N,45.013420105,-93.2968444824,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968292238895,45.0133285526706,20,271118300138,3202 GIRARD AVE N,45.0133285522,-93.2968292236,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968215940413,45.015369415666,21,271118300139,3312 GIRARD AVE N,45.0153694153,-93.2968215942,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968292238895,45.0157241820255,22,271118300140,3320 GIRARD AVE N,45.0157241821,-93.2968292236,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968368528385,45.0174598690778,23,271118300141,3422 GIRARD AVE N,45.0174598694,-93.296836853,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968444826867,45.0175514218607,24,271118300142,3424 GIRARD AVE N,45.0175514221,-93.2968444824,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968368528385,45.0178909303222,25,271118300143,3440 GIRARD AVE N,45.0178909302,-93.296836853,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968368528385,45.0205421452039,26,271118300144,3604 GIRARD AVE N,45.0205421448,-93.296836853,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968444826867,45.0206184382903,27,271118300145,3606 GIRARD AVE N,45.0206184387,-93.2968444824,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968444826867,45.0219497676677,28,271118300147,3658 GIRARD AVE N,45.0219497681,-93.2968444824,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968826292299,45.022781371663,29,271118300148,3720 GIRARD AVE N,45.0227813721,-93.2968826294,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968902590782,45.0228309629786,30,271118300149,3722 GIRARD AVE N,45.0228309631,-93.2968902588,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968826292299,45.0230026246714,31,271118300150,3728 GIRARD AVE N,45.0230026245,-93.2968826294,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968826292299,45.0230445861388,32,271118300151,3730 GIRARD AVE N,45.0230445862,-93.2968826294,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.296875000281,45.0233192444876,33,271118300152,3738 GIRARD AVE N,45.0233192444,-93.296875,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2969055178753,45.0232887268933,34,271118300153,3740 GIRARD AVE N,45.0232887268,-93.2969055176,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2969055178753,45.0233688358032,35,271118300154,3742 GIRARD AVE N,45.0233688354,-93.2969055176,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2969055178753,45.0234947202052,36,271118300155,3746 GIRARD AVE N,45.0234947205,-93.2969055176,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968826292299,45.0235671992669,37,271118300156,3744 GIRARD AVE N,45.0235671997,-93.2968826294,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2969207766725,45.0236015317853,38,271118300157,3752 GIRARD AVE N,45.023601532,-93.2969207764,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968826292299,45.0236511231009,39,271118300158,3750 GIRARD AVE N,45.023651123,-93.2968826294,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2969131468242,45.0236968994924,40,271118300159,3754 GIRARD AVE N,45.0236968994,-93.296913147,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2969131468242,45.023746490808,41,271118300160,3756 GIRARD AVE N,45.0237464905,-93.296913147,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968597414838,45.0245971676252,42,271118300161,3820 GIRARD AVE N,45.024597168,-93.2968597412,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.296897888027,45.0259895321912,43,271118300162,3902 GIRARD AVE N,45.0259895325,-93.2968978882,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.29698944081,45.0279808047704,44,271118300163,4008 GIRARD AVE N,45.0279808044,-93.2969894409,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970504759986,45.0301704408133,45,271118300164,4116 GIRARD AVE N,45.0301704407,-93.2970504761,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970504759986,45.0305557247669,46,271118300165,4128 GIRARD AVE N,45.0305557251,-93.2970504761,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970809935929,45.0331993106997,47,271118300166,4248 GIRARD AVE N,45.0331993103,-93.2970809937,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970275882525,45.0338172915348,48,271118300167,4318 GIRARD AVE N,45.0338172913,-93.2970275879,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970352172015,45.0341911316155,49,271118300168,4330 GIRARD AVE N,45.0341911316,-93.2970352173,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970504759986,45.0342254641339,50,271118300169,4332 GIRARD AVE N,45.0342254639,-93.2970504761,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970199584043,45.034332275714,51,271118300170,4338 GIRARD AVE N,45.0343322754,-93.2970199585,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970581058469,45.0344924926345,52,271118300171,4342 GIRARD AVE N,45.0344924927,-93.2970581055,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970352172015,45.0346374507578,53,271118300172,4344 GIRARD AVE N,45.0346374512,-93.2970352173,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970504759986,45.0351104734696,54,271118300174,4360 GIRARD AVE N,45.0351104736,-93.2970504761,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970428470497,45.0352020262525,55,271118300175,4364 GIRARD AVE N,45.0352020264,-93.2970428467,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970428470497,45.0351943973037,56,271118300176,4366 GIRARD AVE N,45.035194397,-93.2970428467,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970199584043,45.035133362115,57,271118300177,4362 GIRARD AVE N,45.0351333618,-93.2970199585,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2970581058469,45.0352478026441,58,271118300178,4368 GIRARD AVE N,45.0352478027,-93.2970581055,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2984008790972,45.0353431703511,59,271118300179,4366 HUMBOLDT AVE N,45.0353431702,-93.2984008789,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983779904519,45.0352478026441,60,271118300180,4364 HUMBOLDT AVE N,45.0352478027,-93.2983779907,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983551027058,45.0351829525313,61,271118300181,4362 HUMBOLDT AVE N,45.0351829529,-93.2983551025,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983779904519,45.0350952146725,62,271118300182,4360 HUMBOLDT AVE N,45.0350952148,-93.2983779907,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983779904519,45.0349731442952,63,271118300183,4356 HUMBOLDT AVE N,45.0349731445,-93.2983779907,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983322140604,45.0349197389548,64,271118300184,4354 HUMBOLDT AVE N,45.0349197388,-93.2983322144,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983856203001,45.0339012144696,65,271118300186,4314 HUMBOLDT AVE N,45.0339012146,-93.2983856201,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983474728575,45.0325775149404,66,271118300187,4226 HUMBOLDT AVE N,45.0325775146,-93.2983474731,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983703615029,45.032157897569,67,271118300188,4214 HUMBOLDT AVE N,45.0321578979,-93.2983703613,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2983551027058,45.0321197510257,68,271118300189,4210 HUMBOLDT AVE N,45.032119751,-93.2983551025,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981567383428,45.0265464778377,69,271118300191,3922 HUMBOLDT AVE N,45.0265464783,-93.2981567383,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981567383428,45.0265464778377,70,271118300192,3924 HUMBOLDT AVE N,45.0265464783,-93.2981567383,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981567383428,45.0268096923135,71,271118300193,3932 HUMBOLDT AVE N,45.0268096924,-93.2981567383,Webber - Camden,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981643672917,45.0220489502989,72,271118300194,3654 HUMBOLDT AVE N,45.0220489502,-93.2981643677,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981796260888,45.0218353271387,73,271118300195,3646 HUMBOLDT AVE N,45.0218353271,-93.2981796265,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2980957031542,45.0199966434304,74,271118300196,3542 HUMBOLDT AVE N,45.0199966431,-93.2980957031,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981338496974,45.0198135378645,75,271118300197,3538 HUMBOLDT AVE N,45.0198135376,-93.2981338501,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981491084945,45.0194244380874,76,271118300198,3528 HUMBOLDT AVE N,45.0194244385,-93.2981491089,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981185909002,45.0187873844303,77,271118300201,3504 HUMBOLDT AVE N,45.018787384,-93.2981185913,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981643672917,45.0164718630861,78,271118300202,3342 HUMBOLDT AVE N,45.0164718628,-93.2981643677,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981643672917,45.0162353512805,79,271118300203,3338 HUMBOLDT AVE N,45.0162353516,-93.2981643677,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981719971399,45.0159187314644,80,271118300204,3326 HUMBOLDT AVE N,45.0159187317,-93.2981719971,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981109619513,45.0156555178879,81,271118300205,3320 HUMBOLDT AVE N,45.0156555176,-93.2981109619,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981262207484,45.0153274532994,82,271118300206,3306 HUMBOLDT AVE N,45.0153274536,-93.2981262207,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981262207484,45.0153274532994,83,271118300207,3304 HUMBOLDT AVE N,45.0153274536,-93.2981262207,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981796260888,45.0145263668984,84,271118300208,3238 HUMBOLDT AVE N,45.0145263672,-93.2981796265,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2980880733059,45.0137710568888,85,271118300209,3216 HUMBOLDT AVE N,45.0137710571,-93.2980880737,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981567383428,45.0129547116907,86,271118300210,3120 HUMBOLDT AVE N,45.0129547119,-93.2981567383,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2980880733059,45.011573791897,87,271118300212,3004 HUMBOLDT AVE N,45.0115737915,-93.2980880737,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981567383428,45.0086174010722,88,271118300213,2722 HUMBOLDT AVE N,45.0086174011,-93.2981567383,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981719971399,45.0070762634588,89,271118300214,2634 HUMBOLDT AVE N,45.0070762634,-93.2981719971,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2980728145088,45.0065650942038,90,271118300215,2618 HUMBOLDT AVE N,45.006565094,-93.2980728149,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2981185909002,45.0064926151421,91,271118300216,2614 HUMBOLDT AVE N,45.0064926147,-93.2981185913,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.298103332103,45.006488800218,92,271118300217,2612 HUMBOLDT AVE N,45.0064888,-93.2981033325,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2980957031542,45.0064468387507,93,271118300218,2610 HUMBOLDT AVE N,45.0064468384,-93.2980957031,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2980651855598,45.0061187741621,94,271118300219,2604 HUMBOLDT AVE N,45.0061187744,-93.2980651855,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2997436523476,45.0048561098217,95,271118300220,2438 IRVING AVE N,45.0048561096,-93.2997436523,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2994766238471,45.0052909850909,96,271118300221,2506 IRVING AVE N,45.0052909851,-93.2994766235,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2994537352017,45.0053901668228,97,271118300222,2508 IRVING AVE N,45.0053901672,-93.2994537354,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993850710641,45.0055961610341,98,271118300223,2514 IRVING AVE N,45.0055961609,-93.2993850708,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993621824187,45.0057258603602,99,271118300224,2524 IRVING AVE N,45.0057258606,-93.2993621826,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993545534698,45.0066108705952,100,271118300225,2620 IRVING AVE N,45.0066108704,-93.2993545532,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993469236216,45.00669479353,101,271118300226,2624 IRVING AVE N,45.0066947937,-93.2993469238,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993621824187,45.0067443848455,102,271118300227,2626 IRVING AVE N,45.0067443848,-93.2993621826,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993621824187,45.0074005131232,103,271118300228,2648 IRVING AVE N,45.0074005127,-93.2993621826,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993850710641,45.0074539184636,104,271118300229,2650 IRVING AVE N,45.0074539185,-93.2993850708,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993850710641,45.012001037318,105,271118300230,3018 IRVING AVE N,45.0120010376,-93.2993850708,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993545534698,45.0121574402137,106,271118300231,3026 IRVING AVE N,45.0121574402,-93.2993545532,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993545534698,45.013694762903,107,271118300232,3214 IRVING AVE N,45.0136947632,-93.2993545532,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993774412159,45.0141601566659,108,271118300233,3230 IRVING AVE N,45.0141601563,-93.2993774414,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993545534698,45.0144233702424,109,271118300234,3238 IRVING AVE N,45.0144233704,-93.2993545532,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993621824187,45.0157318118736,110,271118300235,3322 IRVING AVE N,45.0157318115,-93.2993621826,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993392946727,45.0170974728701,111,271118300236,3410 IRVING AVE N,45.0170974731,-93.2993392944,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993545534698,45.0172348020445,112,271118300237,3414 IRVING AVE N,45.0172348022,-93.2993545532,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2993469236216,45.0187377931147,113,271118300238,3504 IRVING AVE N,45.018737793,-93.2993469238,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.300682067923,45.0196952824114,114,271118300239,3534 JAMES AVE N,45.019695282,-93.3006820679,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.300682067923,45.017864227652,115,271118300240,3432 JAMES AVE N,45.0178642273,-93.3006820679,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3007049556691,45.0164299007194,116,271118300241,3344 JAMES AVE N,45.0164299011,-93.3007049561,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3006744380748,45.0162506100776,117,271118300242,3342 JAMES AVE N,45.0162506104,-93.3006744385,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.300689696872,45.0153465270207,118,271118300243,3306 JAMES AVE N,45.0153465271,-93.3006896973,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3006286616833,45.0137748718129,119,271118300244,3214 JAMES AVE N,45.0137748718,-93.3006286621,Folwell,Camden,4,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3006973267202,45.0127830508972,120,271118300245,3114 JAMES AVE N,45.0127830505,-93.3006973267,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3006744380748,45.0122718807427,121,271118300246,3100 JAMES AVE N,45.0122718811,-93.3006744385,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3006973267202,45.0123023983371,122,271118300247,3028 JAMES AVE N,45.0123023987,-93.3006973267,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3006668091259,45.0121841428839,123,271118300248,3018 JAMES AVE N,45.0121841431,-93.3006668091,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3027114870454,45.003597259506,124,271118300249,2342 JAMES AVE N,45.0035972595,-93.3027114868,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.3159713745792,44.9983253482363,125,271118300868,1811 VINCENT AVE N,44.9983253479,-93.3159713745,Willard - Hay,Near North,5,3,2018/01/17 00:00:00+00,478.1000(c),Snow emergency parking restrictions - odd number address,1
-93.3159866333764,44.9926376345193,126,271118300870,1335 VINCENT AVE N,44.9926376343,-93.3159866333,Willard - Hay,Near North,5,3,2018/01/17 00:00:00+00,478.1000(c),Snow emergency parking restrictions - odd number address,1
-93.3159713745792,44.9926376345193,127,271118300871,1337 VINCENT AVE N,44.9926376343,-93.3159713745,Willard - Hay,Near North,5,3,2018/01/17 00:00:00+00,478.1000(c),Snow emergency parking restrictions - odd number address,1
-93.3159713745792,44.9919013973317,128,271118300872,1305 VINCENT AVE N,44.9919013977,-93.3159713745,Willard - Hay,Near North,5,3,2018/01/17 00:00:00+00,478.1000(c),Snow emergency parking restrictions - odd number address,1
-93.3160095211225,44.9866790773776,129,271118300873,819 VINCENT AVE N,44.9866790771,-93.3160095215,Willard - Hay,Near North,5,3,2018/01/17 00:00:00+00,478.1000(c),Snow emergency parking restrictions - odd number address,1
