X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day,Tow_Zone
-93.2384389998599,45.0210490004111,22,Oliver,2020-2042,2,271121300000,2021/01/25 00:00:00+00,2916 LINCOLN ST NE,45.021049,-93.238439,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384539996523,45.020898999789,23,Oliver,2020-2043,2,271121300000,2021/01/25 00:00:00+00,2614 LINCOLN ST NE,45.020899,-93.238454,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384690003441,45.0207969995819,24,Oliver,2020-2044,2,271121300000,2021/01/25 00:00:00+00,2910 LINCOLN ST NE,45.020797,-93.238469,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384419999983,45.020654000182,25,Oliver,2020-2045,2,271121300000,2021/01/25 00:00:00+00,2908 LINCOLN ST NE,45.020654,-93.238442,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384440000905,45.0206269998362,26,Oliver,2020-2046,2,271121300000,2021/01/25 00:00:00+00,2904 LINCOLN ST NE,45.020627,-93.238444,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384510004133,45.0202040001146,27,Oliver,2020-2047,2,271121300000,2021/01/25 00:00:00+00,2848 LINCOLN ST NE,45.020204,-93.238451,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384539996523,45.0196390001398,28,Oliver,2020-2048,2,271121300000,2021/01/25 00:00:00+00,2828 LINCOLN ST NE,45.019639,-93.238454,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.238459999929,45.0193310003255,29,Oliver,2020-2049,2,271121300000,2021/01/25 00:00:00+00,2818 LINCOLN ST NE,45.019331,-93.23846,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384630000674,45.0146169996748,30,Oliver,2020-2050,2,271121300000,2021/01/25 00:00:00+00,2544 LINCOLN ST NE,45.014617,-93.238463,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2359369995928,45.0133980001177,31,Oliver,2020-2051,2,271121300000,2021/01/25 00:00:00+00,2510 ULYSSES ST NE,45.013398,-93.235937,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2358619997315,45.0161569996459,32,Oliver,2020-2052,2,271121300000,2021/01/25 00:00:00+00,2632 ULYSSES ST NE,45.016157,-93.235862,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2358290000083,45.0181249995691,33,Oliver,2020-2053,2,271121300000,2021/01/25 00:00:00+00,2736 ULYSSES ST NE,45.018125,-93.235829,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2359049999158,45.0190400003958,34,Oliver,2020-2054,2,271121300000,2021/01/25 00:00:00+00,2812 ULYSSES ST NE,45.01904,-93.235905,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2359039998697,45.0251370000726,35,Oliver,2020-2055,2,271121300000,2021/01/25 00:00:00+00,3136 ULYSSES ST NE,45.025137,-93.235904,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2359059999619,45.0252299998647,36,Oliver,2020-2056,2,271121300000,2021/01/25 00:00:00+00,3138 ULYSSES ST NE,45.02523,-93.235906,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2359100001464,45.0254310001406,37,Oliver,2020-2057,2,271121300000,2021/01/25 00:00:00+00,3142 ULYSSES ST NE,45.025431,-93.23591,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2358849998928,45.0269079999043,38,Oliver,2020-2058,2,271121300000,2021/01/25 00:00:00+00,3236 ULYSSES ST NE,45.026908,-93.235885,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2335100000864,45.0321869996304,39,Oliver,2020-2059,2,271121300000,2021/01/25 00:00:00+00,3466 WILSHIRE PL,45.032187,-93.23351,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2346139997363,45.0275099997867,40,Oliver,2020-2060,2,271121300000,2021/01/25 00:00:00+00,3256 HAYES ST NE,45.02751,-93.234614,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2346060002666,45.0272139996264,41,Oliver,2020-2061,2,271121300000,2021/01/25 00:00:00+00,3242 HAYES ST NE,45.027214,-93.234606,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2346010000361,45.0269190004116,42,Oliver,2020-2062,2,271121300000,2021/01/25 00:00:00+00,3232 HAYES ST NE,45.026919,-93.234601,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2346250002435,45.0268099998817,43,Oliver,2020-2063,2,271121300000,2021/01/25 00:00:00+00,3230 HAYES ST NE,45.02681,-93.234625,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2346280003819,45.0267220003201,44,Oliver,2020-2064,2,271121300000,2021/01/25 00:00:00+00,3228 HAYES ST NE,45.026722,-93.234628,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2320419998384,45.0199249998389,45,Oliver,2020-2065,2,271121300000,2021/01/25 00:00:00+00,2040 ARTHUR ST NE,45.019925,-93.232042,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2320500002073,45.0196640003933,46,Oliver,2020-2066,2,271121300000,2021/01/25 00:00:00+00,2832 ARTHUR ST NE,45.019664,-93.23205,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2307260003046,45.0250580000267,47,Oliver,2020-2067,2,271121300000,2021/01/25 00:00:00+00,3130 CLEVELAND ST NE,45.025058,-93.230726,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2306989999589,45.02558700014,48,Oliver,2020-2068,2,271121300000,2021/01/25 00:00:00+00,3150 CLEVELAND ST NE,45.025587,-93.230699,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2615600003937,44.8944830003902,49,Oliver,2020-2069,2,271121301000,2021/01/25 00:00:00+00,5946 ELLIOT AVE S,44.894483,-93.26156,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2615170002094,44.9000079997694,50,Oliver,2020-2070,2,271121301000,2021/01/25 00:00:00+00,5640 ELLIOT AVE S,44.900008,-93.261517,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2613689996796,44.9079700000156,51,Oliver,2020-2071,2,271121301000,2021/01/25 00:00:00+00,5226 ELLIOT AVE S,44.90797,-93.261369,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2562680000681,44.911094000188,52,Oliver,2020-2072,2,271121301000,2021/01/25 00:00:00+00,5048 13TH AVE S,44.911094,-93.256268,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2562740003448,44.9111399996114,53,Oliver,2020-2073,2,271121301000,2021/01/25 00:00:00+00,5040 13TH AVE S,44.91114,-93.256274,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2562920002756,44.9106349997055,54,Oliver,2020-2074,2,271121301000,2021/01/25 00:00:00+00,5100 13TH AVE S,44.910635,-93.256292,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2563969997217,44.9030380001037,55,Oliver,2020-2075,2,271121301000,2021/01/25 00:00:00+00,5508 13TH AVE S,44.903038,-93.256397,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2564040000445,44.9029260003347,56,Oliver,2020-2076,2,271121301000,2021/01/25 00:00:00+00,5516 13TH AVE S,44.902926,-93.256404,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.256408000229,44.9021390000149,57,Oliver,2020-2077,2,271121301000,2021/01/25 00:00:00+00,5536 13TH AVE S,44.902139,-93.256408,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2565220000902,44.8989789999809,58,Oliver,2020-2078,2,271121301000,2021/01/25 00:00:00+00,5720 13TH AVE S,44.898979,-93.256522,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2550230002113,44.9072399996263,59,Oliver,2020-2079,2,271121301000,2021/01/25 00:00:00+00,5254 14TH AVE S,44.90724,-93.255023,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.254981000073,44.9112389996802,60,Oliver,2020-2080,2,271121301000,2021/01/25 00:00:00+00,5036 14TH AVE S,44.911239,-93.254981,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2537950002391,44.9085109997829,61,Oliver,2020-2081,2,271121301000,2021/01/25 00:00:00+00,5212 15TH AVE S,44.908511,-93.253795,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2526980000126,44.8982499996378,62,Oliver,2020-2082,2,271121301000,2021/01/25 00:00:00+00,5746 BLOOMINGTON AVE,44.89825,-93.252698,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2526899996437,44.8983139998912,63,Oliver,2020-2083,2,271121301000,2021/01/25 00:00:00+00,5744 BLOOMINGTON AVE,44.898314,-93.25269,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2526539997822,44.8990380000038,64,Oliver,2020-2084,2,271121301000,2021/01/25 00:00:00+00,5716 BLOOMINGTON AVE,44.899038,-93.252654,478.1000(b),Snow emergency parking restrictions - even number address,11,Diamond Lake,Nokomis,2,6
-93.2499079999542,44.9114300003943,65,Oliver,2020-2085,2,271121301000,2021/01/25 00:00:00+00,5040 17TH AVE S,44.91143,-93.249908,478.1000(b),Snow emergency parking restrictions - even number address,11,Hale,Nokomis,2,6
-93.2284679995985,44.9037030001933,66,Oliver,2020-2086,2,271121301000,2021/01/25 00:00:00+00,5452 NOKOMIS AVE,44.903703,-93.228468,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2284689996446,44.9037679995936,67,Oliver,2020-2087,2,271121301000,2021/01/25 00:00:00+00,5450 NOKOMIS AVE,44.903768,-93.228469,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2284840003363,44.9058060000469,68,Oliver,2020-2088,2,271121301000,2021/01/25 00:00:00+00,5344 NOKOMIS AVE,44.905806,-93.228484,478.1000(b),Snow emergency parking restrictions - even number address,11,Keewaydin,Nokomis,2,6
-93.2297559996396,44.9039059996622,69,Oliver,2020-2089,2,271121301000,2021/01/25 00:00:00+00,5452 30TH AVE S,44.903906,-93.229756,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2297629999624,44.9040190003766,70,Oliver,2020-2090,2,271121301000,2021/01/25 00:00:00+00,5444 30TH AVE S,44.904019,-93.229763,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2297260000548,44.9048130001199,71,Oliver,2020-2091,2,271121301000,2021/01/25 00:00:00+00,5412 30TH AVE S,44.904813,-93.229726,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2297650000547,44.9043569997758,72,Oliver,2020-2092,2,271121301000,2021/01/25 00:00:00+00,5432 30TH AVE S,44.904357,-93.229765,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2336249999937,44.9013759999025,73,Oliver,2020-2093,2,271121301000,2021/01/25 00:00:00+00,5604 27TH AVE S,44.901376,-93.233625,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2335819998094,44.9040120000538,74,Oliver,2020-2094,2,271121301000,2021/01/25 00:00:00+00,5440 27TH AVE S,44.904012,-93.233582,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2348580001965,44.9059799999771,75,Oliver,2020-2095,2,271121301000,2021/01/25 00:00:00+00,5340 26TH AVE S,44.90598,-93.234858,478.1000(b),Snow emergency parking restrictions - even number address,11,Keewaydin,Nokomis,2,6
-93.2362450003065,44.8983509997989,76,Oliver,2020-2096,2,271121301000,2021/01/25 00:00:00+00,5748 25TH AVE S,44.898351,-93.236245,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2362010000761,44.8993010004409,77,Oliver,2020-2097,2,271121301000,2021/01/25 00:00:00+00,5716 25TH AVE S,44.899301,-93.236201,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2362129997301,44.8993239997029,78,Oliver,2020-2098,2,271121301000,2021/01/25 00:00:00+00,5712 25TH AVE S,44.899324,-93.236213,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2362240002374,44.8993760003022,79,Oliver,2020-2099,2,271121301000,2021/01/25 00:00:00+00,5708 25TH AVE S,44.899376,-93.236224,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2374950003939,44.8990020001422,80,Oliver,2020-2100,2,271121301000,2021/01/25 00:00:00+00,5728 24TH AVE S,44.899002,-93.237495,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2374629998175,44.8989070002579,81,Oliver,2020-2101,2,271121301000,2021/01/25 00:00:00+00,5732 24TH AVE S,44.898907,-93.237463,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2386990001587,44.900530999606,82,Oliver,2020-2102,2,271121301000,2021/01/25 00:00:00+00,5640 23RD AVE S,44.900531,-93.238699,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2412609995954,44.8992449996571,83,Oliver,2020-2103,2,271121301000,2021/01/25 00:00:00+00,5720 22ND AVE S,44.899245,-93.241261,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2438359996316,44.897764999755,84,Oliver,2020-2104,2,271121301000,2021/01/25 00:00:00+00,5800 20TH AVE S,44.897765,-93.243836,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2437700001854,44.8993520000948,85,Oliver,2020-2105,2,271121301000,2021/01/25 00:00:00+00,5704 20TH AVE S,44.899352,-93.24377,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.243778999701,44.8994469999791,86,Oliver,2020-2106,2,271121301000,2021/01/25 00:00:00+00,5702 20TH AVE S,44.899447,-93.243779,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2450919999958,44.8973939997334,87,Oliver,2020-2107,2,271121301000,2021/01/25 00:00:00+00,5816 19TH AVE S,44.897394,-93.245092,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2450919999958,44.8973139996414,88,Oliver,2020-2108,2,271121301000,2021/01/25 00:00:00+00,5818 19TH AVE S,44.897314,-93.245092,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.245104999696,44.8971880001262,89,Oliver,2020-2109,2,271121301000,2021/01/25 00:00:00+00,5820 19TH AVE S,44.897188,-93.245105,478.1000(b),Snow emergency parking restrictions - even number address,11,Wenonah,Nokomis,2,6
-93.2270180001805,44.9294939997483,90,Oliver,2020-2110,2,271121301000,2021/01/25 00:00:00+00,4032 31ST AVE S,44.929494,-93.227018,478.1000(b),Snow emergency parking restrictions - even number address,12,Standish,Powderhorn,2,6
-93.2270069996733,44.9297740000701,91,Oliver,2020-2111,2,271121301000,2021/01/25 00:00:00+00,4020 31ST AVE S,44.929774,-93.227007,478.1000(b),Snow emergency parking restrictions - even number address,12,Standish,Powderhorn,2,6
-93.2270139999961,44.9298190003466,92,Oliver,2020-2112,2,271121301000,2021/01/25 00:00:00+00,4018 31ST AVE S,44.929819,-93.227014,478.1000(b),Snow emergency parking restrictions - even number address,12,Standish,Powderhorn,2,6
-93.2270059996271,44.9298730001389,93,Oliver,2020-2113,2,271121301000,2021/01/25 00:00:00+00,4016 31ST AVE S,44.929873,-93.227006,478.1000(b),Snow emergency parking restrictions - even number address,12,Standish,Powderhorn,2,6
-93.2270279997423,44.9299160003232,94,Oliver,2020-2114,2,271121301000,2021/01/25 00:00:00+00,4014 31ST AVE S,44.929916,-93.227028,478.1000(b),Snow emergency parking restrictions - even number address,12,Standish,Powderhorn,2,6
-93.2270329999729,44.9273149999873,95,Oliver,2020-2115,2,271121301000,2021/01/25 00:00:00+00,4150 31ST AVE S,44.927315,-93.227033,478.1000(b),Snow emergency parking restrictions - even number address,12,Standish,Powderhorn,2,6
-93.2270679997883,44.9222599997992,96,Oliver,2020-2116,2,271121301000,2021/01/25 00:00:00+00,4432 31ST AVE S,44.92226,-93.227068,478.1000(b),Snow emergency parking restrictions - even number address,12,Ericsson,Nokomis,2,6
-93.2616849998628,44.8941029999535,97,Oliver,2020-2117,2,271121301000,2021/01/26 00:00:00+00,6003 ELLIOT AVE S,44.894103,-93.261685,478.1000(c),Snow emergency parking restrictions - odd number address,11,Diamond Lake,Nokomis,3,6
-93.2613939999331,44.9064490000214,98,Oliver,2020-2118,2,271121301000,2021/01/26 00:00:00+00,5315 ELLIOT AVE S,44.906449,-93.261394,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2613909997947,44.9065320002517,99,Oliver,2020-2119,2,271121301000,2021/01/26 00:00:00+00,5309 ELLIOT AVE S,44.906532,-93.261391,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2613960000253,44.9091169998497,100,Oliver,2020-2120,2,271121301000,2021/01/26 00:00:00+00,5159 ELLIOT AVE S,44.909117,-93.261396,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2601090000303,44.9104130002598,101,Oliver,2020-2121,2,271121301000,2021/01/26 00:00:00+00,5109 10TH AVE S,44.910413,-93.260109,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2601259999149,44.9085529999211,102,Oliver,2020-2122,2,271121301000,2021/01/26 00:00:00+00,5211 10TH AVE S,44.908553,-93.260126,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2601120001686,44.9083899995989,103,Oliver,2020-2123,2,271121301000,2021/01/26 00:00:00+00,5219 10TH AVE S,44.90839,-93.260112,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2602819999144,44.8989290003731,104,Oliver,2020-2124,2,271121301000,2021/01/26 00:00:00+00,5721 10TH AVE S,44.898929,-93.260282,478.1000(c),Snow emergency parking restrictions - odd number address,11,Diamond Lake,Nokomis,3,6
-93.2590570000805,44.8974299995949,105,Oliver,2020-2125,2,271121301000,2021/01/26 00:00:00+00,5805 11TH AVE S,44.89743,-93.259057,478.1000(c),Snow emergency parking restrictions - odd number address,11,Diamond Lake,Nokomis,3,6
-93.2588159997586,44.9093440004253,106,Oliver,2020-2126,2,271121301000,2021/01/26 00:00:00+00,5141 11TH AVE S,44.909344,-93.258816,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.256307000068,44.906263999584,107,Oliver,2020-2127,2,271121301000,2021/01/26 00:00:00+00,5329 13TH AVE S,44.906264,-93.256307,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2567170000895,44.8915920001707,108,Oliver,2020-2128,2,271121301000,2021/01/26 00:00:00+00,6129 13TH AVE S,44.891592,-93.256717,478.1000(c),Snow emergency parking restrictions - odd number address,11,Diamond Lake,Nokomis,3,6
-93.2550329997731,44.9072530002258,109,Oliver,2020-2129,2,271121301000,2021/01/26 00:00:00+00,5251 14TH AVE S,44.907253,-93.255033,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.25116100018,44.9109639995889,110,Oliver,2020-2130,2,271121301000,2021/01/26 00:00:00+00,5049 16TH AVE S,44.910964,-93.251161,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.251141000157,44.9111690000494,111,Oliver,2020-2131,2,271121301000,2021/01/26 00:00:00+00,5037 16TH AVE S,44.911169,-93.251141,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2511430002492,44.9101699998457,112,Oliver,2020-2132,2,271121301000,2021/01/26 00:00:00+00,5121 16TH AVE S,44.91017,-93.251143,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2498580003464,44.9116139998862,113,Oliver,2020-2133,2,271121301000,2021/01/26 00:00:00+00,5021 17TH AVE S,44.911614,-93.249858,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2498639997237,44.9116699997707,114,Oliver,2020-2134,2,271121301000,2021/01/26 00:00:00+00,5017 17TH AVE S,44.91167,-93.249864,478.1000(c),Snow emergency parking restrictions - odd number address,11,Hale,Nokomis,3,6
-93.2297540004467,44.9065239998827,115,Oliver,2020-2135,2,271121301000,2021/01/26 00:00:00+00,5325 30TH AVE S,44.906524,-93.229754,478.1000(c),Snow emergency parking restrictions - odd number address,11,Keewaydin,Nokomis,3,6
-93.2327920002506,44.8961540001071,116,Oliver,2020-2136,2,271121301000,2021/01/26 00:00:00+00,2717 59TH ST E,44.896154,-93.232792,478.1000(c),Snow emergency parking restrictions - odd number address,11,Wenonah,Nokomis,3,6
-93.233222000295,44.8961380002685,117,Oliver,2020-2137,2,271121301000,2021/01/26 00:00:00+00,2713 59TH ST E,44.896138,-93.233222,478.1000(c),Snow emergency parking restrictions - odd number address,11,Wenonah,Nokomis,3,6
