X,Y,FID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day,Tow_Zone,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56
-10379691.8129241,5613251.09628024,22,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3023 21ST AVE S,44.947442,-93.242358,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379687.1375055,5613319.20108085,23,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3015 21ST AVE S,44.947875,-93.242316,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379681.6828504,5613316.52721062,24,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3013 21ST AVE S,44.947858,-93.242267,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379828.1793003,5613337.44633409,25,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3005 20TH AVE S,44.947991,-93.243583,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379830.8509681,5613292.77698636,26,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3013 20TH AVE S,44.947707,-93.243607,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379834.6358308,5612794.98037264,27,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3203 20TH AVE S,44.944542,-93.243641,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379833.2999969,5612786.95923009,28,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3203 20TH AVE S,44.944491,-93.243629,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379832.5207605,5612773.90522904,29,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3205 20TH AVE S,44.944408,-93.243622,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379832.2981215,5612764.31133668,30,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3207 20TH AVE S,44.944347,-93.24362,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379834.5245113,5612758.3348187,31,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3209 20TH AVE S,44.944309,-93.24364,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379831.6302045,5612745.12358254,32,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3211 20TH AVE S,44.944225,-93.243614,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379833.5226359,5612743.39354113,33,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3213 20TH AVE S,44.944214,-93.243631,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379829.4038147,5612726.87952623,34,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3215 20TH AVE S,44.944109,-93.243594,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379831.1849266,5612695.89617028,35,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3223 20TH AVE S,44.943912,-93.24361,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379828.7358978,5612674.34943213,36,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3227 20TH AVE S,44.943775,-93.243588,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379834.4131918,5612630.15518847,37,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3239 20TH AVE S,44.943494,-93.243639,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379830.1830512,5612071.53343282,38,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3443 20TH AVE S,44.939942,-93.243601,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379829.1811758,5612049.67365574,39,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3447 20TH AVE S,44.939803,-93.243592,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379825.7302715,5610925.46049568,40,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3849 20TH AVE S,44.932654,-93.243561,478.1000(C),Snow emergency parking restrictions - odd number address,7,Standish,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379823.0586038,5610623.08377824,41,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3955 20TH AVE S,44.930731,-93.243537,478.1000(C),Snow emergency parking restrictions - odd number address,7,Standish,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379823.8378402,5610271.97468753,42,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4103 20TH AVE S,44.928498,-93.243544,478.1000(C),Snow emergency parking restrictions - odd number address,7,Standish,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379822.3906868,5610210.65385514,43,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4119 20TH AVE S,44.928108,-93.243531,478.1000(C),Snow emergency parking restrictions - odd number address,7,Standish,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379824.9510351,5609882.83031379,44,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4227 20TH AVE S,44.926023,-93.243554,478.1000(C),Snow emergency parking restrictions - odd number address,7,Standish,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379964.1003986,5611253.63638813,45,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3739 19TH AVE S,44.934741,-93.244804,478.1000(C),Snow emergency parking restrictions - odd number address,7,Standish,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379969.6663731,5611751.03351229,46,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3547 19TH AVE S,44.937904,-93.244854,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379971.7814435,5611929.36719666,47,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3511 19TH AVE S,44.939038,-93.244873,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379973.8965138,5612198.76153097,48,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3415 19TH AVE S,44.940751,-93.244892,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384953.5512954,5610599.34063733,49,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3953 ALDRICH AVE S,44.93058,-93.289625,478.1000(C),Snow emergency parking restrictions - odd number address,9,East Harriet,Southwest,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384953.7739344,5609041.39241085,50,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4517 ALDRICH AVE S,44.920671,-93.289627,478.1000(C),Snow emergency parking restrictions - odd number address,9,East Harriet,Southwest,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384950.9909472,5608944.07869707,51,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4535 ALDRICH AVE S,44.920052,-93.289602,478.1000(C),Snow emergency parking restrictions - odd number address,9,East Harriet,Southwest,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384952.994698,5608935.90376402,52,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4545 ALDRICH AVE S,44.92,-93.28962,478.1000(C),Snow emergency parking restrictions - odd number address,9,East Harriet,Southwest,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384962.5681742,5608876.00688396,53,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,4553 ALDRICH AVE S,44.919619,-93.289706,478.1000(C),Snow emergency parking restrictions - odd number address,9,East Harriet,Southwest,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385209.6974438,5612981.19870465,54,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3123 COLFAX AVE S,44.945726,-93.291926,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385205.4673031,5612978.52493453,55,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3125 COLFAX AVE S,44.945709,-93.291888,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385211.2559166,5612897.84036161,56,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3141 COLFAX AVE S,44.945196,-93.29194,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385216.9332106,5612782.39819145,57,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3205 COLFAX AVE S,44.944462,-93.291991,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385222.8331437,5612760.37941652,58,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3213 COLFAX AVE S,44.944322,-93.292044,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385210.1427217,5612517.3900736,59,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3303 COLFAX AVE S,44.942777,-93.29193,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385217.9350861,5612357.60258752,60,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3335 COLFAX AVE S,44.941761,-93.292,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385215.0407793,5612329.45134504,61,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3353 COLFAX AVE S,44.941582,-93.291974,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10385211.0332776,5612221.09347111,62,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3409 COLFAX AVE S,44.940893,-93.291938,478.1000(C),Snow emergency parking restrictions - odd number address,6,CARAG,Calhoun Isle,3,5,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10380005.5112492,5622924.76478171,63,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1009 20TH AVE NE,45.008913,-93.245176,478.1000(C),Snow emergency parking restrictions - odd number address,2,Windom Park,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10380008.5168754,5622926.96913838,64,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1007 20TH AVE NE,45.008927,-93.245203,478.1000(C),Snow emergency parking restrictions - odd number address,2,Windom Park,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10380026.7732719,5622926.65423024,65,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1005 20TH AVE NE,45.008925,-93.245367,478.1000(C),Snow emergency parking restrictions - odd number address,2,Windom Park,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10380172.1565269,5622930.43312854,66,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,931 20TH AVE NE,45.008949,-93.246673,478.1000(C),Snow emergency parking restrictions - odd number address,2,Windom Park,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10380184.4016709,5622928.38622509,67,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,937 20TH AVE NE,45.008936,-93.246783,478.1000(C),Snow emergency parking restrictions - odd number address,2,Windom Park,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382008.260208,5620389.48144828,68,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,503 MAIN ST NE,44.992809,-93.263167,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382186.2600738,5620765.22641568,69,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,715 MAIN ST NE,44.995196,-93.264766,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382265.0742733,5620897.77194394,70,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,807 MAIN ST NE,44.996038,-93.265474,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382264.2950369,5620923.11638196,71,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,813 MAIN ST NE,44.996199,-93.265467,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382261.1780911,5620917.29187748,72,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,811 MAIN ST NE,44.996162,-93.265439,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382281.4382384,5620945.94217902,73,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,821 MAIN ST NE,44.996344,-93.265621,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10382319.7321433,5621036.4588394,74,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,907 MAIN ST NE,44.996919,-93.265965,478.1000(C),Snow emergency parking restrictions - odd number address,2,St. Anthony West,Northeast,3,2,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384268.3798296,5616053.88388777,75,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,241 CLIFTON AVE,44.965259,-93.28347,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384275.726916,5616051.83854388,76,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,243 CLIFTON AVE,44.965246,-93.283536,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383977.5020002,5616720.53336007,77,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1353 SPRUCE PLACE,44.969496,-93.280857,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383975.7208883,5616716.44237059,78,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1355 SPRUCE PLACE,44.96947,-93.280841,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383971.2681087,5616724.30965974,79,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1357 SPRUCE PLACE,44.96952,-93.280801,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383970.0435943,5616711.24996349,80,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1359 SPRUCE PLACE,44.969437,-93.28079,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383970.6001917,5616703.54003122,81,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1363 SPRUCE PLACE,44.969388,-93.280795,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383980.0623484,5616662.63029665,82,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1365 SPRUCE PLACE,44.969128,-93.28088,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383984.6264476,5616624.86762937,83,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1365 SPRUCE PLACE,44.968888,-93.280921,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10383984.2924891,5616611.49338926,84,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,1367 SPRUCE PLACE,44.968803,-93.280918,478.1000(C),Snow emergency parking restrictions - odd number address,4,Loring Park,Central,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
