X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Addess,Civic,Community,Day,Day_of_Dat,Neighborho,Ordinance_,Ordinance1,Street,Ticket__,Tow_Zone,Latitude,Longitude
-93.2772409995724,44.9639870003998,26,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478710,3,44.963987,-93.277241
-93.277416000448,44.9640060003767,27,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478711,3,44.964006,-93.277416
-93.2771889998724,44.9640339998692,28,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478712,3,44.964034,-93.277189
-93.2770800002418,44.9640129998002,29,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478713,3,44.964013,-93.27708
-93.2770750000112,44.9640060003767,30,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478714,3,44.964006,-93.277075
-93.2769830002652,44.9640279995926,31,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478715,3,44.964028,-93.276983
-93.2767830000354,44.9640370000076,32,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478716,3,44.964037,-93.276783
-93.2767710003813,44.9640169999846,33,Howard,2024,1,16 19TH AVE S,16,Central,1,2024/12/19 00:00:00+00,Steven's Square - Loring Heights,478.1000(A),Snow emergency parking restrictions - snow emergency route,19TH AVE S,271124478717,3,44.964017,-93.276771
-93.2770380001036,44.9431469998343,34,Howard,2024,1,17 33RD ST E,17,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST E,271124488409,5,44.943147,-93.277038
-93.2791660002107,44.9429380000887,35,Howard,2024,1,17 33RD ST W,17,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST W,271124488414,5,44.942938,-93.279166
-93.2789029997736,44.9413299996798,36,Howard,2024,1,17 34TH ST W,17,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,34TH ST W,271124490684,5,44.94133,-93.278903
-93.2771600003337,44.9431809996035,37,Howard,2024,1,18 33RD ST E,18,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST E,271124487341,5,44.943181,-93.27716
-93.2451069997882,44.9466100003513,38,Howard,2024,1,19 31ST ST E,19,Powderhorn,1,2024/12/19 00:00:00+00,Corcoran,478.1000(A),Snow emergency parking restrictions - snow emergency route,31ST ST E,271124479521,6,44.94661,-93.245107
-93.2457000001548,44.9466209999592,39,Howard,2024,1,19 31ST ST E,19,Powderhorn,1,2024/12/19 00:00:00+00,Corcoran,478.1000(A),Snow emergency parking restrictions - snow emergency route,31ST ST E,271124479522,6,44.946621,-93.2457
-93.2457970001314,44.9466159997286,40,Howard,2024,1,19 31ST ST E,19,Powderhorn,1,2024/12/19 00:00:00+00,Corcoran,478.1000(A),Snow emergency parking restrictions - snow emergency route,31ST ST E,271124479523,6,44.946616,-93.245797
-93.2458980002925,44.9466159997286,41,Howard,2024,1,19 31ST ST E,19,Powderhorn,1,2024/12/19 00:00:00+00,Corcoran,478.1000(A),Snow emergency parking restrictions - snow emergency route,31ST ST E,271124479524,6,44.946616,-93.245898
-93.2788730001888,44.9663679995836,42,Howard,2024,1,19 OAK GROVE ST,19,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489164,3,44.966368,-93.278873
-93.2769970000115,44.9431900000185,43,Howard,2024,1,20 33RD ST E,20,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST E,271124487342,5,44.94319,-93.276997
-93.2790229999115,44.966391999791,44,Howard,2024,1,21 OAK GROVE ST,21,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489165,3,44.966392,-93.279023
-93.2790520003495,44.9664220002751,45,Howard,2024,1,22 OAK GROVE ST,22,Central,2,2024/12/20 00:00:00+00,Loring Park,478.1000(B),Snow emergency parking restrictions - even number address,OAK GROVE ST,271124487110,3,44.966422,-93.279052
-93.2151640003183,44.9675760004321,46,Howard,2024,1,23 BARTON AVE SE,23,University,3,2024/12/21 00:00:00+00,Prospect Park - East River Road,478.1000(C),Snow emergency parking restrictions - odd number address,BARTON AVE SE,271124463059,4,44.967576,-93.215164
-93.2791050000956,44.9663749999063,47,Howard,2024,1,23 OAK GROVE ST,23,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489166,3,44.966375,-93.279105
-93.279241000072,44.9447629997127,48,Howard,2024,1,24 32ND ST W,24,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485146,5,44.944763,-93.279241
-93.2792400000259,44.9429719998579,49,Howard,2024,1,24 33RD ST W,24,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487864,5,44.942972,-93.27924
-93.2790480001651,44.9664190001368,50,Howard,2024,1,24 OAK GROVE ST,24,Central,2,2024/12/20 00:00:00+00,Loring Park,478.1000(B),Snow emergency parking restrictions - even number address,OAK GROVE ST,271124487111,3,44.966419,-93.279048
-93.2793800001868,44.9429159999735,51,Howard,2024,1,25 33RD ST W,25,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST W,271124488415,5,44.942916,-93.27938
-93.2790660000958,44.9663759999525,52,Howard,2024,1,25 OAK GROVE ST,25,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489167,3,44.966376,-93.279066
-93.27936100021,44.9447879999663,53,Howard,2024,1,26 32ND ST W,26,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485147,5,44.944788,-93.279361
-93.2792790000258,44.9429570000656,54,Howard,2024,1,26 33RD ST W,26,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487865,5,44.942957,-93.279279
-93.2792149997724,44.9664259995603,55,Howard,2024,1,26 OAK GROVE ST,26,Central,2,2024/12/20 00:00:00+00,Loring Park,478.1000(B),Snow emergency parking restrictions - even number address,OAK GROVE ST,271124338388,3,44.966426,-93.279215
-93.2794430003941,44.9429339999042,56,Howard,2024,1,27 33RD ST W,27,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST W,271124488416,5,44.942934,-93.279443
-93.2791129995653,44.9663660003907,57,Howard,2024,1,27 OAK GROVE ST,27,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489168,3,44.966366,-93.279113
-93.2794719999328,44.94477400022,58,Howard,2024,1,28 32ND ST W,28,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485148,5,44.944774,-93.279472
-93.2794299997946,44.9429380000887,59,Howard,2024,1,28 33RD ST W,28,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487866,5,44.942938,-93.27943
-93.2795119999788,44.9429349999504,60,Howard,2024,1,30 33RD ST W,30,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487867,5,44.942935,-93.279512
-93.2708980002425,45.0039109996929,61,Howard,2024,1,39 16TH AVE NE,39,Northeast,3,2024/12/21 00:00:00+00,Sheridan,478.1000(C),Snow emergency parking restrictions - odd number address,16TH AVE NE,271124483374,2,45.003911,-93.270898
-93.2150159997885,44.9670339997194,62,Howard,2024,1,41 BARTON AVE SE,41,University,3,2024/12/21 00:00:00+00,Prospect Park - East River Road,478.1000(C),Snow emergency parking restrictions - odd number address,BARTON AVE SE,271124463794,4,44.967034,-93.215016
-93.218949000396,44.9700769997538,63,Howard,2024,1,48 ST MARYS AVE SE,48,University,2,2024/12/20 00:00:00+00,Prospect Park - East River Road,478.1000(B),Snow emergency parking restrictions - even number address,ST MARYS AVE SE,271124454613,4,44.970077,-93.218949
-93.209024999604,44.9672220002951,64,Howard,2024,1,67 BEDFORD ST SE,67,University,3,2024/12/21 00:00:00+00,Prospect Park - East River Road,478.1000(C),Snow emergency parking restrictions - odd number address,BEDFORD ST SE,271124463049,4,44.967222,-93.209025
-93.2090239995579,44.9672180001107,65,Howard,2024,1,71 BEDFORD ST SE,71,University,3,2024/12/21 00:00:00+00,Prospect Park - East River Road,478.1000(C),Snow emergency parking restrictions - odd number address,BEDFORD ST SE,271124463050,4,44.967218,-93.209024
-93.2189850002575,44.9692920004255,66,Howard,2024,1,72 ST MARYS AVE SE,72,University,2,2024/12/20 00:00:00+00,Prospect Park - East River Road,478.1000(B),Snow emergency parking restrictions - even number address,ST MARYS AVE SE,271124454614,4,44.969292,-93.218985
-93.2762560000144,44.9662569998607,67,Howard,2024,1,101 17TH ST E,101,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,17TH ST E,271124489287,3,44.966257,-93.276256
-93.279534000094,44.966360000114,68,Howard,2024,1,101 OAK GROVE ST,101,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489169,3,44.96636,-93.279534
-93.276242000268,44.9449629999426,69,Howard,2024,1,102 32ND ST E,102,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST E,271124485145,5,44.944963,-93.276242
-93.2762410002219,44.9662729996992,70,Howard,2024,1,103 17TH ST E,103,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,17TH ST E,271124489288,3,44.966273,-93.276241
-93.2764039996449,44.9639719997081,71,Howard,2024,1,103 19TH ST E,103,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,19TH ST E,271124484205,3,44.963972,-93.276404
-93.2763230004061,44.9431360002263,72,Howard,2024,1,103 33RD ST E,103,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST E,271124488407,5,44.943136,-93.276323
-93.279991999631,44.9429040003194,73,Howard,2024,1,103 33RD ST W,103,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST W,271124488417,5,44.942904,-93.279992
-93.279635000255,44.9663650003445,74,Howard,2024,1,103 OAK GROVE ST,103,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489283,3,44.966365,-93.279635
-93.2763160000833,44.9640230002613,75,Howard,2024,1,104 1ST AVE S,104,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,1ST AVE S,271124484487,3,44.964023,-93.276316
-93.2760779998997,44.9640079995696,76,Howard,2024,1,104 1ST AVE S,104,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,1ST AVE S,271124485369,3,44.964008,-93.276078
-93.2510129996502,44.9915909999248,77,Howard,2024,1,104 8TH ST SE,104,University,1,2024/12/19 00:00:00+00,Marcy Holmes,478.1000(A),Snow emergency parking restrictions - snow emergency route,8TH ST SE,271124484912,2,44.991591,-93.251013
-93.2675349998403,44.9972900001334,78,Howard,2024,1,104 10TH AVE NE,104,Northeast,2,2024/12/20 00:00:00+00,St. Anthony West,478.1000(B),Snow emergency parking restrictions - even number address,10TH AVE NE,271124482175,2,44.99729,-93.267535
-93.2763570001754,44.9652280000722,79,Howard,2024,1,104 18TH ST E,104,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,18TH ST E,271124489313,3,44.965228,-93.276357
-93.276242000268,44.9449619998964,80,Howard,2024,1,104 32ND ST E,104,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST E,271124485144,5,44.944962,-93.276242
-93.2800860003686,44.9447890000124,81,Howard,2024,1,104 32ND ST W,104,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485149,5,44.944789,-93.280086
-93.2676400001858,44.9973160004331,82,Howard,2024,1,105 10TH AVE NE,105,Northeast,3,2024/12/21 00:00:00+00,St. Anthony West,478.1000(C),Snow emergency parking restrictions - odd number address,10TH AVE NE,271124482903,2,44.997316,-93.26764
-93.2763160000833,44.9639490004461,83,Howard,2024,1,105 19TH ST E,105,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,19TH ST E,271124484206,3,44.963949,-93.276316
-93.2508049999507,44.9914990001787,84,Howard,2024,1,106 8TH ST SE,106,University,1,2024/12/19 00:00:00+00,Marcy Holmes,478.1000(A),Snow emergency parking restrictions - snow emergency route,8TH ST SE,271124484913,2,44.991499,-93.250805
-93.2761400000609,44.9449880001961,85,Howard,2024,1,106 32ND ST E,106,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST E,271124484733,5,44.944988,-93.27614
-93.2803010003908,44.9447459998281,86,Howard,2024,1,106 32ND ST W,106,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485150,5,44.944746,-93.280301
-93.2800939998382,44.9429840004113,87,Howard,2024,1,106 33RD ST W,106,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487868,5,44.942984,-93.280094
-93.2797510002085,44.9688249995741,88,Howard,2024,1,107 14TH ST W,107,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,14TH ST W,271124489150,3,44.968825,-93.279751
-93.2762659995762,44.9639559998695,89,Howard,2024,1,107 19TH ST E,107,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,19TH ST E,271124484207,3,44.963956,-93.276266
-93.2506780003894,44.9914909998099,90,Howard,2024,1,108 8TH ST SE,108,University,1,2024/12/19 00:00:00+00,Marcy Holmes,478.1000(A),Snow emergency parking restrictions - snow emergency route,8TH ST SE,271124485291,2,44.991491,-93.250678
-93.2797750004159,44.9688829995508,91,Howard,2024,1,108 14TH ST W,108,Central,2,2024/12/20 00:00:00+00,Loring Park,478.1000(B),Snow emergency parking restrictions - even number address,14TH ST W,271124487100,3,44.968883,-93.279775
-93.2761909997149,44.9652429998646,92,Howard,2024,1,108 18TH ST E,108,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,18TH ST E,271124489312,3,44.965243,-93.276191
-93.276039999946,44.9449860001039,93,Howard,2024,1,108 32ND ST E,108,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST E,271124484732,5,44.944986,-93.27604
-93.2758429998545,44.9449900002883,94,Howard,2024,1,108 32ND ST W,108,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124484725,5,44.94499,-93.275843
-93.2803770002983,44.9447829997357,95,Howard,2024,1,108 32ND ST W,108,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485151,5,44.944783,-93.280377
-93.2762170000145,44.9639729997542,96,Howard,2024,1,109 19TH ST E,109,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,19TH ST E,271124484208,3,44.963973,-93.276217
-93.2798710003464,44.9663610001601,97,Howard,2024,1,109 OAK GROVE ST,109,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489284,3,44.966361,-93.279871
-93.2802099997916,44.9429820003191,98,Howard,2024,1,110 33RD ST W,110,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487869,5,44.942982,-93.28021
-93.2798130003696,44.9688289997586,99,Howard,2024,1,111 14TH ST W,111,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,14TH ST W,271124489151,3,44.968829,-93.279813
-93.2758880001311,44.9652300001644,100,Howard,2024,1,112 18TH ST E,112,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,18TH ST E,271124489311,3,44.96523,-93.275888
-93.2762659995762,44.9639729997542,101,Howard,2024,1,112 19TH ST E,112,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,19TH ST E,271124477619,3,44.963973,-93.276266
-93.2799470002538,44.9688519999199,102,Howard,2024,1,113 14TH ST W,113,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,14TH ST W,271124489152,3,44.968852,-93.279947
-93.2761289995536,44.9652070000031,103,Howard,2024,1,113 18TH ST E,113,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,18TH ST E,271124492520,3,44.965207,-93.276129
-93.2799630000923,44.9663620002062,104,Howard,2024,1,113 OAK GROVE ST,113,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489285,3,44.966362,-93.279963
-93.2757760003621,44.9640240003074,105,Howard,2024,1,114 19TH ST E,114,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,19TH ST E,271124477621,3,44.964024,-93.275776
-93.2804009996064,44.9447629997127,106,Howard,2024,1,114 32ND ST W,114,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485152,5,44.944763,-93.280401
-93.2762050003604,44.9431859998341,107,Howard,2024,1,114 33RD ST E,114,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST E,271124487340,5,44.943186,-93.276205
-93.2803930001368,44.9429509997889,108,Howard,2024,1,114 33RD ST W,114,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487870,5,44.942951,-93.280393
-93.2756920000857,44.9151480000802,109,Howard,2024,1,114 RUSTIC LODGE E,114,Southwest,2,2024/12/20 00:00:00+00,Tangletown,478.1000(B),Snow emergency parking restrictions - even number address,RUSTIC LODGE E,271124490098,5,44.915148,-93.275692
-93.2756780003394,44.9662850002526,110,Howard,2024,1,115 17TH ST E,115,Central,3,2024/12/21 00:00:00+00,Steven's Square - Loring Heights,478.1000(C),Snow emergency parking restrictions - odd number address,17TH ST E,271124489289,3,44.966285,-93.275678
-93.2812900001334,44.9447079998744,111,Howard,2024,1,115 32ND ST W,115,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,32ND ST W,271124487889,5,44.944708,-93.28129
-93.2756390003395,44.9640010001461,112,Howard,2024,1,116 19TH ST E,116,Central,2,2024/12/20 00:00:00+00,Steven's Square - Loring Heights,478.1000(B),Snow emergency parking restrictions - even number address,19TH ST E,271124477622,3,44.964001,-93.275639
-93.2807189998819,44.9447700000355,113,Howard,2024,1,116 32ND ST W,116,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST W,271124485153,5,44.94477,-93.280719
-93.2759500002923,44.9431799995574,114,Howard,2024,1,116 33RD ST E,116,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST E,271124487339,5,44.94318,-93.27595
