X,Y,OBJECTID,Call_Taken,Tow_Reason,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.2713810000331,44.9858199999931,36,03/10/2019 10:47pm,Snow Emergency,"310 2ND ST N,Minneapolis,MN",44.98582,-93.271381,3,Central,North Loop,3,1,Diamond Lake
-93.248214000076,44.9844960000904,37,03/10/2019 10:47pm,Snow Emergency,"513 UNIVERSITY AVE SE,Minneapolis,MN",44.984496,-93.248214,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2880210002689,45.0131110003724,38,03/10/2019 10:49pm,Snow Emergency,"3200 lyndale ave n,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Diamond Lake
-93.251080000042,44.9852849996031,39,03/10/2019 10:50pm,Snow Emergency,"323 University Ave se,Minneapolis,MN",44.985285,-93.25108,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2558820002541,45.001114000211,40,03/10/2019 10:51pm,Snow Emergency,"641-665 13th ave ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.2629400001808,44.9412240001875,41,03/10/2019 10:52pm,Snow Emergency,"3400 Chicago Ave,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Diamond Lake
-93.287759999924,45.0186270002359,42,03/10/2019 10:53pm,Snow Emergency,"3500 lyndale ave n,Minneapolis,MN",45.018627,-93.28776,4,Camden,McKinley,1,1,Diamond Lake
-93.2813249999488,44.9678949998544,43,03/10/2019 10:55pm,Snow Emergency,"200 15 st w,Minneapolis,MN",44.967895,-93.281325,7,Central,Loring Park,3,1,Diamond Lake
-93.2558820002541,45.001114000211,44,03/10/2019 10:55pm,Snow Emergency,"641-665-13th ave ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.2877880003159,45.0223110001526,45,03/10/2019 10:57pm,Snow Emergency,"3700 lyndale av n ,Minneapolis,MN",45.022311,-93.287788,4,Camden,McKinley,1,1,Diamond Lake
-93.2805619998364,44.9676100002014,46,03/10/2019 10:57pm,Snow Emergency,"127 w 15th st,Minneapolis,MN",44.96761,-93.280562,7,Central,Loring Park,3,1,Diamond Lake
-93.2806549996285,44.9676009997864,47,03/10/2019 10:59pm,Snow Emergency,"129 15TH ST E,Minneapolis,MN",44.967601,-93.280655,7,Central,Loring Park,3,1,Diamond Lake
-93.2947250000587,44.9515780001246,48,03/10/2019 10:59pm,Snow Emergency,"2800 emerson av s,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2685590002976,45.0007769999586,49,03/10/2019 11:00pm,Snow Emergency,"139 13th ave NE,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2877719995781,45.0204499997677,50,03/10/2019 11:01pm,Snow Emergency,"3600 Lyndale Ave N,Minneapolis,MN",45.02045,-93.287772,4,Camden,McKinley,1,1,Diamond Lake
-93.2685590002976,45.0007769999586,51,03/10/2019 11:02pm,Snow Emergency,"139 13TH AVE NE,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2702069998531,44.9395510003784,52,03/10/2019 11:02pm,Snow Emergency,"3500 block of 4th Ave S,Minneapolis,MN",44.939551,-93.270207,9,Powderhorn,Central,5,1,Diamond Lake
-93.2706420001282,44.9141419995537,53,03/10/2019 11:04pm,Snow Emergency,"4900 block of 4th ave s,Minneapolis,MN",44.914142,-93.270642,8,Nokomis,Field,5,1,Diamond Lake
-93.2745119996291,44.98761299994,54,03/10/2019 11:04pm,Snow Emergency,"561 2ND ST N,Minneapolis,MN",44.987613,-93.274512,3,Central,North Loop,1,1,Diamond Lake
-93.2815110004323,44.9674530001559,55,03/10/2019 11:06pm,Snow Emergency,"209 15th st w ,Minneapolis,MN",44.967453,-93.281511,7,Central,Loring Park,3,1,Diamond Lake
-93.2702069998531,44.9395510003784,56,03/10/2019 11:07pm,Snow Emergency,"3500 block of 4th ave s,Minneapolis,MN",44.939551,-93.270207,9,Powderhorn,Central,5,1,Diamond Lake
-93.2736979998627,44.9878779995701,57,03/10/2019 11:08pm,Snow Emergency,"562 2nd st n,Minneapolis,MN",44.987878,-93.273698,3,Central,North Loop,1,1,Diamond Lake
-93.2621739999301,44.9315700001554,58,03/10/2019 11:08pm,Snow Emergency,"3923 Chicago Avenue S,Minneapolis,MN",44.93157,-93.262174,8,Powderhorn,Bancroft,6,1,Diamond Lake
-93.2634100002713,44.9320269996464,59,03/10/2019 11:08pm,Snow Emergency,"3900 Chicago,Minneapolis,MN",44.932027,-93.26341,8,Powderhorn,Bryant,5,1,Diamond Lake
-93.270024999554,45.0000929998921,60,03/10/2019 11:09pm,Snow Emergency,"99 13th ave ne,Minneapolis,MN",45.000093,-93.270025,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2947250000587,44.9515780001246,61,03/10/2019 11:10pm,Snow Emergency,"2800 Emerson ave s,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2701410004068,44.9268170004043,62,03/10/2019 11:10pm,Snow Emergency,"4200 4TH AVE S,Minneapolis,MN",44.926817,-93.270141,8,Nokomis,Regina,5,1,Diamond Lake
-93.2461599997841,44.9837059996322,63,03/10/2019 11:11pm,Snow Emergency,"665 university ave se,Minneapolis,MN",44.983706,-93.24616,3,University,Marcy Holmes,4,1,Diamond Lake
-93.3214460002327,44.923340000141,64,03/10/2019 11:13pm,Snow Emergency,"4398 - 4300 Zenith Ave S,Minneapolis,MN",44.92334,-93.321446,13,Southwest,Linden Hills,5,1,Diamond Lake
-93.2704850000827,44.9213639998488,65,03/10/2019 11:14pm,Snow Emergency,"4500 BLOCK 4th Ave. S. ,Minneapolis,MN",44.921364,-93.270485,8,Nokomis,Regina,5,1,Diamond Lake
-93.2537809995934,45.0011490000264,66,03/10/2019 11:14pm,Snow Emergency,"679 13th ave ne,Minneapolis,MN",45.001149,-93.253781,1,Northeast,Logan Park,2,1,Diamond Lake
-93.2628739998352,44.9339599997542,67,03/10/2019 11:15pm,Snow Emergency,"3800 Chicago ave,Minneapolis,MN",44.93396,-93.262874,8,Powderhorn,Bryant,5,1,Diamond Lake
-93.2458629995778,44.9834850002326,68,03/10/2019 11:16pm,Snow Emergency,"701 university ave se,Minneapolis,MN",44.983485,-93.245863,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2628739998352,44.9339599997542,69,03/10/2019 11:16pm,Snow Emergency,"3800 Chicago ave s,Minneapolis,MN",44.93396,-93.262874,8,Powderhorn,Bryant,5,1,Diamond Lake
-93.2628820002041,44.9446210003589,70,03/10/2019 11:18pm,Snow Emergency,"3200 Chicago ,Minneapolis,MN",44.944621,-93.262882,9,Powderhorn,Central,5,1,Diamond Lake
-93.2626890002971,44.9483569999756,71,03/10/2019 11:20pm,Snow Emergency,"3000 Chicago ave s,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,3,1,Diamond Lake
-93.2713030000334,45.0000180000307,72,03/10/2019 11:22pm,Snow Emergency,"71-99 13th ave ne,Minneapolis,MN",45.000018,-93.271303,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2373190003715,44.980117999646,73,03/10/2019 11:23pm,Snow Emergency,"1301 University Ave Se,Minneapolis,MN",44.980118,-93.237319,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2686980004124,44.9683009996915,74,03/10/2019 11:24pm,Snow Emergency,"500 e 15th,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Diamond Lake
-93.2472879996415,44.9840460000229,75,03/10/2019 11:26pm,Snow Emergency,"601 university ave se,Minneapolis,MN",44.984046,-93.247288,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2686980004124,44.9683009996915,76,03/10/2019 11:26pm,Snow Emergency,"500 15th st e ,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Diamond Lake
-93.2454959997406,44.9834030000484,77,03/10/2019 11:27pm,Snow Emergency,"711 University Ave se,Minneapolis,MN",44.983403,-93.245496,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2325679998133,44.9099870003998,78,03/10/2019 11:27pm,Snow Emergency,"5126 28th ave,Minneapolis,MN",44.909987,-93.232568,11,Nokomis,Keewaydin,6,1,Diamond Lake
-93.3122440003603,44.9917360003162,79,03/10/2019 11:30pm,Snow Emergency,"2500 PLYMOUTH AVE N,Minneapolis,MN",44.991736,-93.312244,5,Near North,Willard - Hay,1,1,Diamond Lake
-93.2947250000587,44.9515780001246,80,03/10/2019 11:30pm,Snow Emergency,"2800 BLOCK OF EMERSON AVE S,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2877880003159,45.0223110001526,81,03/10/2019 11:31pm,Snow Emergency,"3700 LYNDALE AVE N ,Minneapolis,MN",45.022311,-93.287788,4,Camden,McKinley,1,1,Diamond Lake
-93.2877759997625,45.0277110000627,82,03/10/2019 11:31pm,Snow Emergency,"4000 Lyndale Ave N,Minneapolis,MN",45.027711,-93.287776,4,Camden,Webber - Camden,1,1,Diamond Lake
-93.262192999907,44.9262300003143,83,03/10/2019 11:33pm,Snow Emergency,"4221 Chicago,Minneapolis,MN",44.92623,-93.262193,8,Nokomis,Northrop,6,1,Diamond Lake
-93.262901000181,44.9236219996556,84,03/10/2019 11:34pm,Snow Emergency,"4350 Chicago Avenue South,Minneapolis,MN",44.923622,-93.262901,8,Nokomis,Regina,5,1,Diamond Lake
-93.2713810000331,44.9858199999931,85,03/10/2019 11:34pm,Snow Emergency,"310 2ND ST N,Minneapolis,MN",44.98582,-93.271381,3,Central,North Loop,3,1,Diamond Lake
-93.2454959997406,44.9834030000484,86,03/10/2019 11:36pm,Snow Emergency,"711 university se,Minneapolis,MN",44.983403,-93.245496,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2877959997855,45.0240979998229,87,03/10/2019 11:38pm,Snow Emergency,"3800-3899 lyndale ave n ,Minneapolis,MN",45.024098,-93.287796,4,Camden,Webber - Camden,1,1,Diamond Lake
-93.2686980004124,44.9683009996915,88,03/10/2019 11:38pm,Snow Emergency,"500 15TH ST E,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Diamond Lake
-93.2454959997406,44.9834030000484,89,03/10/2019 11:39pm,Snow Emergency,"711 university se,Minneapolis,MN",44.983403,-93.245496,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2685590002976,45.0007769999586,90,03/10/2019 11:39pm,Snow Emergency,"139 13th ave ne,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2944819996445,44.9500620003611,91,03/10/2019 11:41pm,Snow Emergency,"2900 emerson av s,Minneapolis,MN",44.950062,-93.294482,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2793359999564,44.9677169997398,92,03/10/2019 11:42pm,Snow Emergency,"15th st and lasalle ,Minneapolis,MN",44.967717,-93.279336,7,Central,Loring Park,3,1,Diamond Lake
-93.2316410002319,44.9778549996086,93,03/10/2019 11:42pm,Snow Emergency,"1711 university ave,Minneapolis,MN",44.977855,-93.231641,2,University,University of Minnesota,4,1,Diamond Lake
-93.2877759997625,45.0277110000627,94,03/10/2019 11:44pm,Snow Emergency,"4000-4098 lyndale ave n ,Minneapolis,MN",45.027711,-93.287776,4,Camden,Webber - Camden,1,1,Diamond Lake
-93.2689589998579,45.0006319995672,95,03/10/2019 11:44pm,Snow Emergency,"125 13th ave ne ,Minneapolis,MN",45.000632,-93.268959,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2863580000217,45.0410459998731,96,03/10/2019 11:45pm,Snow Emergency,"4698 Lyndale Ave n,Minneapolis,MN",45.041046,-93.286358,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.2863580000217,45.0410459998731,97,03/10/2019 11:47pm,Snow Emergency,"4698 Lyndale Ave n,Minneapolis,MN",45.041046,-93.286358,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.2685059996521,44.9682619996916,98,03/10/2019 11:49pm,Snow Emergency,"508 15st e,Minneapolis,MN",44.968262,-93.268506,7,Central,Elliot Park,3,1,Diamond Lake
-93.2685590002976,45.0007769999586,99,03/10/2019 11:49pm,Snow Emergency,"139 13th ave ne,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.2815110004323,44.9674530001559,100,03/10/2019 11:51pm,Snow Emergency,"209 w 15th st ,Minneapolis,MN",44.967453,-93.281511,7,Central,Loring Park,3,1,Diamond Lake
-93.2628529997661,45.0056980002626,101,03/10/2019 11:51pm,Snow Emergency,"1711 university ne,Minneapolis,MN",45.005698,-93.262853,1,Northeast,Holland,2,1,Diamond Lake
-93.2269339999041,44.9878300000545,102,03/10/2019 11:53pm,Snow Emergency,"1001 18th ave se,Minneapolis,MN",44.98783,-93.226934,1,University,Como,4,1,Diamond Lake
-93.263499999925,45.0058290000084,103,03/10/2019 11:55pm,Snow Emergency,"1712 university ave Ne,Minneapolis,MN",45.005829,-93.2635,3,Northeast,Bottineau,2,1,Diamond Lake
-93.2862230000914,45.0384659996063,104,03/10/2019 11:57pm,Snow Emergency,"4600 lyndale av no ,Minneapolis,MN",45.038466,-93.286223,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.2868369996278,45.0387370004123,105,03/10/2019 11:59pm,Snow Emergency,"4608 Lyndale Ave N,Minneapolis,MN",45.038737,-93.286837,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.2702890000373,44.9483329997682,106,03/11/2019 12:02am,Snow Emergency,"3000 block of 4th ave s,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,5,1,Diamond Lake
-93.2650219999653,44.9679869996004,107,03/11/2019 12:03am,Snow Emergency,"15th st e park ave s,Minneapolis,MN",44.967987,-93.265022,6,Central,Elliot Park,3,1,Diamond Lake
-93.2625979996979,44.919684999763,108,03/11/2019 12:03am,Snow Emergency,"4601 Chicago Avenue,Minneapolis,MN",44.919685,-93.262598,11,Nokomis,Field,5,1,Diamond Lake
-93.2664120002136,44.9678850002926,109,03/11/2019 12:03am,Snow Emergency,"623 E 15TH ST,Minneapolis,MN",44.967885,-93.266412,6,Central,Elliot Park,3,1,Diamond Lake
-93.2676610002549,44.9680570001305,110,03/11/2019 12:06am,Snow Emergency,"Portland ave / 15st e ,Minneapolis,MN",44.968057,-93.267661,6,Central,Elliot Park,3,1,Diamond Lake
-93.2309879997963,44.9773529998411,111,03/11/2019 12:06am,Snow Emergency,"311 18th ave se,Minneapolis,MN",44.977353,-93.230988,2,University,University of Minnesota,4,1,Diamond Lake
-93.2705240000825,44.9447970003813,112,03/11/2019 12:07am,Snow Emergency,"3200 block of 4th ave s,Minneapolis,MN",44.944797,-93.270524,9,Powderhorn,Central,5,1,Diamond Lake
-93.262901000181,44.9160029999385,113,03/11/2019 12:08am,Snow Emergency,"4800 Chicago,Minneapolis,MN",44.916003,-93.262901,8,Nokomis,Field,5,1,Diamond Lake
-93.2947250000587,44.9515780001246,114,03/11/2019 12:08am,Snow Emergency,"2800 emerson av s,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2307939998432,44.9776009995865,115,03/11/2019 12:09am,Snow Emergency,"365 18TH AVE SE,Minneapolis,MN",44.977601,-93.230794,2,University,University of Minnesota,4,1,Diamond Lake
-93.3135300003092,44.9917530002008,116,03/11/2019 12:09am,Snow Emergency,"2600 plymouth ave n,Minneapolis,MN",44.991753,-93.31353,5,Near North,Willard - Hay,1,1,Diamond Lake
-93.262861000135,44.9238779997699,117,03/11/2019 12:11am,Snow Emergency,"4340 Chicago Ave S,Minneapolis,MN",44.923878,-93.262861,8,Nokomis,Regina,5,1,Diamond Lake
-93.2524330003826,44.9395710004014,118,03/11/2019 12:13am,Snow Emergency,"3498 bloomington ave,Minneapolis,MN",44.939571,-93.252433,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.2526460003126,44.9412250002336,119,03/11/2019 12:13am,Snow Emergency,"3400 BLOOMINGTON AVE S,Minneapolis,MN",44.941225,-93.252646,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.2862230000914,45.0384659996063,120,03/11/2019 12:14am,Snow Emergency,"4600-4698 lyndale ave n ,Minneapolis,MN",45.038466,-93.286223,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.2650219999653,44.9679869996004,121,03/11/2019 12:15am,Snow Emergency,"15th St E & Park Ave S,Minneapolis,MN",44.967987,-93.265022,6,Central,Elliot Park,3,1,Diamond Lake
-93.2526460003126,44.9412250002336,122,03/11/2019 12:16am,Snow Emergency,"3400 Bloomington ,Minneapolis,MN",44.941225,-93.252646,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.2520899998536,44.9425330002978,123,03/11/2019 12:18am,Snow Emergency,"3311 BLOOMINGTON AVE S,Minneapolis,MN",44.942533,-93.25209,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.2912059996571,45.0386330001129,124,03/11/2019 12:18am,Snow Emergency,"4600 BLOCK BRYANT AVE N,Minneapolis,MN",45.038633,-93.291206,4,Camden,Lind - Bohanon,1,1,Diamond Lake
-93.276575000336,44.9786310003204,125,03/11/2019 12:24am,Snow Emergency,"706 1st ave n,Minneapolis,MN",44.978631,-93.276575,7,Central,Downtown West,3,1,Diamond Lake
-93.278642000328,44.9678979999928,126,03/11/2019 12:26am,Snow Emergency,"W 15th st west of lasalle ave,Minneapolis,MN",44.967898,-93.278642,7,Central,Loring Park,3,1,Diamond Lake
-93.2749190004115,44.9891459995883,127,03/11/2019 12:27am,Snow Emergency,"675 1st st n,Minneapolis,MN",44.989146,-93.274919,3,Central,North Loop,1,1,Diamond Lake
-93.2936710000166,44.951237999734,128,03/11/2019 12:27am,Snow Emergency,"2800 BLOCK OF DUPONT AV S,Minneapolis,MN",44.951238,-93.293671,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2202649999298,44.9663929998371,129,03/11/2019 12:28am,Snow Emergency,"46-98 27th Ave se,Minneapolis,MN",44.966393,-93.220265,2,University,Prospect Park - East River Road,4,1,Diamond Lake
-93.2937989996241,44.9511920003106,130,03/11/2019 12:29am,Snow Emergency,"2820 Dupont Avenue s,Minneapolis,MN",44.951192,-93.293799,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.2520750000612,44.9194400001559,131,03/11/2019 12:34am,Snow Emergency,"4601 Bloomington ave s,Minneapolis,MN",44.91944,-93.252075,11,Nokomis,Northrop,6,1,Diamond Lake
-93.2911190001417,45.0368469995894,132,03/11/2019 12:37am,Snow Emergency,"4500 Bryant Ave N,Minneapolis,MN",45.036847,-93.291119,4,Camden,Lind - Bohanon,1,1,Diamond Lake
-93.2628020001122,44.9249919998809,133,03/11/2019 12:37am,Snow Emergency,"4300 Chicago ave s,Minneapolis,MN",44.924992,-93.262802,8,Nokomis,Regina,5,1,Diamond Lake
-93.2678910000695,44.9845810004129,134,03/11/2019 12:37am,Snow Emergency,"100 block/1st Ave SE,Minneapolis,MN",44.984581,-93.267891,3,Central,North Loop,3,1,Diamond Lake
-93.2804459998829,44.9888050000508,135,03/11/2019 12:38am,Snow Emergency,"800 3RD ST N,Minneapolis,MN",44.988805,-93.280446,3,Central,North Loop,1,1,Diamond Lake
-93.2625459999979,44.9679949999693,136,03/11/2019 12:42am,Snow Emergency,"15th and Chicago ,Minneapolis,MN",44.967995,-93.262546,6,Central,Elliot Park,3,1,Diamond Lake
-93.2668549999582,44.9683090000603,137,03/11/2019 12:43am,Snow Emergency,"610 15TH ST E,Minneapolis,MN",44.968309,-93.266855,7,Central,Elliot Park,3,1,Diamond Lake
-93.2668549999582,44.9683090000603,138,03/11/2019 12:45am,Snow Emergency,"610 15 st e,Minneapolis,MN",44.968309,-93.266855,7,Central,Elliot Park,3,1,Diamond Lake
-93.2207760001123,44.9719069996084,139,03/11/2019 12:46am,Snow Emergency,"2600 Delaware St SE,Minneapolis,MN",44.971907,-93.220776,2,University,Prospect Park - East River Road,4,1,Diamond Lake
-93.2790439999806,44.9879340003539,140,03/11/2019 12:46am,Snow Emergency,"748 3 ST N,Minneapolis,MN",44.987934,-93.279044,3,Central,North Loop,1,1,Diamond Lake
-93.2528430004041,44.9266059996672,141,03/11/2019 12:48am,Snow Emergency,"4200 Bloomington,Minneapolis,MN",44.926606,-93.252843,8,Nokomis,Northrop,6,1,Diamond Lake
-93.2795439996558,44.987318999872,142,03/11/2019 12:49am,Snow Emergency,"745 3 ST N,Minneapolis,MN",44.987319,-93.279544,3,Central,North Loop,1,1,Diamond Lake
