
First Name,Last Name,Team Name,Position,PA Base Salary,Guaranteed Comp
Ilie,SÃ¡nchez,Austin FC,Defensive Midfield,"$600,000.00","$600,000.00"
Stefan,Cleveland,Austin FC,Goalkeeper,"$250,000.00","$274,167.00"
Brad,Stuver,Austin FC,Goalkeeper,"$484,500.00","$507,313.00"
Damian,Las,Austin FC,Goalkeeper,"$125,000.00","$125,000.00"
Myrto,Uzuni,Austin FC,Left Wing,"$1,520,000.00","$2,225,000.00"
CJ,Fodrey,Austin FC,Left Wing,"$104,000.00","$108,000.00"
Robert,Taylor,Austin FC,Left Wing,"$575,000.00","$633,333.00"
Guilherme,da Trindade Dubas,Austin FC,Left-back,"$275,000.00","$275,000.00"
Å½an,KolmaniÄ,Austin FC,Left-back,"$350,000.00","$350,000.00"
Osman,Bukari,Austin FC,Right Wing,"$1,500,000.00","$1,500,000.00"
Jimmy,Farkarlun,Austin FC,Right Wing,"$80,622.00","$80,622.00"
JÃ¡der,Obrian,Austin FC,Right Wing,"$450,000.00","$505,401.00"
Mikkel,Desler,Austin FC,Right-back,"$550,000.00","$550,000.00"
Jon,Gallagher,Austin FC,Right-back,"$375,000.00","$375,000.00"
Riley,Thomas,Austin FC,Right-back,"$80,622.00","$80,622.00"
Bryce,Duke,CF Montreal,Attacking Midfield,"$350,000.00","$431,875.00"
Olger,Escobar,CF Montreal,Attacking Midfield,"$80,622.00","$86,018.00"
IvÃ¡n,Jaime,CF Montreal,Attacking Midfield,"$1,800,000.00","$1,991,200.00"
MatÃ­as,CÃ³ccaro,CF Montreal,Center Forward,"$800,000.00","$888,000.00"
Sunusi,Ibrahim,CF Montreal,Center Forward,"$350,000.00","$410,000.00"
Owen,Graham-Roache,CF Montreal,Center Forward,"$80,622.00","$86,512.00"
Giacomo,Vrioni,CF Montreal,Center Forward,"$2,000,000.00","$2,247,500.00"
Prince,Owusu,CF Montreal,Center Forward,"900,000.00","$1,007,500.00"
Fernando,Ãlvarez,CF Montreal,Center-back,"$275,000.00","$307,500.00"
Brandan,Craig,CF Montreal,Center-back,"$80,622.00","$90,427.00"
EfraÃ­n,Morales,CF Montreal,Center-back,"$104,000.00","$112,019.00"
Jalen,Neal,CF Montreal,Center-back,"$600,000.00","$681,250.00"
Matty,Longstaff,CF Montreal,Central Midfield,"$312,000.00","$331,869.00"
Victor,Loturi,CF Montreal,Central Midfield,"$80,622.00","$92,122.00"
Alessandro,Biello,CF Montreal,Central Midfield,"$80,622.00","$80,622.00"
Samuel,Piette,CF Montreal,Defensive Midfield,"$535,250.00","$561,016.00"
Jonathan,Sirois,CF Montreal,Goalkeeper,"$275,000.00","$292,625.00"
Thomas,Gillier,CF Montreal,Goalkeeper,"$445,000.00","$487,000.00"
SÃ©bastian,Breza,CF Montreal,Goalkeeper,"$104,000.00","$104,000.00"
Emil,Gazdov,CF Montreal,Goalkeeper,"$80,622.00","$88,769.00"
Dante,Sealy,CF Montreal,Left Wing,"$104,000.00","$122,022.00"
Luca,Petrasso,CF Montreal,Left-back,"$104,000.00","$119,136.00"
Fabian,Herbers,CF Montreal,Right Wing,"$400,000.00","$440,000.00"
Gennadiy,Synchuk,CF Montreal,Right Wing,"$600,000.00","$606,000.00"
Kwadwo Mahala,Opoku,CF Montreal,Right Wing,"$458,333.00","$598,560.00"
Dawid,Bugaj,CF Montreal,Right-back,"$240,000.00","$267,600.00"
Yuri,Guboglo,CF Montreal,Right-back,"$80,622.00","$86,311.00"
Bode,Hidalgo,CF Montreal,Right-back,"$275,000.00","$305,800.00"
Pep,Biel,Charlotte FC,Attacking Midfield,"$1,300,000.00","$1,540,563.00"
Idan,Toklomati,Charlotte FC,Center Forward,"$415,000.00","$452,700.00"
Archie,Goodwin,Charlotte FC,Center Forward,"$300,000.00","$341,187.00"
Tim,Ream,Charlotte FC,Center-back,"$1,000,000.00","$1,127,750.00"
Adilson,Malanda,Charlotte FC,Center-back,"$900,000.00","$900,000.00"
Jack,Neeley,Charlotte FC,Center-back,"$104,000.00","$106,000.00"
Bill,Tuiloma,Charlotte FC,Center-back,"$500,000.00","$524,938.00"
Andrew,Privett,Charlotte FC,Center-back,"$220,000.00","$251,400.00"
Eryk,Williamson,Charlotte FC,Central Midfield,"$775,000.00","$775,000.00"
Brandt,Bronico,Charlotte FC,Central Midfield,"$350,000.00","$389,000.00"
Baye,Coulibaly,Charlotte FC,Defensive Midfield,"$240,000.00","$269,500.00"
Djibril,Diani,Charlotte FC,Defensive Midfield,"$300,000.00","$337,944.00"
Nikola,PetkoviÄ‡,Charlotte FC,Defensive Midfield,"$420,000.00","$466,250.00"
Ashley,Westwood,Charlotte FC,Defensive Midfield,"$750,000.00","$783,333.00"
David,Bingham,Charlotte FC,Goalkeeper,"$104,000.00","$104,000.00"
Drake,Callender,Charlotte FC,Goalkeeper,"$399,996.00","$455,913.00"
Nick,Holliday,Charlotte FC,Goalkeeper,"$80,622.00","$80,622.00"
Kristijan,Kahlina,Charlotte FC,Goalkeeper,"$750,000.00","$788,750.00"
Chituru,Odunze,Charlotte FC,Goalkeeper,"$104,000.00","$117,508.00"
Wilfried,Zaha,Charlotte FC,Left Wing,"$2,666,667.00","$2,751,667.00"
Kerwin,Vargas,Charlotte FC,Left Wing,"$600,000.00","$683,750.00"
Tyger,Smalls,Charlotte FC,Left Wing,"$80,622.00","$80,622.00"
Nimfasha,Berchimas,Charlotte FC,Left Wing,"$110,000.00","$124,934.00"
Mikah,Thomas,Charlotte FC,Left-back,"$80,622.00","$81,025.00"
Harry,Toffolo,Charlotte FC,Left-back,"$900,000.00","$1,020,000.00"
Jahlane,Forbes,Charlotte FC,Left-back,"$80,622.00","$80,622.00"
Souleyman,Doumbia,Charlotte FC,Left-back,"$500,000.00","$541,250.00"
Jahkeele,Marshall-Rutty,Charlotte FC,Right Midfield,"$375,000.00","$423,125.00"
Liel,Abada,Charlotte FC,Right Wing,"$2,400,000.00","$2,548,500.00"
Brandon,Cambridge,Charlotte FC,Right Wing,"$125,000.00","$133,026.00"
Brian,Romero,Charlotte FC,Right Wing,"$125,000.00","$135,833.00"
Nathan,Byrne,Charlotte FC,Right-back,"$475,000.00","$498,750.00"
Nick,Scardina,Charlotte FC,Right-back,"$104,000.00","$104,000.00"
Brian,GutiÃ©rrez,Chicago Fire,Attacking Midfield,"$857,955.00","$950,425.00"
Dylan,Borso,Chicago Fire,Attacking Midfield,"$80,622.00","$88,622.00"
David,Poreba,Chicago Fire,Attacking Midfield,"$80,622.00","$88,747.00"
Robert,Turdean,Chicago Fire,Attacking Midfield,"$80,622.00","$113,549.00"
AndrÃ©,Franco,Chicago Fire,Attacking Midfield,"$650,000.00","$697,083.00"
Georgios,Koutsias,Chicago Fire,Center Forward,"$470,800.00","$470,800.00"
Hugo,Cuypers,Chicago Fire,Center Forward,"$3,238,000.00","$3,528,044.00"
Tom,Barlow,Chicago Fire,Center Forward,"$300,000.00","$330,000.00"
Dean,Boltz,Chicago Fire,Center Forward,"$80,622.00","$82,622.00"
Mauricio,Pineda,Chicago Fire,Center-back,"$355,012.00","$475,169.00"
Jack,Elliott,Chicago Fire,Center-back,"$914,773.00","$1,008,537.00"
Christopher,Cupps,Chicago Fire,Center-back,"$80,622.00","$83,408.00"
Omar,GonzÃ¡lez,Chicago Fire,Center-back,"$104,000.00","$123,333.00"
Sam,Rogers,Chicago Fire,Center-back,"$120,000.00","$143,000.00"
Joel,Waterman,Chicago Fire,Center-back,"474,250.00","$555,400.00"
Rominigue,KouamÃ©,Chicago Fire,Central Midfield,"$600,000.00","$693,755.00"
Sergio,Oregel,Chicago Fire,Central Midfield,"$113,400.00","$113,400.00"
Kellyn,Acosta,Chicago Fire,Defensive Midfield,"$1,461,796.00","$1,628,477.00"
DjÃ©,D'Avilla,Chicago Fire,Defensive Midfield,"$548,004.00","$660,490.00"
Sam,Williams,Chicago Fire,Defensive Midfield,"$80,622.00","$91,951.00"
Chris,Brady,Chicago Fire,Goalkeeper,"$249,996.00","$348,329.00"
Bryan,Dowd,Chicago Fire,Goalkeeper,"$80,622.00","$80,622.00"
Jeff,Gal,Chicago Fire,Goalkeeper,"$140,000.00","$140,000.00"
Jonathan,Bamba,Chicago Fire,Left Wing,"$5,000,000.00","$5,581,806.00"
Andrew,Gutman,Chicago Fire,Left-back,"$600,000.00","$600,000.00"
Chase,Gasper,Chicago Fire,Left-back,"$575,000.00","$600,000.00"
Viktor,RadojeviÄ‡,Chicago Fire,Left-back,"300,000.00","$307,000.00"
Omari,Glasgow,Chicago Fire,Right Midfield,"$104,000.00","$117,685.00"
Maren,Haile-Selassie,Chicago Fire,Right Midfield,"$388,000.00","$427,500.00"
Chris,Mueller,Chicago Fire,Right Wing,"$699,996.00","$762,316.00"
Philip,Zinckernagel,Chicago Fire,Right Wing,"$1,450,750.00","$1,631,290.00"
Leonardo,Barroso,Chicago Fire,Right-back,"$300,000.00","$345,500.00"
Justin,Reynolds,Chicago Fire,Right-back,"$104,000.00","$104,000.00"
Jonathan,Dean,Chicago Fire,Right-back,"$130,000.00","$138,167.00"
Paxten,Aaronson,Colorado Rapids,Attacking Midfield,"$2,000,000.00","$2,228,063.00"
Cole,Bassett,Colorado Rapids,Attacking Midfield,"$850,000.00","$850,000.00"
Theodore,Ku-DiPietro,Colorado Rapids,Attacking Midfield,"$400,000.00","$456,000.00"
Rafael,Navarro Leal,Colorado Rapids,Center Forward,"$1,392,000.00","$1,449,600.00"
Darren,Yapi,Colorado Rapids,Center Forward,"$104,000.00","$114,833.00"
Nate,Jones,Colorado Rapids,Center-back,"$80,622.00","$80,622.00"
Michael,Edwards,Colorado Rapids,Center-back,"$160,000.00","$160,000.00"
Andreas,MaxsÃ¸,Colorado Rapids,Center-back,"$1,200,000.00","$1,392,500.00"
Ian,Murphy,Colorado Rapids,Center-back,"$400,000.00","$447,500.00"
Rob,Holding,Colorado Rapids,Center-back,"1,200,000.00","$1,200,000.00"
Connor,Ronan,Colorado Rapids,Central Midfield,"$490,000.00","$542,400.00"
Ali,Fadal,Colorado Rapids,Central Midfield,"$80,622.00","$80,622.00"
Wayne,Frederick,Colorado Rapids,Central Midfield,"$104,000.00","$104,000.00"
Oliver,Larraz,Colorado Rapids,Central Midfield,"$125,000.00","$130,625.00"
Daouda,Amadou,Colorado Rapids,Defensive Midfield,"$80,622.00","$80,622.00"
Josh,Atencio,Colorado Rapids,Defensive Midfield,"$350,000.00","$350,000.00"
Sam,Bassett,Colorado Rapids,Defensive Midfield,"$80,622.00","$80,622.00"
Zack,Steffen,Colorado Rapids,Goalkeeper,"$1,000,000.00","$1,000,000.00"
Adam,Beaudry,Colorado Rapids,Goalkeeper,"$104,000.00","$106,500.00"
Nicolas,Hansen,Colorado Rapids,Goalkeeper,"$80,622.00","$80,622.00"
Kimani,Stewart-Baynes,Colorado Rapids,Left Wing,"$90,000.00","$91,000.00"
Alexis,Manyoma,Colorado Rapids,Left Wing,"535,200.00","$592,950.00"
Rafael,Santos,Colorado Rapids,Left-back,"$375,000.00","$401,188.00"
Sam,Vines,Colorado Rapids,Left-back,"$900,000.00","$912,500.00"
Jackson,Travis,Colorado Rapids,Left-back,"$104,000.00","$106,500.00"
Bryce,Jamison,Colorado Rapids,Right Wing,"$104,000.00","$116,466.00"
Alex,Harris,Colorado Rapids,Right Wing,"$80,622.00","$82,622.00"
Calvin,Harris,Colorado Rapids,Right Wing,"$150,000.00","$152,000.00"
Reggie,Cannon,Colorado Rapids,Right-back,"$750,000.00","$841,500.00"
Keegan,Rosenberry,Colorado Rapids,Right-back,"$400,000.00","$400,000.00"
Diego,Rossi,Columbus Crew,Attacking Midfield,"$2,725,000.00","$3,426,827.00"
Dylan,Chambost,Columbus Crew,Attacking Midfield,"$450,000.00","$557,219.00"
DÃ¡niel,Gazdag,Columbus Crew,Attacking Midfield,"$2,000,004.00","$2,597,643.00"
Wessam,Abou Ali,Columbus Crew,Center Forward,"$1,800,000.00","$2,157,375.00"
Ibrahim,Aliyu,Columbus Crew,Center Forward,"$474,996.00","$526,375.00"
Jacen,Russell-Rowe,Columbus Crew,Center Forward,"$120,000.00","$130,789.00"
Yevgen,Cheberko,Columbus Crew,Center-back,"$610,000.00","$658,250.00"
Malte,Amundsen,Columbus Crew,Center-back,"$624,996.00","$697,496.00"
Rudy,Camacho,Columbus Crew,Center-back,"$525,000.00","$601,000.00"
Cesar,Ruvalcaba,Columbus Crew,Center-back,"$80,622.00","$80,622.00"
Taha,Habroune,Columbus Crew,Central Midfield,"$104,000.00","$116,000.00"
Cole,Mrowka,Columbus Crew,Central Midfield,"$80,622.00","$100,630.00"
Derrick,Jones,Columbus Crew,Central Midfield,"$350,000.00","$387,500.00"
Sean,Zawadzki,Columbus Crew,Central Midfield,"$400,000.00","$446,875.00"
Darlington,Nagbe,Columbus Crew,Central Midfield,"$1,425,000.00","$1,565,833.00"
Amar,SejdiÄ‡,Columbus Crew,Defensive Midfield,"$104,000.00","$118,550.00"
Evan,Bush,Columbus Crew,Goalkeeper,"$104,000.00","$104,000.00"
Nicholas,Hagen,Columbus Crew,Goalkeeper,"$104,000.00","$122,600.00"
Stanislav,Lapkes,Columbus Crew,Goalkeeper,"$80,622.00","$99,712.00"
Abraham,Romero,Columbus Crew,Goalkeeper,"$104,000.00","$104,000.00"
Patrick,Schulte,Columbus Crew,Goalkeeper,"$825,000.00","$957,083.00"
Hugo,Picard,Columbus Crew,Left Midfield,"$675,000.00","$731,244.00"
Max,Arfsten,Columbus Crew,Left Wing,"$350,000.00","$389,375.00"
Lassi,Lappalainen,Columbus Crew,Left Wing,"$325,000.00","$368,750.00"
Tristan,Brown,Columbus Crew,Left-back,"$80,622.00","$84,986.00"
Mohamed,Farsi,Columbus Crew,Right Midfield,"$425,000.00","$455,000.00"
Steven,Moreira,Columbus Crew,Right-back,"$820,000.00","$902,000.00"
AndrÃ©s,Herrera,Columbus Crew,Right-back,"$650,000.00","$737,158.00"
Gabriel,Cordeiro Pirani,DC United,Attacking Midfield,"$725,000.00","$791,700.00"
Caden,Clark,DC United,Attacking Midfield,"$375,000.00","$407,000.00"
Jackson,Hopkins,DC United,Attacking Midfield,"$104,000.00","$104,286.00"
Gavin,Turner,DC United,Attacking Midfield,"$80,622.00","$102,856.00"
Dominique,Badji,DC United,Center Forward,"$400,000.00","$435,000.00"
Christian,Benteke,DC United,Center Forward,"$4,500,000.00","$4,937,500.00"
Kristian,Fletcher,DC United,Center Forward,"$150,000.00","$169,509.00"
Jacob,Murrell,DC United,Center Forward,"$80,622.00","$80,622.00"
Lucas,Bartlett,DC United,Center-back,"$450,000.00","$510,625.00"
Lukas,MacNaughton,DC United,Center-back,"$120,000.00","$122,100.00"
Kye,Rowles,DC United,Center-back,"$292,500.00","$494,167.00"
Garrison,Tubbs,DC United,Center-back,"$104,000.00","$104,000.00"
Hosei,Kijima,DC United,Central Midfield,"$80,622.00","$80,622.00"
Brandon,Servania,DC United,Central Midfield,"$104,000.00","$131,056.00"
Rida,Zouhir,DC United,Central Midfield,"$80,622.00","$95,362.00"
Boris,Enow,DC United,Central Midfield,"$500,000.00","$613,900.00"
Matti,Peltola,DC United,Defensive Midfield,"$750,000.00","$826,000.00"
Luis,Barraza,DC United,Goalkeeper,"$180,000.00","$187,688.00"
Jordan,Farr,DC United,Goalkeeper,"$104,000.00","$109,000.00"
Joon-hong,Kim,DC United,Goalkeeper,"$354,000.00","$427,000.00"
JoÃ£o Gabriel,Martins Peglow,DC United,Left Wing,"$357,500.00","$608,812.00"
Randall,Leal,DC United,Left Wing,"$1,150,000.00","$1,265,000.00"
Jared,Stroud,DC United,Left Wing,"$350,000.00","$392,500.00"
David,Schnegg,DC United,Left-back,"$600,000.00","$706,250.00"
Hakim,Karamoko,DC United,Right Wing,"$80,622.00","$80,622.00"
Conner,Antley,DC United,Right-back,"$104,000.00","$105,667.00"
Derek,Dodson,DC United,Right-back,"$104,000.00","$110,250.00"
AarÃ³n,Herrera,DC United,Right-back,"$825,000.00","$920,220.00"
Yuya,Kubo,FC Cincinnati,Attacking Midfield,"$750,000.00","$821,667.00"
Gerardo,Valenzuela,FC Cincinnati,Attacking Midfield,"$104,000.00","$121,542.00"
Evander,da Silva Ferreira,FC Cincinnati,Attacking Midfield,"$3,200,000.00","$4,736,411.00"
KÃ©vin,Denkey,FC Cincinnati,Center Forward,"$3,800,000.00","$3,810,000.00"
È˜tefan,ChirilÄƒ,FC Cincinnati,Center Forward,"$80,622.00","$95,402.00"
Ayoub,Jabbari,FC Cincinnati,Center Forward,"$300,000.00","$354,800.00"
Kei,Kamara,FC Cincinnati,Center Forward,"$104,000.00","$119,000.00"
Kenji,Mboma Dem,FC Cincinnati,Center Forward,"$80,622.00","$80,622.00"
Brenner,Souza da Silva,FC Cincinnati,Center Forward,"$119,259.00","$280,120.00"
Gilberto,Flores,FC Cincinnati,Center-back,"$364,992.00","$411,664.00"
Teenage,Hadebe,FC Cincinnati,Center-back,"$960,000.00","$1,110,000.00"
Nick,Hagglund,FC Cincinnati,Center-back,"$250,000.00","$266,667.00"
Matt,Miazga,FC Cincinnati,Center-back,"$1,575,000.00","$1,575,000.00"
Miles,Robinson,FC Cincinnati,Center-back,"$1,503,411.00","$1,650,171.00"
Tah,Anunga,FC Cincinnati,Central Midfield,"$104,000.00","$116,500.00"
Pavel,Bucha,FC Cincinnati,Central Midfield,"$474,996.00","$523,778.00"
Samuel,Gidi,FC Cincinnati,Central Midfield,"$540,000.00","$611,050.00"
Stiven,Jimenez,FC Cincinnati,Central Midfield,"$104,000.00","$104,000.00"
Obinna,Nwobodo,FC Cincinnati,Defensive Midfield,"$982,350.00","$1,241,250.00"
Alec,Kann,FC Cincinnati,Goalkeeper,"$192,500.00","$192,500.00"
Evan,Louro,FC Cincinnati,Goalkeeper,"$104,000.00","$109,000.00"
Paul,Walters,FC Cincinnati,Goalkeeper,"$104,000.00","$111,967.00"
Roman,Celentano,FC Cincinnati,Goalkeeper,"$425,000.00","$474,000.00"
Ãlvaro,Barreal,FC Cincinnati,Left Wing,"$755,000.00","$917,238.00"
Lukas,Engel,FC Cincinnati,Left-back,"$750,000.00","$825,781.00"
Brad,Smith,FC Cincinnati,Left-back,"$104,000.00","$114,000.00"
Ender,Echenique,FC Cincinnati,Right Wing,"$324,000.00","$414,180.00"
Dominik,Marczuk,FC Cincinnati,Right Wing,"$660,000.00","$735,500.00"
Luca,Orellano,FC Cincinnati,Right Wing,"$600,000.00","$943,950.00"
Alvas,Powell,FC Cincinnati,Right-back,"$275,000.00","$319,500.00"
Tsiki,Ntsabeleng,FC Dallas,Attacking Midfield,"$200,000.00","$227,000.00"
Paxton,Pomykal,FC Dallas,Attacking Midfield,"$1,050,000.00","$1,158,000.00"
Logan,Farrington,FC Dallas,Center Forward,"$104,000.00","$141,493.00"
Petar,Musa,FC Dallas,Center Forward,"$2,250,000.00","$2,680,000.00"
Diego,Pepi,FC Dallas,Center Forward,"$80,622.00","$80,622.00"
Sebastien,Ibeagha,FC Dallas,Center-back,"$675,000.00","$738,625.00"
Ãlvaro,Augusto,FC Dallas,Center-back,"$80,622.00","$92,740.00"
Lalas,Abubakar,FC Dallas,Center-back,"$410,000.00","$445,000.00"
Osaze,Urhoghide,FC Dallas,Center-back,"$580,000.00","$643,982.00"
Diego,GarcÃ­a,FC Dallas,Central Midfield,"$80,622.00","$94,263.00"
Alejandro,Urzua,FC Dallas,Central Midfield,"$80,622.00","$80,622.00"
Tomas,Pondeca,FC Dallas,Central Midfield,"$80,622.00","$80,622.00"
Ramiro,Moschen Benetti,FC Dallas,Central Midfield,"$500,000.00","$500,000.00"
Christian,Cappis,FC Dallas,Central Midfield,"$242,000.00","$242,000.00"
Sebastian,Lletget,FC Dallas,Central Midfield,"$800,000.00","$891,250.00"
Carl,SaintÃ©,FC Dallas,Defensive Midfield,"$80,622.00","$80,622.00"
Kaick,da Silva Ferreira,FC Dallas,Defensive Midfield,"$150,000.00","$201,900.00"
Patrickson,Delgado,FC Dallas,Defensive Midfield,"$234,000.00","$260,280.00"
Michael,Collodi,FC Dallas,Goalkeeper,"$104,000.00","$116,425.00"
Jacob,Jackson,FC Dallas,Goalkeeper,"$104,000.00","$104,000.00"
Maarten,Paes,FC Dallas,Goalkeeper,"$450,000.00","$522,000.00"
Enes,Sali,FC Dallas,Left Wing,"$325,000.00","$370,000.00"
Tarik,Scott,FC Dallas,Left Wing,"$140,000.00","$155,942.00"
Nolan,Norris,FC Dallas,Left-back,"$125,000.00","$143,642.00"
Joshua,Torquato,FC Dallas,Left-back,"80,622.00","$88,622.00"
Louicius,Deedson,FC Dallas,Right Wing,"$280,000.00","$330,319.00"
Daniel,Baran,FC Dallas,Right Wing,"$80,622.00","$94,838.00"
Pedro Henrique,Fonseca de AraÃºjo Martins,FC Dallas,Right Wing,"$104,000.00","$104,000.00"
Anderson,Julio,FC Dallas,Right Wing,"$750,000.00","$820,000.00"
Bernard,Kamungo,FC Dallas,Right Wing,"$225,000.00","$256,000.00"
Anthony,RamÃ­rez,FC Dallas,Right Wing,"$80,622.00","$80,622.00"
Sam,Sarver,FC Dallas,Right Wing,"$80,622.00","$80,622.00"
Geovane,de Jesus Rocha,FC Dallas,Right-back,"$350,000.00","$397,000.00"
Herbert,Endeley,FC Dallas,Right-back,"$104,000.00","$104,000.00"
Malachi,Molina,FC Dallas,Right-back,"$80,622.00","$93,338.00"
Enzo,Newman,FC Dallas,Right-back,"$80,622.00","$80,622.00"
Shaq,Moore,FC Dallas,Right-back,"$700,000.00","$770,000.00"
Sebastian,Kowalczyk,Houston Dynamo,Attacking Midfield,"$525,000.00","$594,618.00"
Ondrej,Lingr,Houston Dynamo,Attacking Midfield,"$800,004.00","$888,082.00"
Amine,Bassi,Houston Dynamo,Attacking Midfield,"$700,000.00","$700,000.00"
Toyosi,Olusanya,Houston Dynamo,Center Forward,"$318,000.00","$363,219.00"
Stephen Annor,Gyamfi,Houston Dynamo,Center Forward,"$90,000.00","$103,750.00"
Sergio,Santos,Houston Dynamo,Center Forward,"$825,000.00","$940,625.00"
Gabriel,Segal,Houston Dynamo,Center Forward,"$104,000.00","$104,000.00"
Ezequiel,Ponce,Houston Dynamo,Center Forward,"$2,590,000.00","$2,852,200.00"
Femi,Awodesu,Houston Dynamo,Center-back,"$80,622.00","$89,089.00"
AntÃ´nio Carlos,Cunha Capocasali Junior,Houston Dynamo,Center-back,"$699,996.00","$782,672.00"
Felipe,de Andrade Vieira,Houston Dynamo,Center-back,"$180,000.00","$207,500.00"
Daniel,Steres,Houston Dynamo,Center-back,"$300,000.00","$323,438.00"
Erik,Sviatchenko,Houston Dynamo,Center-back,"$750,000.00","$825,000.00"
Ethan,Bartlow,Houston Dynamo,Center-back,"$275,000.00","$275,000.00"
Pablo,Ortiz,Houston Dynamo,Center-back,"$400,000.00","$443,400.00"
Damion,Lowe,Houston Dynamo,Center-back,"$200,000.00","$233,333.00"
Ocimar,de Almeida JÃºnior,Houston Dynamo,Central Midfield,"$104,000.00","$123,533.00"
Ã‰rik,DueÃ±as,Houston Dynamo,Central Midfield,"$150,000.00","$170,625.00"
Jack,McGlynn,Houston Dynamo,Central Midfield,"$265,000.00","$399,320.00"
SebastiÃ¡n,RodrÃ­guez,Houston Dynamo,Central Midfield,"$80,622.00","$89,272.00"
Brooklyn,Raines,Houston Dynamo,Central Midfield,"$125,000.00","$143,063.00"
Jefferson,Valverde,Houston Dynamo,Defensive Midfield,"$249,996.00","$291,657.00"
JosÃ© Artur,de Lima JÃºnior,Houston Dynamo,Defensive Midfield,"$810,000.00","$893,375.00"
DiadiÃ©,SamassÃ©kou,Houston Dynamo,Defensive Midfield,"$714,996.00","$771,871.00"
Andrew,Tarbell,Houston Dynamo,Goalkeeper,"$400,000.00","$430,000.00"
Blake,Gillingham,Houston Dynamo,Goalkeeper,"$80,622.00","$80,622.00"
Jimmy,Maurer,Houston Dynamo,Goalkeeper,"$200,000.00","$200,000.00"
Jonathan,Bond,Houston Dynamo,Goalkeeper,"$400,000.00","$459,704.00"
Nelson,QuiÃ±Ã³nes,Houston Dynamo,Left Wing,"$252,000.00","$272,894.00"
Lawrence,Ennali,Houston Dynamo,Left Wing,"$475,000.00","$549,250.00"
Kieran,Sargeant,Houston Dynamo,Left-back,"$104,000.00","$106,193.00"
Duane,Holmes,Houston Dynamo,Right Midfield,"$300,000.00","$378,000.00"
