,,,,,,Vancouver Whitecaps,Blondell,Anthony,F,"$262,500.00 )","$307,703.25 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,Boateng,Emmanuel,M,"$185,000.04 )","$185,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,Bone,Corben,M,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,Bono,Alex,GK,"$350,000.04 )","$382,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,Bornstein,Jonathan,D-M,"$240,000.00 )","$263,200.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Bou,Gustavo,F,"$2,100,000.00 )","$2,100,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,Boxall,Michael,D,"$300,000.00 )","$317,333.33 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,Bradley,Michael,M,"$6,000,000.00 )","$6,500,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,Brault-Guillard,Zachary,D,"$72,000.00 )","$81,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,Bressan,,D,"$485,300.04 )","$521,931.29 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,Brillant,Frederic,D,"$264,999.96 )","$299,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,Bronico,Brandt,M,"$84,999.96 )","$90,624.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,Bruin,Will,F,"$350,000.04 )","$358,333.37 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Buchanan,Tajon,M-F,"$90,000.00 )","$126,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York Red Bulls,Buckmaster,Rece,D,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Bunbury,Teal,F,"$225,750.00 )","$270,750.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,Burke,Cory,F,"$75,937.56 )","$79,720.37 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,Bush,Evan,GK,"$232,000.08 )","$294,666.75 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sporting Kansas City,Busio,Gianluca,M-F,"$90,000.00 )","$92,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,Bustamante,Antonio,D-M,"$70,250.04 )","$74,484.83 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,Bwana,Handwalla,M-F,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Bye,Brandon,D,"$59,950.08 )","$63,244.93 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,Cabezas,Juan,D-M,"$268,008.00 )","$292,008.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,Cabrera,Victor,D,"$150,000.00 )","$172,328.33 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,Cadden,Chris,M,"$56,250.00 )","$56,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Caicedo,Luis,D-M,"$300,000.00 )","$300,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Caicedo,Juan Fernando,F,"$500,000.04 )","$500,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Caldwell,Scott,M,"$142,312.56 )","$153,208.56 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York City FC,Caldwell,Jeff,GK,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York City FC,Callens,Alexander,D,"$600,000.00 )","$664,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,Calvillo,Eric,M,"$120,000.00 )","$136,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,Calvo,Francisco,D,"$600,000.00 )","$672,600.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,Camacho,Rudy,D,"$700,000.08 )","$749,152.58 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,Campbell,Jonathan,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,Campos,Diego,D,"$70,250.04 )","$72,825.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,Cannon,Reggie,D,"$80,250.00 )","$80,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DC United,Canouse,Russell,M,"$247,500.00 )","$247,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Atlanta United,Carleton,Andrew,M-F,"$84,999.96 )","$97,399.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Inter Miami,Carranza,Julian,F,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,Carrasco,Servando,M,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,Cascante,Julio,D,"$170,004.00 )","$170,004.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York Red Bulls,Casseres,Cristian,M,"$79,999.92 )","$118,749.92 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York City FC,Castellanos,Valentin,M-F,"$249,999.96 )","$274,806.41 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,Castillo,Edgar,D,"$249,999.96 )","$249,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Seattle Sounders FC,Cecchini,Emanuel,M,"$648,000.00 )","$789,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Houston Dynamo,Ceren,Darwin,D-M,"$300,000.00 )","$349,375.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,Cerrillo,Edwin,D-M,"$70,250.04 )","$100,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,Chacon,Thomas,M,"$324,999.96 )","$336,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York City FC,Chanot,Maxime,D,"$650,000.04 )","$650,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,Chapman,Jay,M,"$120,000.00 )","$138,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,Chara,Diego,M,"$550,000.08 )","$568,750.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,Chirinos,Michaell,M,"$360,000.00 )","$396,875.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Montreal Impact,Choiniere,Mathieu,M,"$80,000.04 )","$86,390.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,Ciman,Laurent,D,"$399,999.96 )","$435,624.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,Clark,Ricardo,M,"$159,999.96 )","$159,999.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,Clark,Steve,GK,"$140,000.04 )","$140,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,Cleveland,Stefan,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chicago Fire,Collier,Elliot,M-F,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,Collin,Aurelien,D,"$175,000.08 )","$175,000.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Dallas,Colman,Cristian,F,"$500,000.04 )","$585,000.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Orlando City SC,Colman,Josue,M-F,"$450,000.00 )","$450,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,Colyn,Simon,M-F,"$56,250.00 )","$81,250.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Portland Timbers,Conechny,Tomas,M-F,"$396,000.00 )","$396,000.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,Cornelius,Derek,D,"$99,999.96 )","$111,912.46 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,Corona,Joe,M,"$549,999.96 )","$578,499.96 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Philadelphia Union,,,,,,Creavalle,Warren,D-M,"$162,000.00 )","$175,300.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vancouver Whitecaps,,,,,,Crepeau,Maxime,GK,"$90,000.00 )","$94,083.33 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Columbus Crew,,,,,,Crognale,Alex,D,"$104,504.40 )","$104,504.40 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Major League Soccer,,,,,,Cronin,Sam,M,"$330,000.00 )","$396,990.33 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New England Revolution,,,,,,Cropper,Cody,GK,"$77,519.52 )","$77,519.52 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,Cruz,Allan,M,"$300,000.00 )","$333,125.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LA Galaxy,,,,,,Cuello,Emil,M-F,"$70,250.04 )","$70,250.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,San Jose Earthquakes,,,,,,Cummings,Harold,D,"$270,000.00 )","$320,666.67 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FC Cincinnati,,,,,,Dally,Rashawn,F,"$56,250.00 )","$59,658.75 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toronto FC,,,,,,Daniels,Aidan,M-F,"$57,225.00 )","$57,225.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Minnesota United,,,,,,Danladi,Abu,F,"$145,000.08 )","$180,000.08 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,New York Red Bulls,,,,,,Davis,Sean,M,"$300,000.00 )","$327,500.00 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
