X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Key_,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Day,Tow_Zone
-10385377.1219239,5615599.35686684,17,Victory 1,2022-2023,4,17,2023/02/22 00:00:00+00,Snow Emergency,"2000 DUPONT AVE S ,Minneapolis,MN",44.96237,-93.29343,7,Lowry Hill,Calhoun Isle,1,3
-10385377.1219239,5615599.35686684,18,Victory 1,2022-2023,4,18,2023/02/22 00:00:00+00,Snow Emergency,"2000 DUPONT AVE S ,Minneapolis,MN",44.96237,-93.29343,7,Lowry Hill,Calhoun Isle,1,3
-10377339.5207893,5608906.81998443,19,Victory 1,2022-2023,4,19,2023/02/22 00:00:00+00,Snow Emergency,"3528 46st e,Minneapolis,MN",44.919815,-93.221227,12,Ericsson,Nokomis,1,6
-10380181.8412752,5619893.81165752,20,Victory 1,2022-2023,4,20,2023/02/22 00:00:00+00,Snow Emergency,"400 block 8th st se ,Minneapolis,MN",44.98966,-93.24676,3,Marcy Holmes,University,1,4
-10385378.2351702,5615504.96164895,21,Victory 1,2022-2023,4,21,2023/02/22 00:00:00+00,Snow Emergency,"2100 dupont ave s,Minneapolis,MN",44.96177,-93.29344,7,Lowry Hill,Calhoun Isle,1,3
-10382835.697982,5612535.16183673,22,Victory 1,2022-2023,4,22,2023/02/22 00:00:00+00,Snow Emergency,"3304 4TH AVE S,Minneapolis,MN",44.94289,-93.2706,9,Central,Powderhorn,1,5
-10380181.8412752,5619893.81165752,23,Victory 1,2022-2023,4,23,2023/02/22 00:00:00+00,Snow Emergency,"400 8th st se ,Minneapolis,MN",44.98966,-93.24676,3,Marcy Holmes,University,1,4
-10383750.7442467,5616400.18295968,24,Victory 1,2022-2023,4,24,2023/02/22 00:00:00+00,Snow Emergency,"21 w 15th st,Minneapolis,MN",44.96746,-93.27882,7,Loring Park,Central,1,3
-10385665.3281615,5615062.10386927,25,Victory 1,2022-2023,4,25,2023/02/22 00:00:00+00,Snow Emergency,"1323 24th St w,Minneapolis,MN",44.958955,-93.296019,7,East Isles,Calhoun Isle,1,3
-10384026.8165007,5616400.18295968,26,Victory 1,2022-2023,4,26,2023/02/22 00:00:00+00,Snow Emergency,"205 15TH ST W,Minneapolis,MN",44.96746,-93.2813,7,Loring Park,Central,1,3
-10385195.6711957,5627778.33167792,27,Victory 1,2022-2023,4,27,2023/02/22 00:00:00+00,Snow Emergency,"4643 Bryant av n,Minneapolis,MN",45.03973,-93.2918,4,Lind - Bohanon,Camden,1,1
-10383042.7522726,5613043.16751845,28,Victory 1,2022-2023,4,28,2023/02/22 00:00:00+00,Snow Emergency,"3113 3rd Ave S,Minneapolis,MN",44.94612,-93.27246,9,Central,Powderhorn,1,5
-10383836.2375537,5616416.70375024,29,Victory 1,2022-2023,4,29,2023/02/22 00:00:00+00,Snow Emergency,"109 15TH ST W ,Minneapolis,MN",44.967565,-93.279588,7,Loring Park,Central,1,3
-10382746.6423871,5611786.57409663,30,Victory 1,2022-2023,4,30,2023/02/22 00:00:00+00,Snow Emergency,"3545 4 avenue south,Minneapolis,MN",44.93813,-93.2698,9,Central,Powderhorn,1,5
-10380579.3631881,5619183.01621396,31,Victory 1,2022-2023,4,31,2023/02/22 00:00:00+00,Snow Emergency,"415 UNIVERSITY AVE SE,Minneapolis,MN",44.985144,-93.250331,3,Marcy Holmes,University,1,4
-10383668.8130273,5616459.18576027,32,Victory 1,2022-2023,4,32,2023/02/22 00:00:00+00,Snow Emergency,"8 15th street west,Minneapolis,MN",44.967835,-93.278084,7,Loring Park,Central,1,3
-10381949.1495196,5605055.68946835,33,Victory 1,2022-2023,4,33,2023/02/22 00:00:00+00,Snow Emergency,"5941 Chicago ave s,Minneapolis,MN",44.895313,-93.262636,11,Diamond Lake,Nokomis,1,6
-10380765.1554766,5610522.29382872,34,Victory 1,2022-2023,4,34,2023/02/22 00:00:00+00,Snow Emergency,"4009 Bloomington ave,Minneapolis,MN",44.93009,-93.252,8,Bancroft,Powderhorn,1,6
-10384439.9231602,5616483.25897861,35,Victory 1,2022-2023,4,35,2023/02/22 00:00:00+00,Snow Emergency,"429 15th st. W.,Minneapolis,MN",44.967988,-93.285011,7,Loring Park,Central,1,3
-10381890.5954703,5610116.62938532,36,Victory 1,2022-2023,4,36,2023/02/22 00:00:00+00,Snow Emergency,"4141 Chicago ave s,Minneapolis,MN",44.92751,-93.26211,8,Bancroft,Powderhorn,1,6
-10382839.0375205,5612796.23855757,37,Victory 1,2022-2023,4,37,2023/02/22 00:00:00+00,Snow Emergency,"3208 4th Ave S,Minneapolis,MN",44.94455,-93.27063,9,Central,Powderhorn,1,5
-10382753.3215642,5612516.28923435,38,Victory 1,2022-2023,4,38,2023/02/22 00:00:00+00,Snow Emergency,"3309 4th Ave s,Minneapolis,MN",44.94277,-93.26986,9,Central,Powderhorn,1,5
-10384290.3097729,5616498.04922179,39,Victory 1,2022-2023,4,39,2023/02/22 00:00:00+00,Snow Emergency,"330 15 st w ,Minneapolis,MN",44.968082,-93.283667,7,Loring Park,Central,1,3
-10384287.3041081,5616497.57717432,40,Victory 1,2022-2023,4,40,2023/02/22 00:00:00+00,Snow Emergency,"328 15 st w,Minneapolis,MN",44.968079,-93.28364,7,Loring Park,Central,1,3
-10379058.7389985,5619296.02200412,41,Victory 1,2022-2023,4,41,2023/02/22 00:00:00+00,Snow Emergency,"1100 8th st se,Minneapolis,MN",44.985862,-93.236671,3,Marcy Holmes,University,1,4
-10380853.0978252,5611203.15915363,42,Victory 1,2022-2023,4,42,2023/02/22 00:00:00+00,Snow Emergency,"3742 Bloomington ave,Minneapolis,MN",44.93442,-93.25279,9,Powderhorn Park,Powderhorn,1,6
-10381887.2559318,5611082.07766584,43,Victory 1,2022-2023,4,43,2023/02/22 00:00:00+00,Snow Emergency,"3813 Chicago Avenue South,Minneapolis,MN",44.93365,-93.26208,8,Bancroft,Powderhorn,1,6
-10379838.97725,5619722.2460718,44,Victory 1,2022-2023,4,44,2023/02/22 00:00:00+00,Snow Emergency,"600 8th street se,Minneapolis,MN",44.98857,-93.24368,3,Marcy Holmes,University,1,4
-10382758.8874951,5613024.29371271,45,Victory 1,2022-2023,4,45,2023/02/22 00:00:00+00,Snow Emergency,"3117 4TH AVE S,Minneapolis,MN",44.946,-93.26991,9,Central,Powderhorn,1,5
-10380765.1554766,5610522.29382872,46,Victory 1,2022-2023,4,46,2023/02/22 00:00:00+00,Snow Emergency,"4009 Bloomington Avenue South,Minneapolis,MN",44.93009,-93.252,8,Bancroft,Powderhorn,1,6
-10383542.5767099,5615825.90961573,47,Victory 1,2022-2023,4,47,2023/02/22 00:00:00+00,Snow Emergency,"1900 1 st av s,Minneapolis,MN",44.96381,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10380769.6082613,5612129.40710314,48,Victory 1,2022-2023,4,48,2023/02/22 00:00:00+00,Snow Emergency,"3433 Bloomington ave ,Minneapolis,MN",44.94031,-93.25204,9,Powderhorn Park,Powderhorn,1,6
-10380239.7274769,5619009.26064249,49,Victory 1,2022-2023,4,49,2023/02/22 00:00:00+00,Snow Emergency,"601 UNIVERSITY AVE SE,Minneapolis,MN",44.98404,-93.24728,3,Marcy Holmes,University,1,4
-10383779.6872475,5616400.18295968,50,Victory 1,2022-2023,4,50,2023/02/22 00:00:00+00,Snow Emergency,"27 15th st west ,Minneapolis,MN",44.96746,-93.27908,7,Loring Park,Central,1,3
-10384227.1916141,5616420.63730322,51,Victory 1,2022-2023,4,51,2023/02/22 00:00:00+00,Snow Emergency,"315 15TH ST W,Minneapolis,MN",44.96759,-93.2831,7,Loring Park,Central,1,3
-10380529.1580851,5619193.403789,52,Victory 1,2022-2023,4,52,2023/02/22 00:00:00+00,Snow Emergency,"409 university ave se,Minneapolis,MN",44.98521,-93.24988,3,Marcy Holmes,University,1,4
-10383542.5767099,5616003.69447325,53,Victory 1,2022-2023,4,53,2023/02/22 00:00:00+00,Snow Emergency,"1800 1ST AVE S,Minneapolis,MN",44.96494,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10380048.257933,5618917.97743534,54,Victory 1,2022-2023,4,54,2023/02/22 00:00:00+00,Snow Emergency,"709 university ave se ,Minneapolis,MN",44.98346,-93.24556,3,Marcy Holmes,University,1,4
-10383057.7803961,5611384.62709865,55,Victory 1,2022-2023,4,55,2023/02/22 00:00:00+00,Snow Emergency,"3715 3rd Ave S,Minneapolis,MN",44.935574,-93.272595,8,Central,Powderhorn,1,5
-10385656.5339166,5624602.90844775,56,Victory 1,2022-2023,4,56,2023/02/22 00:00:00+00,Snow Emergency,"3535 FREMONT AVE N,Minneapolis,MN",45.01957,-93.29594,4,Folwell,Camden,1,1
-10385576.3838913,5623919.45674851,57,Victory 1,2022-2023,4,57,2023/02/22 00:00:00+00,Snow Emergency,"3300 FREMONT AVE N,Minneapolis,MN",45.01523,-93.29522,4,Folwell,Camden,1,1
-10383043.8654187,5613250.7817027,58,Victory 1,2022-2023,4,58,2023/02/22 00:00:00+00,Snow Emergency,"3025 3RD AVE S,Minneapolis,MN",44.94744,-93.27247,9,Central,Powderhorn,1,5
-10383545.9163485,5613919.26902982,59,Victory 1,2022-2023,4,59,2023/02/22 00:00:00+00,Snow Emergency,"2800 1st Ave s,Minneapolis,MN",44.95169,-93.27698,10,Whittier,Powderhorn,1,3
-10385122.2003475,5629197.86815316,60,Victory 1,2022-2023,4,60,2023/02/22 00:00:00+00,Snow Emergency,"5138 Bryant Ave N mpls ,Minneapolis,MN",45.04874,-93.29114,4,Lind - Bohanon,Camden,1,1
-10383510.8506936,5616190.1363129,61,Victory 1,2022-2023,4,61,2023/02/22 00:00:00+00,Snow Emergency,"1700 1st av s,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10383542.5767099,5616003.69447325,62,Victory 1,2022-2023,4,62,2023/02/22 00:00:00+00,Snow Emergency,"1800 1st ave south ,Minneapolis,MN",44.96494,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10378613.3496996,5606468.04104029,63,Victory 1,2022-2023,4,63,2023/02/22 00:00:00+00,Snow Emergency,"5432 28th ave s,Minneapolis,MN",44.9043,-93.23267,11,Wenonah,Nokomis,1,6
-10379484.3134153,5618558.99143392,64,Victory 1,2022-2023,4,64,2023/02/22 00:00:00+00,Snow Emergency,"300 11th ave se ,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,1,4
-10385202.3503728,5629120.66228933,65,Victory 1,2022-2023,4,65,2023/02/22 00:00:00+00,Snow Emergency,"5119 Bryant Ave N mols,Minneapolis,MN",45.04825,-93.29186,4,Lind - Bohanon,Camden,1,1
-10382746.6423871,5611786.57409663,66,Victory 1,2022-2023,4,66,2023/02/22 00:00:00+00,Snow Emergency,"3545 4th Ave S,Minneapolis,MN",44.93813,-93.2698,9,Central,Powderhorn,1,5
-10380856.4374638,5612099.52654903,67,Victory 1,2022-2023,4,67,2023/02/22 00:00:00+00,Snow Emergency,"3434 bloomington ave so,Minneapolis,MN",44.94012,-93.25282,9,Powderhorn Park,Powderhorn,1,6
-10383510.8506936,5616190.1363129,68,Victory 1,2022-2023,4,68,2023/02/22 00:00:00+00,Snow Emergency,"1700 1 AV S,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10383708.4427916,5616419.06382522,69,Victory 1,2022-2023,4,69,2023/02/22 00:00:00+00,Snow Emergency,"11 15TH ST W,Minneapolis,MN",44.96758,-93.27844,7,Loring Park,Central,1,3
-10378547.1145515,5608189.50072745,70,Victory 1,2022-2023,4,70,2023/02/22 00:00:00+00,Snow Emergency,"4823 28th ave,Minneapolis,MN",44.915252,-93.232075,12,Keewaydin,Nokomis,1,6
-10379484.3134153,5618558.99143392,71,Victory 1,2022-2023,4,71,2023/02/22 00:00:00+00,Snow Emergency,"300 BLK 11TH AVE SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,1,4
-10383597.123273,5615814.89642575,72,Victory 1,2022-2023,4,72,2023/02/22 00:00:00+00,Snow Emergency,"1 19TH ST E,Minneapolis,MN",44.96374,-93.27744,6,Steven's Square - Loring Heights,Central,1,3
-10383510.8506936,5616190.1363129,73,Victory 1,2022-2023,4,73,2023/02/22 00:00:00+00,Snow Emergency,"1700 1 AV S,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10383515.3034784,5614513.87110262,74,Victory 1,2022-2023,4,74,2023/02/22 00:00:00+00,Snow Emergency,"2600 1st Ave s,Minneapolis,MN",44.95547,-93.276705,10,Whittier,Powderhorn,1,3
-10378931.5007594,5619589.24557952,75,Victory 1,2022-2023,4,75,2023/02/22 00:00:00+00,Snow Emergency,"1124 Como ave s4,Minneapolis,MN",44.987725,-93.235528,2,Como,University,1,4
-10378779.3271059,5619628.59473554,76,Victory 1,2022-2023,4,76,2023/02/23 00:00:00+00,Snow Emergency,"1225 Como ave se,Minneapolis,MN",44.987975,-93.234161,2,Como,University,1,4
-10380049.3710791,5618919.55134912,77,Victory 1,2022-2023,4,77,2023/02/23 00:00:00+00,Snow Emergency,"707 UNIVERSITY AVE SE,Minneapolis,MN",44.98347,-93.24557,3,Marcy Holmes,University,1,4
-10380136.6455801,5619090.78688255,78,Victory 1,2022-2023,4,78,2023/02/23 00:00:00+00,Snow Emergency,"610 4TH ST SE,Minneapolis,MN",44.984558,-93.246354,3,Marcy Holmes,University,1,4
-10379384.7938063,5613132.03211124,79,Victory 1,2022-2023,4,79,2023/02/23 00:00:00+00,Snow Emergency,"2250 31st st e,Minneapolis,MN",44.946685,-93.2396,9,Corcoran,Powderhorn,1,6
-10379384.7938063,5613132.03211124,80,Victory 1,2022-2023,4,80,2023/02/23 00:00:00+00,Snow Emergency,"2250 31st st e,Minneapolis,MN",44.946685,-93.2396,9,Corcoran,Powderhorn,1,6
-10379384.7938063,5613132.03211124,81,Victory 1,2022-2023,4,81,2023/02/23 00:00:00+00,Snow Emergency,"2250 31st st e,Minneapolis,MN",44.946685,-93.2396,9,Corcoran,Powderhorn,1,6
-10379991.7076267,5619009.26064249,82,Victory 1,2022-2023,4,82,2023/02/23 00:00:00+00,Snow Emergency,"728 4TH ST SE,Minneapolis,MN",44.98404,-93.245052,3,Marcy Holmes,University,1,4
-10379484.3134153,5618558.99143392,83,Victory 1,2022-2023,4,83,2023/02/23 00:00:00+00,Snow Emergency,"300-BLOCK 11TH AVE SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,1,4
-10383542.5767099,5616003.69447325,84,Victory 1,2022-2023,4,84,2023/02/23 00:00:00+00,Snow Emergency,"1800 1st ave south ,Minneapolis,MN",44.96494,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10385170.6242565,5627689.16514808,85,Victory 1,2022-2023,4,85,2023/02/23 00:00:00+00,Snow Emergency,"4623 Bryant av n,Minneapolis,MN",45.039164,-93.291575,4,Lind - Bohanon,Camden,1,1
-10385599.6496365,5625034.89567074,86,Victory 1,2022-2023,4,86,2023/02/23 00:00:00+00,Snow Emergency,"3700 FREMONT AVE N,Minneapolis,MN",45.022313,-93.295429,4,Folwell,Camden,1,1
-10385599.6496365,5625034.89567074,87,Victory 1,2022-2023,4,87,2023/02/23 00:00:00+00,Snow Emergency,"3700 FREMONT AVE N,Minneapolis,MN",45.022313,-93.295429,4,Folwell,Camden,1,1
-10379831.1849268,5615821.1896351,88,Victory 1,2022-2023,4,88,2023/02/23 00:00:00+00,Snow Emergency,"2009 9TH ST S,Minneapolis,MN",44.96378,-93.24361,6,Seward,Longfellow,1,4
-10383689.7411557,5616459.18576027,89,Victory 1,2022-2023,4,89,2023/02/23 00:00:00+00,Snow Emergency,"24 15TH ST W,Minneapolis,MN",44.967835,-93.278272,7,Loring Park,Central,1,3
-10383043.8654187,5613269.65598191,90,Victory 1,2022-2023,4,90,2023/02/23 00:00:00+00,Snow Emergency,"3021 3rd Ave S,Minneapolis,MN",44.94756,-93.27247,9,Central,Powderhorn,1,5
-10383826.5528119,5616582.54215569,91,Victory 1,2022-2023,4,91,2023/02/23 00:00:00+00,Snow Emergency,"1400 LASALLE AVE ,Minneapolis,MN",44.968619,-93.279501,7,Loring Park,Central,1,3
-10383510.8506936,5616190.1363129,92,Victory 1,2022-2023,4,92,2023/02/23 00:00:00+00,Snow Emergency,"1700 1st Ave s ,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10383676.6054507,5616459.18576027,93,Victory 1,2022-2023,4,93,2023/02/23 00:00:00+00,Snow Emergency,"14 15 st w,Minneapolis,MN",44.967835,-93.278154,7,Loring Park,Central,1,3
-10384211.6068675,5617760.49155275,94,Victory 1,2022-2023,4,94,2023/02/23 00:00:00+00,Snow Emergency,"1328 linden av ,Minneapolis,MN",44.976105,-93.28296,5,North Loop,Central,1,3
-10383510.8506936,5616190.1363129,95,Victory 1,2022-2023,4,95,2023/02/23 00:00:00+00,Snow Emergency,"1700 1 AV S,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10380216.0164332,5613133.60487492,96,Victory 1,2022-2023,4,96,2023/02/23 00:00:00+00,Snow Emergency,"1830 31st Street East,Minneapolis,MN",44.946695,-93.247067,9,Corcoran,Powderhorn,1,6
-10379423.5329736,5613132.03211124,97,Victory 1,2022-2023,4,97,2023/02/23 00:00:00+00,Snow Emergency,"2240 31st st e,Minneapolis,MN",44.946685,-93.239948,9,Corcoran,Powderhorn,1,6
-10378529.192188,5609430.34333538,98,Victory 1,2022-2023,4,98,2023/02/23 00:00:00+00,Snow Emergency,"2805 East 44th Street,Minneapolis,MN",44.923145,-93.231914,12,Ericsson,Nokomis,1,6
-10379852.4469289,5615836.92267765,99,Victory 1,2022-2023,4,99,2023/02/23 00:00:00+00,Snow Emergency,"2025 9th st s ,Minneapolis,MN",44.96388,-93.243801,6,Seward,Longfellow,1,4
-10379061.9672124,5615816.46979842,100,Victory 1,2022-2023,4,100,2023/02/23 00:00:00+00,Snow Emergency,"2417 9TH ST S,Minneapolis,MN",44.96375,-93.2367,6,Seward,Longfellow,1,4
-10385433.8948794,5623628.13938842,101,Victory 1,2022-2023,4,101,2023/02/23 00:00:00+00,Snow Emergency,"3200 Emerson Avenue n,Minneapolis,MN",45.01338,-93.29394,4,Folwell,Camden,1,1
-10379320.8963752,5615828.26953622,102,Victory 1,2022-2023,4,102,2023/02/23 00:00:00+00,Snow Emergency,"2315 9th st s,Minneapolis,MN",44.963825,-93.239026,6,Seward,Longfellow,1,4
-10383542.5767099,5615825.90961573,103,Victory 1,2022-2023,4,103,2023/02/23 00:00:00+00,Snow Emergency,"1900 1ST ave south ,Minneapolis,MN",44.96381,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10383891.0067661,5615487.6560109,104,Victory 1,2022-2023,4,104,2023/02/23 00:00:00+00,Snow Emergency,"2100 BLAISDELL ave ,Minneapolis,MN",44.96166,-93.28008,10,Whittier,Powderhorn,1,3
-10379505.7980667,5615831.25880746,105,Victory 1,2022-2023,4,105,2023/02/23 00:00:00+00,Snow Emergency,"2203 9TH ST S,Minneapolis,MN",44.963844,-93.240687,6,Seward,Longfellow,1,4
-10379677.4527285,5615832.98937906,106,Victory 1,2022-2023,4,106,2023/02/23 00:00:00+00,Snow Emergency,"2105 9TH ST S,Minneapolis,MN",44.963855,-93.242229,6,Seward,Longfellow,1,4
-10380500.1037598,5613132.03211124,107,Victory 1,2022-2023,4,107,2023/02/23 00:00:00+00,Snow Emergency,"1724 31st st e,Minneapolis,MN",44.946685,-93.249619,9,Powderhorn Park,Powderhorn,1,6
-10380493.9812058,5613132.03211124,108,Victory 1,2022-2023,4,108,2023/02/23 00:00:00+00,Snow Emergency,"1736 31st st e,Minneapolis,MN",44.946685,-93.249564,9,Powderhorn Park,Powderhorn,1,6
-10383510.8506936,5616190.1363129,109,Victory 1,2022-2023,4,109,2023/02/23 00:00:00+00,Snow Emergency,"1700 1st Ave s ,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10383891.0067661,5615330.33304879,110,Victory 1,2022-2023,4,110,2023/02/23 00:00:00+00,Snow Emergency,"2200 blaisdell AVE,Minneapolis,MN",44.96066,-93.28008,10,Whittier,Powderhorn,1,3
-10380493.9812058,5613132.03211124,111,Victory 1,2022-2023,4,111,2023/02/23 00:00:00+00,Snow Emergency,"1736 E 31ST ST,Minneapolis,MN",44.946685,-93.249564,9,Powderhorn Park,Powderhorn,1,6
-10383542.5767099,5615825.90961573,112,Victory 1,2022-2023,4,112,2023/02/23 00:00:00+00,Snow Emergency,"1900 1ST AVE S ,Minneapolis,MN",44.96381,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10379651.1813185,5615832.98937906,113,Victory 1,2022-2023,4,113,2023/02/23 00:00:00+00,Snow Emergency,"2125 9TH ST S,Minneapolis,MN",44.963855,-93.241993,6,Seward,Longfellow,1,4
-10380376.6504578,5629375.12893117,114,Victory 1,2022-2023,4,114,2023/02/23 00:00:00+00,Snow Emergency,"900 45th ave no mpls,Minneapolis,MN",45.049865,-93.24851,0, , ,1,0
-10383510.8506936,5616190.1363129,115,Victory 1,2022-2023,4,115,2023/02/23 00:00:00+00,Snow Emergency,"1700 1ST AVE S ,Minneapolis,MN",44.966125,-93.276665,6,Steven's Square - Loring Heights,Central,1,3
-10379334.700028,5615828.26953622,116,Victory 1,2022-2023,4,116,2023/02/23 00:00:00+00,Snow Emergency,"2305 9th st s,Minneapolis,MN",44.963825,-93.23915,6,Seward,Longfellow,1,4
-10385175.744989,5627320.69305193,117,Victory 1,2022-2023,4,117,2023/02/23 00:00:00+00,Snow Emergency,"900 45th ave n,Minneapolis,MN",45.036825,-93.291621,4,Lind - Bohanon,Camden,1,1
-10384207.4880566,5617760.49155275,118,Victory 1,2022-2023,4,118,2023/02/23 00:00:00+00,Snow Emergency,"1306 linden av ,Minneapolis,MN",44.976105,-93.282923,5,North Loop,Central,1,3
-10383542.5767099,5615825.90961573,119,Victory 1,2022-2023,4,119,2023/02/23 00:00:00+00,Snow Emergency,"1900 1 AV S,Minneapolis,MN",44.96381,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10383542.5767099,5615825.90961573,120,Victory 1,2022-2023,4,120,2023/02/23 00:00:00+00,Snow Emergency,"1900 1 AV S,Minneapolis,MN",44.96381,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10383072.2518964,5613363.39865024,121,Victory 1,2022-2023,4,121,2023/02/23 00:00:00+00,Snow Emergency,"3015 3rd Ave S,Minneapolis,MN",44.948156,-93.272725,9,Central,Powderhorn,1,5
-10379489.9906708,5615873.42338538,122,Victory 1,2022-2023,4,122,2023/02/23 00:00:00+00,Snow Emergency,"2214 9th st s ,Minneapolis,MN",44.964112,-93.240545,6,Seward,Longfellow,1,4
-10379610.3270835,5615832.98937906,123,Victory 1,2022-2023,4,123,2023/02/23 00:00:00+00,Snow Emergency,"2115 9TH ST S,Minneapolis,MN",44.963855,-93.241626,6,Seward,Longfellow,1,4
-10379724.3181929,5615838.49605415,124,Victory 1,2022-2023,4,124,2023/02/23 00:00:00+00,Snow Emergency,"912 21ST AVE S,Minneapolis,MN",44.96389,-93.24265,6,Seward,Longfellow,1,4
-10383542.5767099,5616003.69447325,125,Victory 1,2022-2023,4,125,2023/02/23 00:00:00+00,Snow Emergency,"1800 1st Ave s ,Minneapolis,MN",44.96494,-93.27695,6,Steven's Square - Loring Heights,Central,1,3
-10385601.4307304,5623610.81802022,126,Victory 1,2022-2023,4,126,2023/02/23 00:00:00+00,Snow Emergency,"3200 Fremont ave n,Minneapolis,MN",45.01327,-93.295445,4,Folwell,Camden,1,1
-10379489.9906708,5615873.42338538,127,Victory 1,2022-2023,4,127,2023/02/23 00:00:00+00,Snow Emergency,"2214 9TH ST S,Minneapolis,MN",44.964112,-93.240545,6,Seward,Longfellow,1,4
