OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Date___Tim,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone,x,y
20,Northrop,2022-2023,4,271123316409,1/6/23 12:00 AM,12:47 PM,1/6/23 12:47 PM,909 21ST AVE S,44.963514,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379706.5070539,5615779.33997446
21,Northrop,2022-2023,4,271123316408,1/6/23 12:00 AM,12:46 PM,1/6/23 12:46 PM,907 21ST AVE S,44.963497,-93.242474,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379704.72596,5615776.66539358
22,Northrop,2022-2023,4,271123316407,1/6/23 12:00 AM,12:41 PM,1/6/23 12:41 PM,903 21ST AVE S,44.963864,-93.242553,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379713.5202049,5615834.40541729
23,Northrop,2022-2023,4,271123316406,1/6/23 12:00 AM,12:38 PM,1/6/23 12:38 PM,903 22ND AVE S,44.96385,-93.240901,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379529.6204351,5615832.20283274
24,Northrop,2022-2023,4,271123316405,1/6/23 12:00 AM,12:37 PM,1/6/23 12:37 PM,905 22ND AVE S,44.963702,-93.240943,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379534.2958691,5615808.91789509
25,Northrop,2022-2023,4,271123316404,1/6/23 12:00 AM,12:34 PM,1/6/23 12:34 PM,907 22ND AVE S,44.963562,-93.240953,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379535.4090152,5615786.89171155
26,Northrop,2022-2023,4,271123316403,1/6/23 12:00 AM,12:34 PM,1/6/23 12:34 PM,909 22ND AVE S,44.963498,-93.240925,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379532.2921259,5615776.82273017
27,Northrop,2022-2023,4,271123316402,1/6/23 12:00 AM,12:33 PM,1/6/23 12:33 PM,911 22ND AVE S,44.963427,-93.240934,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379533.2939474,5615765.6522637
28,Northrop,2022-2023,4,271123316401,1/6/23 12:00 AM,12:32 PM,1/6/23 12:32 PM,913 22ND AVE S,44.963348,-93.240929,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379532.7373243,5615753.22326303
29,Northrop,2022-2023,4,271123316400,1/6/23 12:00 AM,12:25 PM,1/6/23 12:25 PM,2321 23RD AVE S,44.959333,-93.239275,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379348.6149052,5615121.56975731
30,Northrop,2022-2023,4,271123316399,1/6/23 12:00 AM,12:16 PM,1/6/23 12:16 PM,2021 24TH AVE S,44.961992,-93.237722,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379175.7357726,5615539.88783101
31,Northrop,2022-2023,4,271123316398,1/6/23 12:00 AM,12:14 PM,1/6/23 12:14 PM,2013 24TH AVE S,44.962137,-93.237742,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379177.962165,5615562.69993456
32,Northrop,2022-2023,4,271123316397,1/6/23 12:00 AM,12:11 PM,1/6/23 12:11 PM,929 24TH AVE S,44.962996,-93.237786,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379182.8602482,5615697.84364505
33,Northrop,2022-2023,4,271123316396,1/6/23 12:00 AM,12:08 PM,1/6/23 12:08 PM,917 24TH AVE S,44.963333,-93.237747,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379178.5187881,5615750.86336216
34,Northrop,2022-2023,4,271123316395,1/6/23 12:00 AM,12:07 PM,1/6/23 12:07 PM,911 24TH AVE S,44.963506,-93.237755,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379179.409285,5615778.08128149
35,Northrop,2022-2023,4,271123316394,1/6/23 12:00 AM,12:02 PM,1/6/23 12:02 PM,2329 25TH AVE S,44.959356,-93.236208,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379007.1981001,5615125.18809542
36,Northrop,2022-2023,4,271123316393,1/6/23 12:00 AM,11:43 AM,1/6/23 11:43 AM,725 27TH AVE S,44.966128,-93.232986,478.1000(c),Snow emergency parking restrictions - odd number address,2,Cedar Riverside,University,3,4,-10378648.5266791,5616190.6083443
37,Northrop,2022-2023,4,271123316392,1/6/23 12:00 AM,11:42 AM,1/6/23 11:42 AM,725 27TH AVE S,44.965875,-93.233,478.1000(c),Snow emergency parking restrictions - odd number address,2,Cedar Riverside,University,3,4,-10378650.0851237,5616150.8022894
38,Northrop,2022-2023,4,271123316391,1/6/23 12:00 AM,11:41 AM,1/6/23 11:41 AM,729 27TH AVE S,44.965694,-93.232982,478.1000(c),Snow emergency parking restrictions - odd number address,2,Cedar Riverside,University,3,4,-10378648.0813806,5616122.32450508
39,Northrop,2022-2023,4,271123316390,1/6/23 12:00 AM,9:41 AM,1/6/23 9:41 AM,823 13TH AVE S,44.96777,-93.255881,478.1000(c),Snow emergency parking restrictions - odd number address,6,Elliot Park,Central,3,3,-10381197.1864213,5616448.95868052
40,Northrop,2022-2023,4,271123316389,1/6/23 12:00 AM,9:27 AM,1/6/23 9:27 AM,1415 10TH AVE S,44.968459,-93.259595,478.1000(c),Snow emergency parking restrictions - odd number address,6,Elliot Park,Central,3,3,-10381610.6269546,5616557.36722108
41,Northrop,2022-2023,4,271123316388,1/6/23 12:00 AM,9:19 AM,1/6/23 9:19 AM,629 16TH ST E,44.967183,-93.265528,478.1000(c),Snow emergency parking restrictions - odd number address,6,Elliot Park,Central,3,3,-10382271.0855166,5616356.59994194
42,Northrop,2022-2023,4,271123316387,1/6/23 12:00 AM,9:16 AM,1/6/23 9:16 AM,625 16TH ST E,44.967138,-93.265605,478.1000(c),Snow emergency parking restrictions - odd number address,6,Elliot Park,Central,3,3,-10382279.6571122,5616349.51962637
43,Northrop,2022-2023,4,271123316386,1/6/23 12:00 AM,9:02 AM,1/6/23 9:02 AM,505 14TH ST E,44.968905,-93.268762,478.1000(c),Snow emergency parking restrictions - odd number address,7,Elliot Park,Central,3,3,-10382631.092733,5616627.54242722
44,Northrop,2022-2023,4,271123316385,1/6/23 12:00 AM,8:48 AM,1/6/23 8:48 AM,125 CLIFTON AVE,44.965356,-93.282858,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10384200.2522564,5616069.14526417
45,Northrop,2022-2023,4,271123316384,1/6/23 12:00 AM,8:36 AM,1/6/23 8:36 AM,1365 SPRUCE PLACE,44.968989,-93.280934,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383986.0735903,5616640.75939021
46,Northrop,2022-2023,4,271123316383,1/6/23 12:00 AM,8:35 AM,1/6/23 8:35 AM,1363 SPRUCE PLACE,44.969089,-93.280883,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383980.3963348,5616656.4938615
47,Northrop,2022-2023,4,271123316382,1/6/23 12:00 AM,8:34 AM,1/6/23 8:34 AM,1361 SPRUCE PLACE,44.969222,-93.280762,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383966.9266559,5616677.4207013
48,Northrop,2022-2023,4,271123316381,1/6/23 12:00 AM,8:32 AM,1/6/23 8:32 AM,1359 SPRUCE PLACE,44.969318,-93.280826,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383974.0511315,5616692.52582628
49,Northrop,2022-2023,4,271123316379,1/6/23 12:00 AM,8:28 AM,1/6/23 8:28 AM,1367 SPRUCE PLACE,44.968934,-93.280862,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383978.0586178,5616632.10547807
50,Northrop,2022-2023,4,271123316378,1/6/23 12:00 AM,8:25 AM,1/6/23 8:25 AM,1369 SPRUCE PLACE,44.968896,-93.280892,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383981.3981563,5616626.12640605
51,Northrop,2022-2023,4,271123316377,1/6/23 12:00 AM,8:22 AM,1/6/23 8:22 AM,1515 SPRUCE PLACE,44.966751,-93.2808,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383971.1567914,5616288.62953788
52,Northrop,2022-2023,4,271123316376,1/6/23 12:00 AM,8:20 AM,1/6/23 8:20 AM,1531 SPRUCE PLACE,44.966516,-93.280846,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10383976.2775239,5616251.65511634
53,Northrop,2022-2023,4,271123316375,1/6/23 12:00 AM,8:10 AM,1/6/23 8:10 AM,201 14TH ST W,44.968865,-93.281415,478.1000(c),Snow emergency parking restrictions - odd number address,7,Loring Park,Central,3,3,-10384039.6182318,5616621.24865561
54,Northrop,2022-2023,4,271123316374,1/5/23 12:00 AM,1:55 PM,1/5/23 1:55 PM,2208 21ST AVE S,44.960618,-93.242592,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379717.861665,5615323.72552429
55,Northrop,2022-2023,4,271123316373,1/5/23 12:00 AM,1:51 PM,1/5/23 1:51 PM,2129 21ST AVE S,44.96113,-93.24259,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379717.6390158,5615404.27449521
56,Northrop,2022-2023,4,271123316372,1/5/23 12:00 AM,1:49 PM,1/5/23 1:49 PM,2125 21ST AVE S,44.961458,-93.24256,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379714.2994773,5615455.87650881
57,Northrop,2022-2023,4,271123316371,1/5/23 12:00 AM,1:46 PM,1/5/23 1:46 PM,2123 21ST AVE S,44.961543,-93.242555,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379713.7428542,5615469.24908736
58,Northrop,2022-2023,4,271123316370,1/5/23 12:00 AM,1:46 PM,1/5/23 1:46 PM,2121 21ST AVE S,44.961699,-93.242542,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379712.2957341,5615493.79166042
59,Northrop,2022-2023,4,271123316369,1/5/23 12:00 AM,1:44 PM,1/5/23 1:44 PM,2100 21ST AVE S,44.96183,-93.242561,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379714.4108019,5615514.40114047
60,Northrop,2022-2023,4,271123316368,1/5/23 12:00 AM,1:40 PM,1/5/23 1:40 PM,2020 21ST AVE S,44.96202,-93.242567,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379715.0786495,5615544.29285798
61,Northrop,2022-2023,4,271123316367,1/5/23 12:00 AM,1:39 PM,1/5/23 1:39 PM,2016 21ST AVE S,44.962069,-93.242532,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379711.1824879,5615552.00187257
62,Northrop,2022-2023,4,271123316366,1/5/23 12:00 AM,1:37 PM,1/5/23 1:37 PM,2014 21ST AVE S,44.962097,-93.242537,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379711.739111,5615556.40690545
63,Northrop,2022-2023,4,271123316365,1/5/23 12:00 AM,1:30 PM,1/5/23 1:30 PM,924 21ST AVE S,44.963059,-93.24253,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379710.9598387,5615707.75534443
64,Northrop,2022-2023,4,271123316364,1/5/23 12:00 AM,1:27 PM,1/5/23 1:27 PM,912 21ST AVE S,44.963414,-93.242528,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379710.7371894,5615763.60703229
65,Northrop,2022-2023,4,271123316363,1/5/23 12:00 AM,1:25 PM,1/5/23 1:25 PM,906 21ST AVE S,44.963721,-93.242552,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379713.4088803,5615811.90715993
66,Northrop,2022-2023,4,271123316362,1/5/23 12:00 AM,1:13 PM,1/5/23 1:13 PM,2214 22ND AVE S,44.960326,-93.240912,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379530.8449058,5615277.78778549
67,Northrop,2022-2023,4,271123316361,1/5/23 12:00 AM,1:08 PM,1/5/23 1:08 PM,2118 22ND AVE S,44.961223,-93.240931,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379532.9599736,5615418.90549853
68,Northrop,2022-2023,4,271123316360,1/5/23 12:00 AM,1:06 PM,1/5/23 1:06 PM,2020 22ND AVE S,44.961848,-93.240911,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379530.7335812,5615517.2329757
69,Northrop,2022-2023,4,271123316359,1/5/23 12:00 AM,1:04 PM,1/5/23 1:04 PM,2006 22ND AVE S,44.962,-93.24094,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379533.9618952,5615541.14634929
70,Northrop,2022-2023,4,271123316358,1/5/23 12:00 AM,1:02 PM,1/5/23 1:02 PM,2006 22ND AVE S,44.962313,-93.240955,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379535.6316644,5615590.38928649
71,Northrop,2022-2023,4,271123316357,1/5/23 12:00 AM,12:57 PM,1/5/23 12:57 PM,918 22ND AVE S,44.963169,-93.240988,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379539.3051768,5615725.06154598
72,Northrop,2022-2023,4,271123316356,1/5/23 12:00 AM,12:56 PM,1/5/23 12:56 PM,920 22ND AVE S,44.96311,-93.24097,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379537.3014337,5615715.77916968
73,Northrop,2022-2023,4,271123316355,1/5/23 12:00 AM,12:51 PM,1/5/23 12:51 PM,922 22ND AVE S,44.964,-93.240957,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379535.8543137,5615855.8023649
74,Northrop,2022-2023,4,271123316354,1/5/23 12:00 AM,12:44 PM,1/5/23 12:44 PM,922 24TH AVE S,44.963069,-93.237766,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379180.6338559,5615709.32869842
75,Northrop,2022-2023,4,271123316353,1/5/23 12:00 AM,12:40 PM,1/5/23 12:40 PM,900 24TH AVE S,44.96394,-93.237804,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379184.8639914,5615846.36251633
76,Northrop,2022-2023,4,271123316352,1/5/23 12:00 AM,12:26 PM,1/5/23 12:26 PM,2214 25TH AVE S,44.960517,-93.236204,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379006.7528016,5615307.83604785
77,Northrop,2022-2023,4,271123316351,1/5/23 12:00 AM,12:23 PM,1/5/23 12:23 PM,2004 25TH AVE S,44.962506,-93.236193,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379005.5282308,5615620.75325724
78,Northrop,2022-2023,4,271123316350,1/5/23 12:00 AM,12:22 PM,1/5/23 12:22 PM,2002 25TH AVE S,44.962628,-93.23624,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379010.7602879,5615639.94716073
79,Northrop,2022-2023,4,271123316349,1/5/23 12:00 AM,12:21 PM,1/5/23 12:21 PM,2000 25TH AVE S,44.962636,-93.236202,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379006.5301524,5615641.20583445
80,Northrop,2022-2023,4,271123316348,1/5/23 12:00 AM,12:19 PM,1/5/23 12:19 PM,916 25TH AVE S,44.963047,-93.23618,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379004.0811108,5615705.86746148
81,Northrop,2022-2023,4,271123316347,1/5/23 12:00 AM,12:16 PM,1/5/23 12:16 PM,914 25TH AVE S,44.963031,-93.236212,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379007.6432985,5615703.35023768
82,Northrop,2022-2023,4,271123316346,1/5/23 12:00 AM,12:13 PM,1/5/23 12:13 PM,912 25TH AVE S,44.963304,-93.236248,478.1000(b),Snow emergency parking restrictions - even number address,6,Seward,Longfellow,2,4,-10379011.6508849,5615746.30089832
83,Northrop,2022-2023,4,271123316345,1/5/23 12:00 AM,11:40 AM,1/5/23 11:40 AM,708 27TH AVE S,44.966101,-93.23303,478.1000(b),Snow emergency parking restrictions - even number address,2,Cedar Riverside,University,2,4,-10378653.4247623,5616186.36020411
84,Northrop,2022-2023,4,271123316344,1/5/23 12:00 AM,11:38 AM,1/5/23 11:38 AM,728 27TH AVE S,44.965731,-93.233045,478.1000(b),Snow emergency parking restrictions - even number address,2,Cedar Riverside,University,2,4,-10378655.0945316,5616128.14590064
85,Northrop,2022-2023,4,271123316343,1/5/23 12:00 AM,11:35 AM,1/5/23 11:35 AM,730 27TH AVE S,44.965518,-93.233002,478.1000(b),Snow emergency parking restrictions - even number address,2,Cedar Riverside,University,2,4,-10378650.307773,5616094.63352124
86,Northrop,2022-2023,4,271123316342,1/5/23 12:00 AM,11:18 AM,1/5/23 11:18 AM,942 FRANKLIN TER,44.963111,-93.22641,478.1000(b),Snow emergency parking restrictions - even number address,2,Seward,Longfellow,2,4,-10377916.4896873,5615715.93636371
87,Northrop,2022-2023,4,271123316341,1/5/23 12:00 AM,11:16 AM,1/5/23 11:16 AM,940 FRANKLIN TER,44.963222,-93.226461,478.1000(b),Snow emergency parking restrictions - even number address,2,Seward,Longfellow,2,4,-10377922.1669428,5615733.39991679
88,Northrop,2022-2023,4,271123316340,1/5/23 12:00 AM,10:04 AM,1/5/23 10:04 AM,1500 ELLIOT AVE,44.967832,-93.261076,478.1000(b),Snow emergency parking restrictions - even number address,6,Elliot Park,Central,2,3,-10381775.4911147,5616458.71371482
89,Northrop,2022-2023,4,271123316339,1/5/23 12:00 AM,9:56 AM,1/5/23 9:56 AM,1312 9TH ST S,44.967305,-93.255825,478.1000(b),Snow emergency parking restrictions - even number address,6,Elliot Park,Central,2,3,-10381190.9525426,5616375.79526887
90,Northrop,2022-2023,4,271123316338,1/5/23 12:00 AM,9:46 AM,1/5/23 9:46 AM,734 16TH ST E,44.967174,-93.2632,478.1000(b),Snow emergency parking restrictions - even number address,6,Elliot Park,Central,2,3,-10382011.9337045,5616355.18382178
91,Northrop,2022-2023,4,271123316337,1/5/23 12:00 AM,9:42 AM,1/5/23 9:42 AM,730 16TH ST E,44.967124,-93.263278,478.1000(b),Snow emergency parking restrictions - even number address,6,Elliot Park,Central,2,3,-10382020.6166248,5616347.31691611
92,Northrop,2022-2023,4,271123316336,1/5/23 12:00 AM,9:35 AM,1/5/23 9:35 AM,600 16TH ST E,44.967193,-93.267324,478.1000(b),Snow emergency parking restrictions - even number address,6,Elliot Park,Central,2,3,-10382471.0153316,5616358.17326755
93,Northrop,2022-2023,4,271123316335,1/5/23 12:00 AM,9:36 AM,1/5/23 9:36 AM,602 16TH ST E,44.967212,-93.267314,478.1000(b),Snow emergency parking restrictions - even number address,6,Elliot Park,Central,2,3,-10382469.9021854,5616361.1627143
94,Northrop,2022-2023,4,271123316333,1/5/23 12:00 AM,9:27 AM,1/5/23 9:27 AM,522 14TH ST E,44.96899,-93.268136,478.1000(b),Snow emergency parking restrictions - even number address,7,Elliot Park,Central,2,3,-10382561.4067218,5616640.91674186
95,Northrop,2022-2023,4,271123316332,1/5/23 12:00 AM,9:25 AM,1/5/23 9:25 AM,512 14TH ST E,44.969008,-93.268298,478.1000(b),Snow emergency parking restrictions - even number address,7,Elliot Park,Central,2,3,-10382579.44051,5616643.74893057
96,Northrop,2022-2023,4,271123316331,1/5/23 12:00 AM,9:24 AM,1/5/23 9:24 AM,506 14TH ST E,44.969054,-93.268528,478.1000(b),Snow emergency parking restrictions - even number address,7,Elliot Park,Central,2,3,-10382605.0439723,5616650.98682881
97,Northrop,2022-2023,4,271123316330,1/5/23 12:00 AM,9:20 AM,1/5/23 9:20 AM,502 14TH ST E,44.969042,-93.26859,478.1000(b),Snow emergency parking restrictions - even number address,7,Elliot Park,Central,2,3,-10382611.9457986,5616649.09860706
98,Northrop,2022-2023,4,271123316329,1/5/23 12:00 AM,9:09 AM,1/5/23 9:09 AM,308 CLIFTON AVE,44.966435,-93.284885,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10384425.8969583,5616238.91075709
99,Northrop,2022-2023,4,271123316328,1/5/23 12:00 AM,8:55 AM,1/5/23 8:55 AM,24 OAK GROVE ST,44.96638,-93.279029,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10383774.0099919,5616230.25723026
100,Northrop,2022-2023,4,271123316327,1/5/23 12:00 AM,8:53 AM,1/5/23 8:53 AM,14 OAK GROVE ST,44.966392,-93.278814,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10383750.076299,5616232.14522289
101,Northrop,2022-2023,4,271123316326,1/5/23 12:00 AM,8:49 AM,1/5/23 8:49 AM,1352 SPRUCE PLACE,44.969539,-93.280757,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10383966.3700328,5616727.29925106
102,Northrop,2022-2023,4,271123316325,1/5/23 12:00 AM,8:46 AM,1/5/23 8:46 AM,1356 SPRUCE PLACE,44.969521,-93.280728,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10383963.1418189,5616724.46703612
103,Northrop,2022-2023,4,271123316324,1/5/23 12:00 AM,8:45 AM,1/5/23 8:45 AM,1358 SPRUCE PLACE,44.969495,-93.280818,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10383973.1605345,5616720.37599769
104,Northrop,2022-2023,4,271123316323,1/5/23 12:00 AM,8:45 AM,1/5/23 8:45 AM,1360 SPRUCE PLACE,44.969436,-93.280841,478.1000(b),Snow emergency parking restrictions - even number address,7,Loring Park,Central,2,3,-10383975.7209008,5616711.09259767
