OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,TowDist,x,y
50,01/13/2017 10:54am,Snow Emergency,"1205 33rd st w,Minneapolis,MN",44.942902,-93.294597,10,CARAG,Calhoun Isles,3,5,522978.368475616,155357.481437333
51,01/13/2017 11:37am,Snow Emergency,"3117 FREEMONT AVE S,Minneapolis,MN",44.945903,-93.295402,10,CARAG,Calhoun Isles,3,5,522768.725277468,156451.468350204
52,01/13/2017 11:44am,Snow Emergency,"1323 34TH ST W,Minneapolis,MN",44.9413,-93.296364,10,CARAG,Calhoun Isles,3,5,522521.429006797,154772.869719687
53,01/13/2017 12:27pm,Snow Emergency,"811 34 TH ST W,Minneapolis,MN",44.941169,-93.290028,10,CARAG,Calhoun Isles,3,5,524162.242957885,154726.93054641
54,01/13/2017 12:40pm,Snow Emergency,"829 34TH ST W,Minneapolis,MN",44.941298,-93.290332,10,CARAG,Calhoun Isles,3,5,524083.465600793,154773.875410528
55,01/13/2017 01:15pm,Snow Emergency,"715' 32ND ST W,Minneapolis,MN",44.944721,-93.288336,10,CARAG,Calhoun Isles,3,5,524598.882488089,156022.5569824
56,01/13/2017 01:22pm,Snow Emergency,"3405 COLFAX AVE S,Minneapolis,MN",44.940494,-93.291985,10,CARAG,Calhoun Isles,3,5,523655.738334306,154480.236799276
57,01/11/2017 11:40pm,Snow Emergency,"2521 butler pl,Minneapolis,MN",44.964626,-93.236018,2,Cedar-Riverside,University,1,4,538133.04677206,163300.512926169
58,01/12/2017 04:07am,Snow Emergency,"1400-1499 3rd st s,Minneapolis,MN",44.972991,-93.249325,6,Cedar-Riverside,University,2,4,534683.445334335,166344.55932361
59,01/12/2017 04:30am,Snow Emergency,"1400-1499 3rd st s,Minneapolis,MN",44.972991,-93.249325,6,Cedar-Riverside,University,2,4,534683.445334335,166344.55932361
60,01/12/2017 12:12pm,Snow Emergency,"302 19th St s ,Minneapolis,MN",44.970538,-93.245684,6,Cedar-Riverside,University,2,4,535627.311542505,165451.731755889
61,01/12/2017 03:21pm,Snow Emergency,"322 19th ave ne,Minneapolis,MN",44.97047,-93.245682,6,Cedar-Riverside,University,2,4,535627.871345692,165426.9384685
62,01/13/2017 02:16pm,Snow Emergency,"421 19th ave ne,Minneapolis,MN",44.969543,-93.245622,2,Cedar-Riverside,University,3,4,535643.975494889,165088.964382707
63,01/13/2017 02:17pm,Snow Emergency,"713 27th Ave s,Minneapolis,MN",44.966435,-93.232968,2,Cedar-Riverside,University,3,4,538921.323827342,163961.556084307
64,01/13/2017 02:19pm,Snow Emergency,"721 27th Ave s,Minneapolis,MN",44.966331,-93.232968,2,Cedar-Riverside,University,3,4,538921.394206826,163923.635764913
65,01/13/2017 02:54pm,Snow Emergency,"701 27th Ave s,Minneapolis,MN",44.966591,-93.232968,2,Cedar-Riverside,University,3,4,538921.218258417,164018.436400646
66,01/13/2017 02:56pm,Snow Emergency,"703 27th Ave s,Minneapolis,MN",44.966565,-93.232968,2,Cedar-Riverside,University,3,4,538921.235853441,164008.956238522
67,01/13/2017 03:41pm,Snow Emergency,"707 27th Ave s,Minneapolis,MN",44.966513,-93.232968,2,Cedar-Riverside,University,3,4,538921.27104288,163989.996242303
68,01/13/2017 03:43pm,Snow Emergency,"719 27 th Ave s,Minneapolis,MN",44.966357,-93.232968,2,Cedar-Riverside,University,3,4,538921.376611803,163933.115926673
69,01/11/2017 09:29pm,Snow Emergency,"3024 chicago ave s,Minneapolis,MN",44.947497,-93.263004,9,Central,Powderhorn,1,5,531156.915742967,157043.449360194
70,01/11/2017 10:03pm,Snow Emergency,"3732 Chicago Avenue South,Minneapolis,MN",44.934802,-93.262888,8,Central,Powderhorn,1,5,531193.833388441,152414.691767379
71,01/11/2017 10:12pm,Snow Emergency,"3436 Chicago Avenue South,Minneapolis,MN",44.939981,-93.262948,9,Central,Powderhorn,1,5,531175.488173778,154303.014883927
72,01/11/2017 10:15pm,Snow Emergency,"3022 Chicago Ave S,Minneapolis,MN",44.947595,-93.263048,9,Central,Powderhorn,1,5,531145.469937389,157079.164870645
73,01/12/2017 05:38am,Snow Emergency,"3123 20 3rd Avenue South,Minneapolis,MN",44.945818,-93.272806,9,Central,Powderhorn,2,5,528619.717413489,156427.642090008
74,01/12/2017 03:20pm,Snow Emergency,"3512 4th ave s,Minneapolis,MN",44.938914,-93.270592,9,Central,Powderhorn,2,5,529196.508766623,153911.121196672
75,01/13/2017 02:57pm,Snow Emergency,"3013 columbus ave s,Minneapolis,MN",44.947849,-93.263918,9,Central,Powderhorn,3,5,530920.064434271,157171.444234318
76,01/12/2017 12:05am,Snow Emergency,"3723 Penn ave n ,Minneapolis,MN",45.022961,-93.308684,4,Cleveland,Camden,2,1,519303.628976361,184544.828074048
77,01/12/2017 12:41am,Snow Emergency,"3733 Penn ave n,Minneapolis,MN",45.023288,-93.308689,4,Cleveland,Camden,2,1,519302.226109789,184664.058342716
78,01/12/2017 12:01am,Snow Emergency,"2700 CENTRAL AVE NE,Minneapolis,MN",45.017124,-93.247783,1,Columbia Park,Northeast,2,2,535055.615211182,182436.966111755
79,01/12/2017 12:10am,Snow Emergency,"2800 block of central,Minneapolis,MN",45.018603,-93.247453,1,Columbia Park,Northeast,2,2,535140.054243748,182976.383081846
80,01/13/2017 01:33pm,Snow Emergency,"611 35th ave ne,Minneapolis,MN",45.031373,-93.256559,1,Columbia Park,Northeast,3,2,532777.864803656,187628.779276514
81,01/13/2017 01:38pm,Snow Emergency,"745 36th ave ne,Minneapolis,MN",45.034134,-93.251793,1,Columbia Park,Northeast,3,2,534008.492164575,188637.464585592
82,01/13/2017 02:00pm,Snow Emergency,"3631 Quincy st ne,Minneapolis,MN",45.034881,-93.251127,1,Columbia Park,Northeast,3,2,534180.235260636,188910.117160048
83,01/12/2017 01:10am,Snow Emergency,"1101 como Ave SE,Minneapolis,MN",44.987935,-93.235782,2,Como,University,2,4,538178.657499726,171799.505740582
84,01/12/2017 08:39am,Snow Emergency,"1082 12th Ave SE ,Minneapolis,MN",44.990361,-93.234341,2,Como,University,2,4,538549.886616571,172684.753132424
85,01/12/2017 08:42am,Snow Emergency,"1114 12th Ave SE ,Minneapolis,MN",44.991233,-93.23434,2,Como,University,2,4,538549.560644527,173002.70119752
86,01/12/2017 08:59am,Snow Emergency,"334 Garfield St ne,Minneapolis,MN",44.992141,-93.233351,1,Como,University,2,2,538804.834774855,173334.247538013
87,01/12/2017 09:00am,Snow Emergency,"328 Garfield st ne,Minneapolis,MN",44.992035,-93.233351,1,Como,University,2,2,538804.906325444,173295.597783939
88,01/12/2017 09:06am,Snow Emergency,"334 Ulysses St NE,Minneapolis,MN",44.991505,-93.235895,1,Como,University,2,4,538147.049903603,173101.141491156
89,01/12/2017 09:37am,Snow Emergency,"924 12th ave se,Minneapolis,MN",44.986983,-93.234551,2,Como,University,2,4,538497.813564035,171452.970994814
90,01/12/2017 09:43am,Snow Emergency,"1008 12th Ave SE -,Minneapolis,MN",44.988109,-93.234377,2,Como,University,2,4,538542.081824189,171863.614625434
91,01/12/2017 09:47am,Snow Emergency,"1026 12th Ave SE -,Minneapolis,MN",44.988654,-93.234193,2,Como,University,2,4,538589.325371379,172062.419415603
92,01/12/2017 10:21am,Snow Emergency,"1211 talmage ave e,Minneapolis,MN",44.989678,-93.234116,2,Como,University,2,4,538608.561029989,172435.825590562
93,01/12/2017 10:23am,Snow Emergency,"1086 13th ave se,Minneapolis,MN",44.990463,-93.233032,2,Como,University,2,4,538888.504496899,172722.569926028
94,01/12/2017 10:45am,Snow Emergency,"1034 12th Ave SE ,Minneapolis,MN",44.988883,-93.234328,2,Como,University,2,4,538554.24127636,172145.852757804
95,01/12/2017 10:49am,Snow Emergency,"1024 15th Ave SE - ,Minneapolis,MN",44.988655,-93.230447,1,Como,University,2,4,539558.582584367,172064.590730255
96,01/12/2017 10:55am,Snow Emergency,"1058 16th Ave se,Minneapolis,MN",44.989513,-93.229222,1,Como,University,2,4,539874.949755574,172378.034155144
97,01/12/2017 11:34am,Snow Emergency,"1090 15th Ave s e,Minneapolis,MN",44.990561,-93.230491,1,Como,University,2,4,539545.886667577,172759.532588141
98,01/12/2017 11:38am,Snow Emergency,"1104 14th ave se,Minneapolis,MN",44.990996,-93.23174,1,Como,University,2,4,539222.428396486,172917.534729349
99,01/12/2017 11:40am,Snow Emergency,"1070 14th ave se,Minneapolis,MN",44.990007,-93.231647,1,Como,University,2,4,539247.166020578,172556.971479267
100,01/12/2017 11:55am,Snow Emergency,"952 weeks ave se,Minneapolis,MN",44.986908,-93.217379,2,Como,University,2,4,542941.163240197,171434.255411581
101,01/12/2017 11:58am,Snow Emergency,"924 19th ave se,Minneapolis,MN",44.987313,-93.225277,2,Como,University,2,4,540897.247488218,171577.839310237
102,01/12/2017 12:13pm,Snow Emergency,"1094 17th Ave s e,Minneapolis,MN",44.99066,-93.227936,1,Como,University,2,4,540206.888325527,172796.887450378
103,01/12/2017 12:19pm,Snow Emergency,"888 21st ave se,Minneapolis,MN",44.986379,-93.222826,2,Como,University,2,4,541532.120190032,171238.532470943
104,01/12/2017 12:34pm,Snow Emergency,"850 18th Ave SE ,Minneapolis,MN",44.984974,-93.22691,2,Como,University,2,4,540476.354191697,170724.176457758
105,01/12/2017 12:45pm,Snow Emergency,"1117 talmage,Minneapolis,MN",44.989678,-93.235616,2,Como,University,2,4,538220.450795621,172435.114356799
106,01/12/2017 12:50pm,Snow Emergency,"1030 19th Ave s e,Minneapolis,MN",44.988771,-93.225337,1,Como,University,2,4,540880.6856846,172109.423276854
107,01/12/2017 12:54pm,Snow Emergency,"854 23rd Ave SE ,Minneapolis,MN",44.985298,-93.219942,2,Como,University,2,4,542279.16430587,170845.8718182
108,01/12/2017 12:58pm,Snow Emergency,"2304 Talmage Ave SE ,Minneapolis,MN",44.9897,-93.220213,1,Como,University,2,4,542205.808783827,172450.781391754
109,01/12/2017 01:02pm,Snow Emergency,"834 23rd ave se,Minneapolis,MN",44.984671,-93.220311,2,Como,University,2,4,542184.141984547,170617.063670351
110,01/12/2017 01:06pm,Snow Emergency,"1034 19th ave se,Minneapolis,MN",44.988895,-93.225294,1,Como,University,2,4,540891.723536348,172154.657486407
111,01/12/2017 01:10pm,Snow Emergency,"1018 16th ave se,Minneapolis,MN",44.988423,-93.229244,1,Como,University,2,4,539870.013326596,171980.588929826
112,01/12/2017 01:16pm,Snow Emergency,"922 18th ave se,Minneapolis,MN",44.987244,-93.226914,2,Como,University,2,4,540473.721081302,171551.858697398
113,01/12/2017 01:17pm,Snow Emergency,"1527 talmage ave se,Minneapolis,MN",44.989673,-93.229854,1,Como,University,2,4,539711.315139169,172436.062479517
114,01/12/2017 01:23pm,Snow Emergency,"2412 colr av se ,Minneapolis,MN",44.985938,-93.218874,2,Como,University,2,4,542555.046235525,171079.786730869
115,01/12/2017 01:33pm,Snow Emergency,"1028 23rd Ave s e,Minneapolis,MN",44.988805,-93.219983,1,Como,University,2,4,542265.976904631,172124.567609685
116,01/12/2017 01:51pm,Snow Emergency,"860 20th ave se,Minneapolis,MN",44.985283,-93.223947,2,Como,University,2,4,541242.842203408,170838.33819138
117,01/12/2017 02:03pm,Snow Emergency,"844 18th ave se,Minneapolis,MN",44.984837,-93.226912,2,Como,University,2,4,540475.933090696,170674.222719194
118,01/12/2017 02:03pm,Snow Emergency,"846 25th ave se,Minneapolis,MN",44.984993,-93.217539,2,Como,University,2,4,542901.19169408,170735.926240754
119,01/12/2017 02:22pm,Snow Emergency,"1020 27th Ave s e ,Minneapolis,MN",44.988624,-93.21475,1,Como,University,2,4,543620.121608767,172061.345310392
120,01/12/2017 02:24pm,Snow Emergency,"1708 Rollins Ave se,Minneapolis,MN",44.985344,-93.228211,2,Como,University,2,4,540139.447270006,170858.438010404
121,01/12/2017 02:45pm,Snow Emergency,"894 26th ave se,Minneapolis,MN",44.986649,-93.216094,2,Como,University,2,4,543273.85514849,171340.502853863
122,01/12/2017 02:50pm,Snow Emergency,"1706 rollins ave se,Minneapolis,MN",44.985345,-93.228311,2,Como,University,2,4,540113.570811763,170858.753117398
123,01/12/2017 03:19pm,Snow Emergency,"1704 Rollins Ave se,Minneapolis,MN",44.985347,-93.228411,2,Como,University,2,4,540087.693424381,170859.432891185
124,01/13/2017 08:49am,Snow Emergency,"1071 12th Ave SE - ,Minneapolis,MN",44.990029,-93.23489,2,Como,University,3,4,538408.061718228,172563.438912035
125,01/13/2017 08:52am,Snow Emergency,"1033 12th Ave SE - ,Minneapolis,MN",44.988819,-93.234615,2,Como,University,3,4,538480.02472379,172122.380617138
126,01/13/2017 09:00am,Snow Emergency,"333 Garfield st ne,Minneapolis,MN",44.992489,-93.233061,1,Como,University,3,2,538879.630821183,173461.273930943
127,01/13/2017 09:45am,Snow Emergency,"333 Ulysses st ne,Minneapolis,MN",44.991776,-93.235905,1,Como,University,3,2,538144.282886076,173199.948817149
128,01/13/2017 10:02am,Snow Emergency,"1021 12th Ave SE - ,Minneapolis,MN",44.988562,-93.234616,2,Como,University,3,4,538479.937980457,172028.673058732
129,01/13/2017 10:20am,Snow Emergency,"1027 14th ave se,Minneapolis,MN",44.988661,-93.232411,2,Como,University,3,4,539050.403882348,172065.825398699
130,01/13/2017 10:38am,Snow Emergency,"1011 16th ave se,Minneapolis,MN",44.988209,-93.229861,1,Como,University,3,4,539710.515072782,171902.257503568
131,01/13/2017 10:47am,Snow Emergency,"1053 15th ave se,Minneapolis,MN",44.989398,-93.231073,1,Como,University,3,4,539396.099203855,172335.197469512
132,01/13/2017 10:49am,Snow Emergency,"1005 25th ave se,Minneapolis,MN",44.988175,-93.218071,1,Como,University,3,4,542761.164019485,171895.861099572
133,01/13/2017 11:02am,Snow Emergency,"1043 13th Ave SE - ,Minneapolis,MN",44.989091,-93.23369,2,Como,University,3,4,538719.179634519,172221.997617161
134,01/13/2017 11:05am,Snow Emergency,"931 13th Ave SE - ,Minneapolis,MN",44.987189,-93.233331,2,Como,University,3,4,538813.352421779,171528.664726045
135,01/13/2017 11:14am,Snow Emergency,"1027 17th ave se,Minneapolis,MN",44.988651,-93.228456,1,Como,University,3,4,540073.746173746,172064.1106785
136,01/13/2017 11:21am,Snow Emergency,"933 13th ave se,Minneapolis,MN",44.987189,-93.233331,2,Como,University,3,4,538813.352421779,171528.664726045
137,01/13/2017 11:26am,Snow Emergency,"1045 16th ave se,Minneapolis,MN",44.989128,-93.229865,1,Como,University,3,4,539708.845293058,172237.339871165
138,01/13/2017 11:43am,Snow Emergency,"1503 brook ave se,Minneapolis,MN",44.986598,-93.230257,2,Como,University,3,4,539609.161149928,171314.662796011
139,01/13/2017 11:45am,Snow Emergency,"1087 17th ave se,Minneapolis,MN",44.990422,-93.228586,1,Como,University,3,4,540038.876024478,172709.786193271
140,01/13/2017 11:46am,Snow Emergency,"919 12th Avenue Southeast ,Minneapolis,MN",44.987083,-93.235101,2,Como,University,3,4,538355.433272971,171489.172036387
141,01/13/2017 11:47am,Snow Emergency,"1223 BROOK AVE SE ,Minneapolis,MN",44.986955,-93.234271,2,Como,University,3,4,538570.283073805,171442.895034118
142,01/13/2017 11:50am,Snow Emergency,"1221 BROOK AVE SE ,Minneapolis,MN",44.986955,-93.234271,2,Como,University,3,4,538570.283073805,171442.895034118
143,01/13/2017 12:00pm,Snow Emergency,"1055 16th Ave SE ,Minneapolis,MN",44.98941,-93.229797,1,Como,University,3,4,539726.24504251,172340.195851661
144,01/13/2017 12:02pm,Snow Emergency,"981 17th Ave SE ,Minneapolis,MN",44.987114,-93.228868,2,Como,University,3,4,539968.211794858,171503.488316005
145,01/13/2017 12:05pm,Snow Emergency,"1021 17th ave se,Minneapolis,MN",44.988479,-93.228241,1,Como,University,3,4,540129.496357198,172001.502739652
146,01/13/2017 12:05pm,Snow Emergency,"1019 17th ave se,Minneapolis,MN",44.988427,-93.228535,1,Como,University,3,4,540053.461382398,171982.396860968
147,01/13/2017 12:07pm,Snow Emergency,"1505 Brook Ave se,Minneapolis,MN",44.986598,-93.230148,2,Como,University,3,4,539637.365473395,171314.716105523
148,01/13/2017 12:08pm,Snow Emergency,"851 18th Ave SE ,Minneapolis,MN",44.985187,-93.226944,2,Como,University,3,4,540467.406217491,170801.823184707
149,01/13/2017 12:08pm,Snow Emergency,"927 18th Ave se,Minneapolis,MN",44.985515,-93.226943,2,Como,University,3,4,540467.434129141,170921.418821717
150,01/13/2017 12:08pm,Snow Emergency,"1515 brooks ave se,Minneapolis,MN",44.986863,-93.229641,2,Como,University,3,4,539768.3704508,171411.588690616
151,01/13/2017 12:13pm,Snow Emergency,"1707 Rollins ave se,Minneapolis,MN",44.985371,-93.228244,2,Como,University,3,4,540130.889427819,170868.266488515
152,01/13/2017 12:15pm,Snow Emergency,"841 19th Avenue Southeast ,Minneapolis,MN",44.984707,-93.225885,2,Como,University,3,4,540741.773607068,170627.337202944
153,01/13/2017 12:26pm,Snow Emergency,"993 17th ave se,Minneapolis,MN",44.987607,-93.228607,2,Como,University,3,4,540035.402768858,171683.373938945
154,01/13/2017 12:30pm,Snow Emergency,"989 17th Ave se,Minneapolis,MN",44.987468,-93.228608,2,Como,University,3,4,540035.240799385,171632.691738192
155,01/13/2017 12:31pm,Snow Emergency,"985 17th ave se ,Minneapolis,MN",44.987329,-93.228608,2,Como,University,3,4,540035.337591919,171582.009704909
156,01/13/2017 12:36pm,Snow Emergency,"829 23rd Ave se,Minneapolis,MN",44.984574,-93.22066,2,Como,University,3,4,542093.904871566,170581.51416936
157,01/13/2017 12:40pm,Snow Emergency,"1030 19th ave se,Minneapolis,MN",44.988771,-93.225337,1,Como,University,3,4,540880.6856846,172109.423276854
158,01/13/2017 12:42pm,Snow Emergency,"919 21st ave se,Minneapolis,MN",44.987286,-93.222853,2,Como,University,3,4,541524.478869502,171569.227830299
159,01/13/2017 12:45pm,Snow Emergency,"915 21st ave se,Minneapolis,MN",44.987112,-93.223209,2,Como,University,3,4,541432.488895679,171505.601959229
160,01/13/2017 12:46pm,Snow Emergency,"1805 Talmage Ave se,Minneapolis,MN",44.98981,-93.226496,1,Como,University,3,4,540580.067677973,172487.679230959
161,01/13/2017 12:46pm,Snow Emergency,"853 20th Ave se,Minneapolis,MN",44.985047,-93.224487,2,Como,University,3,4,541103.280420522,170752.01376867
162,01/13/2017 12:48pm,Snow Emergency,"1011 21ST AVE SE,Minneapolis,MN",44.988232,-93.223232,1,Como,University,3,4,541425.730557675,171913.962858029
163,01/13/2017 12:49pm,Snow Emergency,"1105 22nd Ave se,Minneapolis,MN",44.991171,-93.221753,1,Como,University,3,4,541806.279502542,172986.337265653
164,01/13/2017 12:50pm,Snow Emergency,"1057 16th ave se,Minneapolis,MN",44.989465,-93.229514,1,Como,University,3,4,539799.430654488,172360.388721339
165,01/13/2017 12:54pm,Snow Emergency,"823 22nd Avenue Southeast ,Minneapolis,MN",44.984421,-93.221613,2,Como,University,3,4,541847.415067929,170525.233903402
166,01/13/2017 01:01pm,Snow Emergency,"1067 16th ave se,Minneapolis,MN",44.989901,-93.229808,1,Como,University,3,4,539723.059500786,172519.218343566
