OBJECTID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist,x,y
12,271116577000,1/11/2017 12:00:00 AM,4524 BRYANT AVE N,-10385145,5627373,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385145,5627373
13,271116577000,1/11/2017 12:00:00 AM,4526 BRYANT AVE N,-10385145,5627378,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385145,5627378
14,271116560000,1/11/2017 12:00:00 AM,2834 EMERSON AVE S,-10385495,5613852,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385495,5613852
15,271116572000,1/11/2017 12:00:00 AM,3027 CHICAGO AVE S,-10381947,5613319,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381947,5613319
16,271116560000,1/11/2017 12:00:00 AM,2836 EMERSON AVE S,-10385495,5613847,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385495,5613847
17,271116577000,1/11/2017 12:00:00 AM,4626 BRYANT AVE N,-10385149,5627660,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385149,5627660
18,271116343000,1/11/2017 12:00:00 AM,823 BROADWAY W,-10384983,5621380,478.1000(A),SNOW EMERGENCY PARK,5,Near-North,Near North,1,1,-10384983,5621380
19,271116570000,1/11/2017 12:00:00 AM,336 15TH ST W,-10384184,5616465,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10384184,5616465
20,271116572000,1/11/2017 12:00:00 AM,3024 CHICAGO AVE S,-10381959,5613324,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5,-10381959,5613324
21,271116577000,1/11/2017 12:00:00 AM,4631 BRYANT AVE N,-10385161,5627671,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385161,5627671
22,271116560000,1/11/2017 12:00:00 AM,2902 EMERSON AVE S,-10385496,5613640,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385496,5613640
23,271116573000,1/11/2017 12:00:00 AM,3423 2ND ST N,-10384016,5624248,478.1000(A),SNOW EMERGENCY PARK,4,McKinley,Camden,1,1,-10384016,5624248
24,271116570000,1/11/2017 12:00:00 AM,230 15TH ST W,-10384012,5616448,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10384012,5616448
25,271116573000,1/11/2017 12:00:00 AM,901 20TH AVE S,-10379878,5615851,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379878,5615851
26,271116572000,1/11/2017 12:00:00 AM,3231 CHICAGO AVE S,-10381942,5612746,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381942,5612746
27,271116573000,1/11/2017 12:00:00 AM,905 20TH AVE S,-10379879,5615844,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379879,5615844
28,271116577000,1/11/2017 12:00:00 AM,4629 BRYANT AVE N,-10385161,5627666,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385161,5627666
29,271116571000,1/11/2017 12:00:00 AM,3305 JOHNSON ST NE,-10379104,5625898,478.1000(A),SNOW EMERGENCY PARK,1,Waite Park,Northeast,1,2,-10379104,5625898
30,271116573000,1/11/2017 12:00:00 AM,3341 2ND ST N,-10383991,5623983,478.1000(A),SNOW EMERGENCY PARK,4,McKinley,Camden,1,1,-10383991,5623983
31,271116577000,1/11/2017 12:00:00 AM,4627 BRYANT AVE N,-10385161,5627660,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385161,5627660
32,271116570000,1/11/2017 12:00:00 AM,308 15TH ST W,-10384121,5616454,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10384121,5616454
33,271116343000,1/11/2017 12:00:00 AM,2000 BROADWAY W,-10386749,5621808,478.1000(A),SNOW EMERGENCY PARK,5,Jordan,Near North,1,1,-10386749,5621808
34,271116571000,1/11/2017 12:00:00 AM,3214 JOHNSON ST NE,-10379115,5625641,478.1000(A),SNOW EMERGENCY PARK,1,Waite Park,Northeast,1,2,-10379115,5625641
35,271116573000,1/11/2017 12:00:00 AM,3331 2ND ST N,-10383989,5623956,478.1000(A),SNOW EMERGENCY PARK,4,McKinley,Camden,1,1,-10383989,5623956
36,271116577000,1/11/2017 12:00:00 AM,4613 BRYANT AVE N,-10385161,5627622,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385161,5627622
37,271116570000,1/11/2017 12:00:00 AM,209 15TH ST W,-10383988,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383988,5616435
38,271116572000,1/11/2017 12:00:00 AM,3423 CHICAGO AVE S,-10381937,5612228,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381937,5612228
39,271116343000,1/11/2017 12:00:00 AM,2002 BROADWAY W,-10386749,5621814,478.1000(A),SNOW EMERGENCY PARK,5,Jordan,Near North,1,1,-10386749,5621814
40,271116570000,1/11/2017 12:00:00 AM,207 15TH ST W,-10383986,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383986,5616435
41,271116573000,1/11/2017 12:00:00 AM,3329 2ND ST N,-10383989,5623951,478.1000(A),SNOW EMERGENCY PARK,4,McKinley,Camden,1,1,-10383989,5623951
42,271116577000,1/11/2017 12:00:00 AM,4735 BRYANT AVE N,-10385162,5627966,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385162,5627966
43,271116570000,1/11/2017 12:00:00 AM,205 15TH ST W,-10383983,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383983,5616435
44,271116573000,1/11/2017 12:00:00 AM,3327 2ND ST N,-10383988,5623945,478.1000(A),SNOW EMERGENCY PARK,4,McKinley,Camden,1,1,-10383988,5623945
45,271116571000,1/11/2017 12:00:00 AM,2846 JOHNSON ST NE,-10379114,5624589,478.1000(A),SNOW EMERGENCY PARK,1,Audubon Park,Northeast,1,2,-10379114,5624589
46,271116573000,1/11/2017 12:00:00 AM,215 15TH ST W,-10383994,5616436,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383994,5616436
47,271116571000,1/11/2017 12:00:00 AM,2849 JOHNSON ST NE,-10379102,5624595,478.1000(A),SNOW EMERGENCY PARK,1,Audubon Park,Northeast,1,2,-10379102,5624595
48,271116572000,1/11/2017 12:00:00 AM,3431 CHICAGO AVE S,-10381937,5612206,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381937,5612206
49,271116577000,1/11/2017 12:00:00 AM,4820 BRYANT AVE N,-10385148,5628214,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385148,5628214
50,271116573000,1/11/2017 12:00:00 AM,118 15TH ST W,-10383841,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383841,5616447
51,271116343000,1/11/2017 12:00:00 AM,2117 BROADWAY W,-10386901,5622011,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10386901,5622011
52,271116571000,1/11/2017 12:00:00 AM,2831 JOHNSON ST NE,-10379102,5624545,478.1000(A),SNOW EMERGENCY PARK,1,Audubon Park,Northeast,1,2,-10379102,5624545
53,271116572000,1/11/2017 12:00:00 AM,3436 CHICAGO AVE S,-10381949,5612189,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5,-10381949,5612189
54,271116573000,1/11/2017 12:00:00 AM,2128 9TH ST S,-10379584,5615851,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379584,5615851
55,271116573000,1/11/2017 12:00:00 AM,124 15TH ST W,-10383851,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383851,5616447
56,271116577000,1/11/2017 12:00:00 AM,4920 BRYANT AVE N,-10385151,5628500,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385151,5628500
57,271116572000,1/11/2017 12:00:00 AM,3433 CHICAGO AVE S,-10381937,5612201,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381937,5612201
58,271116573000,1/11/2017 12:00:00 AM,2549 2ND ST N,-10383913,5622357,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383913,5622357
59,271116577000,1/11/2017 12:00:00 AM,4930 BRYANT AVE N,-10385151,5628528,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385151,5628528
60,271116573000,1/11/2017 12:00:00 AM,2107 9TH ST S,-10379546,5615861,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379546,5615861
61,271116573000,1/11/2017 12:00:00 AM,107 15TH ST W,-10383822,5616434,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383822,5616434
62,271116573000,1/11/2017 12:00:00 AM,2547 2ND ST N,-10383913,5622354,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383913,5622354
63,271116552000,1/11/2017 12:00:00 AM,14 4TH AVE N,-10382695,5619699,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10382695,5619699
64,271116573000,1/11/2017 12:00:00 AM,2546 2ND ST N,-10383901,5622354,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383901,5622354
65,271116573000,1/11/2017 12:00:00 AM,2203 9TH ST S,-10379363,5615856,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379363,5615856
66,271116577000,1/11/2017 12:00:00 AM,5120 BRYANT AVE N,-10385156,5629069,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385156,5629069
67,271116552000,1/11/2017 12:00:00 AM,33 4TH AVE N,-10382735,5619641,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,3,-10382735,5619641
68,271116572000,1/11/2017 12:00:00 AM,3535 CHICAGO AVE S,-10381934,5611911,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381934,5611911
69,271116573000,1/11/2017 12:00:00 AM,23 15TH ST W,-10383679,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383679,5616435
70,271116573000,1/11/2017 12:00:00 AM,21 15TH ST W,-10383676,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383676,5616435
71,271116573000,1/11/2017 12:00:00 AM,2420 2ND ST N,-10383900,5622143,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383900,5622143
72,271116571000,1/11/2017 12:00:00 AM,2614 JOHNSON ST NE,-10379118,5623933,478.1000(A),SNOW EMERGENCY PARK,1,Audubon Park,Northeast,1,2,-10379118,5623933
73,271116573000,1/11/2017 12:00:00 AM,2205 9TH ST S,-10379366,5615856,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379366,5615856
74,271116573000,1/11/2017 12:00:00 AM,19 15TH ST W,-10383673,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383673,5616435
75,271116552000,1/11/2017 12:00:00 AM,38 4TH AVE N,-10382759,5619635,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10382759,5619635
76,271116572000,1/11/2017 12:00:00 AM,3537 CHICAGO AVE S,-10381934,5611905,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381934,5611905
77,271116573000,1/11/2017 12:00:00 AM,2416 2ND ST N,-10383900,5622136,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383900,5622136
78,271116577000,1/11/2017 12:00:00 AM,5234 BRYANT AVE N,-10385159,5629392,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385159,5629392
79,271116573000,1/11/2017 12:00:00 AM,20 15TH ST W,-10383673,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383673,5616447
80,271116573000,1/11/2017 12:00:00 AM,18 15TH ST W,-10383670,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383670,5616447
81,271116552000,1/11/2017 12:00:00 AM,44 4TH AVE N,-10382775,5619619,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10382775,5619619
82,271116573000,1/11/2017 12:00:00 AM,2213 9TH ST S,-10379380,5615857,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379380,5615857
83,271116577000,1/11/2017 12:00:00 AM,5239 BRYANT AVE N,-10385171,5629402,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385171,5629402
84,271116573000,1/11/2017 12:00:00 AM,2216 9TH ST S,-10379387,5615845,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379387,5615845
85,271116552000,1/11/2017 12:00:00 AM,47 4TH AVE N,-10382771,5619606,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,3,-10382771,5619606
86,271116572000,1/11/2017 12:00:00 AM,3614 CHICAGO AVE S,-10381944,5611681,478.1000(A),SNOW EMERGENCY PARK,8,Central,Powderhorn,1,5,-10381944,5611681
87,271116573000,1/11/2017 12:00:00 AM,16 15TH ST W,-10383667,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383667,5616447
88,271116577000,1/11/2017 12:00:00 AM,5223 BRYANT AVE N,-10385171,5629359,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385171,5629359
89,271116573000,1/11/2017 12:00:00 AM,2303 9TH ST S,-10379187,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379187,5615858
90,271116573000,1/11/2017 12:00:00 AM,14 15TH ST W,-10383663,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383663,5616447
91,271116573000,1/11/2017 12:00:00 AM,2008 2ND ST N,-10383898,5621401,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383898,5621401
92,271116343000,1/11/2017 12:00:00 AM,2210 PENN AVE N,-10387016,5621770,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387016,5621770
93,271116552000,1/11/2017 12:00:00 AM,65 4TH AVE N,-10382817,5619560,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,3,-10382817,5619560
94,271116572000,1/11/2017 12:00:00 AM,3732 CHICAGO AVE S,-10381941,5611342,478.1000(A),SNOW EMERGENCY PARK,8,Central,Powderhorn,1,5,-10381941,5611342
95,271116573000,1/11/2017 12:00:00 AM,2302 9TH ST S,-10379186,5615846,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379186,5615846
96,271116573000,1/11/2017 12:00:00 AM,5 15TH ST W,-10383650,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383650,5616435
97,271116573000,1/11/2017 12:00:00 AM,2006 2ND ST N,-10383898,5621397,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383898,5621397
98,271116573000,1/11/2017 12:00:00 AM,2304 9TH ST S,-10379190,5615846,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379190,5615846
99,271116573000,1/11/2017 12:00:00 AM,2004 2ND ST N,-10383898,5621394,478.1000(A),SNOW EMERGENCY PARK,5,Hawthorne,Near North,1,1,-10383898,5621394
100,271116343000,1/11/2017 12:00:00 AM,2205 PENN AVE N,-10387028,5621762,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387028,5621762
101,271116544000,1/11/2017 12:00:00 AM,2904 EMERSON AVE S,-10385497,5613626,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385497,5613626
102,271116552000,1/11/2017 12:00:00 AM,88 4TH AVE N,-10382886,5619509,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10382886,5619509
103,271116571000,1/11/2017 12:00:00 AM,2227 JOHNSON ST NE,-10379108,5623111,478.1000(A),SNOW EMERGENCY PARK,1,Windom Park,Northeast,1,2,-10379108,5623111
104,271116572000,1/11/2017 12:00:00 AM,3733 CHICAGO AVE S,-10381929,5611338,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381929,5611338
105,271116573000,1/11/2017 12:00:00 AM,2305 9TH ST S,-10379190,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379190,5615858
106,271116573000,1/11/2017 12:00:00 AM,8 15TH ST W,-10383654,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383654,5616447
107,271116343000,1/11/2017 12:00:00 AM,2021 PENN AVE N,-10387028,5621498,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387028,5621498
108,271116571000,1/11/2017 12:00:00 AM,2215 JOHNSON ST NE,-10379108,5623078,478.1000(A),SNOW EMERGENCY PARK,1,Windom Park,Northeast,1,2,-10379108,5623078
109,271116573000,1/11/2017 12:00:00 AM,4 15TH ST W,-10383647,5616447,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10383647,5616447
110,271116573000,1/11/2017 12:00:00 AM,1521 2ND ST N,-10383876,5620645,478.1000(A),SNOW EMERGENCY PARK,5,Near-North,Near North,1,1,-10383876,5620645
111,271116572000,1/11/2017 12:00:00 AM,3749 CHICAGO AVE S,-10381928,5611297,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381928,5611297
112,271116573000,1/11/2017 12:00:00 AM,2329 9TH ST S,-10379231,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379231,5615858
113,271116573000,1/11/2017 12:00:00 AM,1520 2ND ST N,-10383864,5620646,478.1000(A),SNOW EMERGENCY PARK,5,Near-North,Near North,1,1,-10383864,5620646
114,271116343000,1/11/2017 12:00:00 AM,2008 PENN AVE N,-10387016,5621482,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387016,5621482
115,271116544000,1/11/2017 12:00:00 AM,2906 EMERSON AVE S,-10385497,5613612,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385497,5613612
116,271116573000,1/11/2017 12:00:00 AM,2327 9TH ST S,-10379227,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379227,5615858
117,271116343000,1/11/2017 12:00:00 AM,2006 PENN AVE N,-10387016,5621479,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387016,5621479
118,271116544000,1/11/2017 12:00:00 AM,2908 EMERSON AVE S,-10385497,5613597,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385497,5613597
119,271116573000,1/11/2017 12:00:00 AM,2325 9TH ST S,-10379224,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379224,5615858
120,271116544000,1/11/2017 12:00:00 AM,2910 EMERSON AVE S,-10385497,5613583,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385497,5613583
121,271116552000,1/11/2017 12:00:00 AM,505 3RD ST N,-10383440,5619207,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383440,5619207
122,271116573000,1/11/2017 12:00:00 AM,1505 2ND ST N,-10383875,5620619,478.1000(A),SNOW EMERGENCY PARK,5,Near-North,Near North,1,1,-10383875,5620619
123,271116343000,1/11/2017 12:00:00 AM,1927 PENN AVE N,-10387029,5621371,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387029,5621371
124,271116544000,1/11/2017 12:00:00 AM,2914 EMERSON AVE S,-10385498,5613554,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385498,5613554
125,271116552000,1/11/2017 12:00:00 AM,511 3RD ST N,-10383447,5619214,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383447,5619214
126,271116573000,1/11/2017 12:00:00 AM,2323 9TH ST S,-10379220,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379220,5615858
127,271116577000,1/11/2017 12:00:00 AM,4232 THOMAS AVE N,-10387617,5626564,478.1000(A),SNOW EMERGENCY PARK,4,Victory,Camden,1,1,-10387617,5626564
128,271116573000,1/11/2017 12:00:00 AM,2315 9TH ST S,-10379207,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379207,5615858
129,271116573000,1/11/2017 12:00:00 AM,512 15TH ST E,-10382630,5616501,478.1000(A),SNOW EMERGENCY PARK,7,Elliot Park,Central,1,3,-10382630,5616501
130,271116572000,1/11/2017 12:00:00 AM,4602 CHICAGO AVE S,-10381951,5608877,478.1000(A),SNOW EMERGENCY PARK,8,Field,Nokomis,1,5,-10381951,5608877
131,271116573000,1/11/2017 12:00:00 AM,2317 9TH ST S,-10379210,5615858,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379210,5615858
132,271116573000,1/11/2017 12:00:00 AM,2121 9TH ST S,-10379570,5615863,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379570,5615863
133,271116573000,1/11/2017 12:00:00 AM,604 15TH ST E,-10382489,5616500,478.1000(A),SNOW EMERGENCY PARK,7,Elliot Park,Central,1,3,-10382489,5616500
134,271116573000,1/11/2017 12:00:00 AM,921 2ND ST N,-10383710,5620009,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383710,5620009
135,271116343000,1/11/2017 12:00:00 AM,1832 PENN AVE N,-10387016,5621219,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387016,5621219
136,271116552000,1/11/2017 12:00:00 AM,516 3RD ST N,-10383446,5619230,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383446,5619230
137,271116577000,1/11/2017 12:00:00 AM,4155 THOMAS AVE N,-10387626,5626326,478.1000(A),SNOW EMERGENCY PARK,4,Victory,Camden,1,1,-10387626,5626326
138,271116572000,1/11/2017 12:00:00 AM,4718 CHICAGO AVE S,-10381953,5608550,478.1000(A),SNOW EMERGENCY PARK,8,Field,Nokomis,1,5,-10381953,5608550
139,271116573000,1/11/2017 12:00:00 AM,615 15TH ST E,-10382461,5616488,478.1000(A),SNOW EMERGENCY PARK,6,Elliot Park,Central,1,3,-10382461,5616488
140,271116552000,1/11/2017 12:00:00 AM,527 3RD ST N,-10383467,5619234,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383467,5619234
141,271116573000,1/11/2017 12:00:00 AM,620 15TH ST E,-10382445,5616500,478.1000(A),SNOW EMERGENCY PARK,7,Elliot Park,Central,1,3,-10382445,5616500
142,271116573000,1/11/2017 12:00:00 AM,635 2ND ST N,-10383339,5619635,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383339,5619635
143,271116577000,1/11/2017 12:00:00 AM,4151 THOMAS AVE N,-10387625,5626315,478.1000(A),SNOW EMERGENCY PARK,4,Victory,Camden,1,1,-10387625,5626315
144,271116571000,1/11/2017 12:00:00 AM,668 13TH AVE NE,-10381071,5621657,478.1000(A),SNOW EMERGENCY PARK,1,Logan Park,Northeast,1,2,-10381071,5621657
145,271116573000,1/11/2017 12:00:00 AM,622 15TH ST E,-10382440,5616500,478.1000(A),SNOW EMERGENCY PARK,7,Elliot Park,Central,1,3,-10382440,5616500
146,271116573000,1/11/2017 12:00:00 AM,631 2ND ST N,-10383334,5619631,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383334,5619631
147,271116577000,1/11/2017 12:00:00 AM,4144 THOMAS AVE N,-10387613,5626298,478.1000(A),SNOW EMERGENCY PARK,4,Victory,Camden,1,1,-10387613,5626298
148,271116343000,1/11/2017 12:00:00 AM,1819 PENN AVE N,-10387028,5621210,478.1000(A),SNOW EMERGENCY PARK,5,Willard-Hay,Near North,1,1,-10387028,5621210
149,271116552000,1/11/2017 12:00:00 AM,603 3RD ST N,-10383561,5619328,478.1000(A),SNOW EMERGENCY PARK,3,North Loop,Central,1,1,-10383561,5619328
150,271116572000,1/11/2017 12:00:00 AM,4738 CHICAGO AVE S,-10381953,5608495,478.1000(A),SNOW EMERGENCY PARK,8,Field,Nokomis,1,5,-10381953,5608495
151,271116573000,1/11/2017 12:00:00 AM,2401 9TH ST S,-10379086,5615860,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4,-10379086,5615860
