OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone,x,y
41,Dover,2022,1,271122466146,12/1/2022 12:00:00 AM,517 6TH ST SE,44.987142,-93.245837,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380079.0934523,5619497.48429978
42,Dover,2022,1,271122466145,12/1/2022 12:00:00 AM,605 6TH ST SE,44.986759,-93.244858,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379970.1116507,5619437.20256746
43,Dover,2022,1,271122466144,12/1/2022 12:00:00 AM,809 6TH ST SE,44.985647,-93.242073,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379660.086888,5619262.18306325
44,Dover,2022,1,271122466143,12/1/2022 12:00:00 AM,123 5TH ST SE,44.988432,-93.25231,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380799.6645083,5619700.52514421
45,Dover,2022,1,271122466142,12/1/2022 12:00:00 AM,119 5TH ST SE,44.988477,-93.252409,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380810.6851456,5619707.60808964
46,Dover,2022,1,271122466141,12/1/2022 12:00:00 AM,1009 7TH ST SE,44.985468,-93.238467,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379258.6688135,5619234.01025203
47,Dover,2022,1,271122466140,12/1/2022 12:00:00 AM,1015 7TH ST SE,44.985362,-93.238188,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379227.6106449,5619217.32690612
48,Dover,2022,1,271122466139,12/1/2022 12:00:00 AM,511 9 1/2 AVE SE,44.984376,-93.241225,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379565.6879114,5619062.14242486
49,Dover,2022,1,271122466138,12/1/2022 12:00:00 AM,507 9 1/2 AVE SE,44.984264,-93.241293,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379573.2576855,5619044.51517681
50,Dover,2022,1,271122466011,12/1/2022 12:00:00 AM,2817 GIRARD AVE S,44.95135,-93.2966,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385730.0047649,5613865.78830126
51,Dover,2022,1,271122466005,12/1/2022 12:00:00 AM,2417 EMERSON AVE S,44.95825,-93.29401,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385441.6873028,5614951.1961311
52,Dover,2022,1,271122466003,12/1/2022 12:00:00 AM,2421 EMERSON AVE S,44.95825,-93.29401,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385441.6873028,5614951.1961311
53,Dover,2022,1,271122466000,12/1/2022 12:00:00 AM,2429 EMERSON AVE S,44.95796,-93.29402,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385442.8004489,5614905.57493095
54,Dover,2022,1,271122465997,12/1/2022 12:00:00 AM,2721 EMERSON AVE S,44.95306,-93.29407,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385448.3664799,5614134.76847491
55,Dover,2022,1,271122465996,12/1/2022 12:00:00 AM,2729 EMERSON AVE S,44.95285,-93.29406,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385447.2532337,5614101.73541763
56,Dover,2022,1,271122465995,12/1/2022 12:00:00 AM,2739 EMERSON AVE S,44.95254,-93.29407,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385448.3664799,5614052.9725203
57,Dover,2022,1,271122465993,12/1/2022 12:00:00 AM,2743 EMERSON AVE S,44.95244,-93.29407,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385448.3664799,5614037.24258679
58,Dover,2022,1,271122465991,12/1/2022 12:00:00 AM,2755 EMERSON AVE S,44.95214,-93.29407,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385448.3664799,5613990.05295071
59,Dover,2022,1,271122465989,12/1/2022 12:00:00 AM,2117 COLFAX AVE S,44.96125,-93.29144,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385155.596133,5615423.15327751
60,Dover,2022,1,271122465987,12/1/2022 12:00:00 AM,2211 COLFAX AVE S,44.9605,-93.29145,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385156.7093792,5615305.16160667
61,Dover,2022,1,271122465986,12/1/2022 12:00:00 AM,2307 COLFAX AVE S,44.95979,-93.29145,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385156.7093792,5615193.46439138
62,Dover,2022,1,271122465985,12/1/2022 12:00:00 AM,2315 COLFAX AVE S,44.95945,-93.29145,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385156.7093792,5615139.97597186
63,Dover,2022,1,271122465984,12/1/2022 12:00:00 AM,2429 COLFAX AVE S,44.9581,-93.29147,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385158.9357716,5614927.59882249
64,Dover,2022,1,271122465982,12/1/2022 12:00:00 AM,2655 COLFAX AVE S,44.95393,-93.29153,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385165.6149487,5614271.62108077
65,Dover,2022,1,271122465981,12/1/2022 12:00:00 AM,2701 COLFAX AVE S,44.95359,-93.29161,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385174.5205182,5614218.13826476
66,Dover,2022,1,271122465980,12/1/2022 12:00:00 AM,2721 COLFAX AVE S,44.95298,-93.29153,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385165.6149487,5614122.18441189
67,Dover,2022,1,271122465977,12/1/2022 12:00:00 AM,2845 COLFAX AVE S,44.95077,-93.29127,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385136.6718478,5613774.55696007
68,Dover,2022,1,271122465976,12/1/2022 12:00:00 AM,2843 COLFAX AVE S,44.95077,-93.29127,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385136.6718478,5613774.55696007
69,Dover,2022,1,271122465975,12/1/2022 12:00:00 AM,2837 COLFAX AVE S,44.95077,-93.29127,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385136.6718478,5613774.55696007
70,Dover,2022,1,271122465974,12/1/2022 12:00:00 AM,2835 COLFAX AVE S,44.95077,-93.29127,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385136.6718478,5613774.55696007
71,Dover,2022,1,271122465972,12/1/2022 12:00:00 AM,2823 COLFAX AVE S,44.95077,-93.29127,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385136.6718478,5613774.55696007
72,Dover,2022,1,271122465971,12/1/2022 12:00:00 AM,2821 COLFAX AVE S,44.95117,-93.29153,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385165.6149487,5613837.47502775
73,Dover,2022,1,271122465970,12/1/2022 12:00:00 AM,2809 COLFAX AVE S,44.95152,-93.2916,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385173.407272,5613892.52862594
74,Dover,2022,1,271122465953,12/1/2022 12:00:00 AM,2919 COLFAX AVE S,44.9496,-93.29136,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10385146.6905635,5613590.52434138
75,Dover,2022,1,271122465946,12/1/2022 12:00:00 AM,1925 ALDRICH AVE S,44.96346,-93.28869,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384849.4675319,5615770.84422473
76,Dover,2022,1,271122465942,12/1/2022 12:00:00 AM,1937 ALDRICH AVE S,44.96311,-93.28898,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384881.7502714,5615715.77916968
77,Dover,2022,1,271122465941,12/1/2022 12:00:00 AM,2001 ALDRICH AVE S,44.96248,-93.2889,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384872.8447019,5615616.66286055
78,Dover,2022,1,271122465940,12/1/2022 12:00:00 AM,2003 ALDRICH AVE S,44.96248,-93.2889,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384872.8447019,5615616.66286055
79,Dover,2022,1,271122465938,12/1/2022 12:00:00 AM,2007 ALDRICH AVE S,44.9623,-93.28891,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384873.957848,5615588.34409479
80,Dover,2022,1,271122465937,12/1/2022 12:00:00 AM,2011 ALDRICH AVE S,44.96215,-93.28891,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384873.957848,5615564.74526193
81,Dover,2022,1,271122465936,12/1/2022 12:00:00 AM,2015 ALDRICH AVE S,44.96202,-93.28891,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384873.957848,5615544.29285798
82,Dover,2022,1,271122465935,12/1/2022 12:00:00 AM,2019 ALDRICH AVE S,44.96179,-93.28892,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384875.0710943,5615508.10814503
83,Dover,2022,1,271122465934,12/1/2022 12:00:00 AM,2119 ALDRICH AVE S,44.96119,-93.28892,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384875.0710943,5615413.71388142
84,Dover,2022,1,271122465931,12/1/2022 12:00:00 AM,2213 ALDRICH AVE S,44.96026,-93.28893,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384876.1842404,5615267.4047166
85,Dover,2022,1,271122465930,12/1/2022 12:00:00 AM,2403 ALDRICH AVE S,44.95896,-93.28902,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384886.202956,5615062.89034849
86,Dover,2022,1,271122465929,12/1/2022 12:00:00 AM,2409 ALDRICH AVE S,44.95871,-93.28895,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384878.4106328,5615023.56123707
87,Dover,2022,1,271122465928,12/1/2022 12:00:00 AM,2421 ALDRICH AVE S,44.95834,-93.28895,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384878.4106328,5614965.35443269
88,Dover,2022,1,271122465927,12/1/2022 12:00:00 AM,2425 ALDRICH AVE S,44.95822,-93.28895,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384878.4106328,5614946.47660785
89,Dover,2022,1,271122465925,12/1/2022 12:00:00 AM,2433 ALDRICH AVE S,44.95797,-93.28895,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384878.4106328,5614907.14800365
90,Dover,2022,1,271122465924,12/1/2022 12:00:00 AM,2445 ALDRICH AVE S,44.9576,-93.28896,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384879.523879,5614848.94194994
91,Dover,2022,1,271122465922,12/1/2022 12:00:00 AM,2639 ALDRICH AVE S,44.95434,-93.28899,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384882.8634175,5614336.11558607
92,Dover,2022,1,271122465921,12/1/2022 12:00:00 AM,2645 ALDRICH AVE S,44.9542,-93.28899,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384882.8634175,5614314.0929961
93,Dover,2022,1,271122465919,12/1/2022 12:00:00 AM,2741 ALDRICH AVE S,44.95255,-93.28901,478.1000(c),Snow emergency parking restric...,10,Lowry Hill East,Calhoun Isle,3,3,-10384885.0898099,5614054.54544442
94,Dover,2022,1,271122465528,12/1/2022 12:00:00 AM,15 22ND ST W,44.9606,-93.27862,478.1000(c),Snow emergency parking restric...,10,Whittier,Powderhorn,3,3,-10383728.480323,5615320.89374977
95,Dover,2022,1,271122465521,12/1/2022 12:00:00 AM,15 22ND ST E,44.96065,-93.27742,478.1000(c),Snow emergency parking restric...,10,Whittier,Powderhorn,3,3,-10383594.8968806,5615328.75990234
96,Dover,2022,1,271122465510,12/1/2022 12:00:00 AM,2537 28TH AVE S,44.956,-93.23104,478.1000(c),Snow emergency parking restric...,2,Seward,Longfellow,3,4,-10378431.8989714,5614597.24439373
97,Dover,2022,1,271122465508,12/1/2022 12:00:00 AM,2523 28TH AVE S,44.95653,-93.23103,478.1000(c),Snow emergency parking restric...,2,Seward,Longfellow,3,4,-10378430.7857251,5614680.61845487
98,Dover,2022,1,271122465507,12/1/2022 12:00:00 AM,2015 29TH AVE S,44.96222,-93.22936,478.1000(c),Snow emergency parking restric...,6,Seward,Longfellow,3,4,-10378244.8822121,5615575.75800519
99,Dover,2022,1,271122465504,12/1/2022 12:00:00 AM,2321 30TH AVE S,44.95956,-93.22787,478.1000(c),Snow emergency parking restric...,2,Seward,Longfellow,3,4,-10378079.0161304,5615157.28108482
100,Dover,2022,1,271122465501,12/1/2022 12:00:00 AM,2809 30TH AVE S,44.95155,-93.22797,478.1000(c),Snow emergency parking restric...,2,Longfellow,Longfellow,3,4,-10378090.1480923,5613897.24745674
101,Dover,2022,1,271122465500,12/1/2022 12:00:00 AM,2921 30TH AVE S,44.94934,-93.228,478.1000(c),Snow emergency parking restric...,2,Longfellow,Longfellow,3,4,-10378093.4876308,5613549.62880765
102,Dover,2022,1,271122465498,12/1/2022 12:00:00 AM,2925 30TH AVE S,44.9492,-93.228,478.1000(c),Snow emergency parking restric...,2,Longfellow,Longfellow,3,4,-10378093.4876308,5613527.60813621
103,Dover,2022,1,271122465497,12/1/2022 12:00:00 AM,2937 30TH AVE S,44.94888,-93.228,478.1000(c),Snow emergency parking restric...,2,Longfellow,Longfellow,3,4,-10378093.4876308,5613477.27537459
104,Dover,2022,1,271122465496,12/1/2022 12:00:00 AM,2941 30TH AVE S,44.94863,-93.22806,478.1000(c),Snow emergency parking restric...,2,Longfellow,Longfellow,3,4,-10378100.1668079,5613437.95317055
105,Dover,2022,1,271122465191,12/1/2022 12:00:00 AM,859 23RD AVE SE,44.985484,-93.220359,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377242.8954203,5619236.52846088
106,Dover,2022,1,271122465190,12/1/2022 12:00:00 AM,865 23RD AVE SE,44.985546,-93.220363,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377243.3407188,5619246.28665068
107,Dover,2022,1,271122465189,12/1/2022 12:00:00 AM,865 23RD AVE SE,44.985575,-93.220351,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377242.0049234,5619250.85102595
108,Dover,2022,1,271122465188,12/1/2022 12:00:00 AM,857 23RD AVE SE,44.98531,-93.220353,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377242.2275727,5619209.14271195
109,Dover,2022,1,271122465187,12/1/2022 12:00:00 AM,855 23RD AVE SE,44.985208,-93.220362,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377243.2293942,5619193.08899666
110,Dover,2022,1,271122465186,12/1/2022 12:00:00 AM,843 23RD AVE SE,44.984888,-93.220361,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377243.1180696,5619142.724771
111,Dover,2022,1,271122465185,12/1/2022 12:00:00 AM,835 23RD AVE SE,44.984695,-93.220354,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377242.3388973,5619112.34894749
112,Dover,2022,1,271122465184,12/1/2022 12:00:00 AM,833 23RD AVE SE,44.984624,-93.220356,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377242.5614465,5619101.1743514
113,Dover,2022,1,271122465183,12/1/2022 12:00:00 AM,845 22ND AVE SE,44.985043,-93.221636,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377385.0504583,5619167.11994087
114,Dover,2022,1,271122465182,12/1/2022 12:00:00 AM,927 22ND AVE SE,44.987543,-93.221591,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377380.0410504,5619560.59968079
115,Dover,2022,1,271122465181,12/1/2022 12:00:00 AM,925 22ND AVE SE,44.987548,-93.221596,478.1000(c),Snow emergency parking restric...,2,Como,University,3,4,-10377380.5976736,5619561.38655216
116,Dover,2022,1,271122465179,12/1/2022 12:00:00 AM,1015 22ND AVE SE,44.988337,-93.221579,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377378.705255,5619685.57238777
117,Dover,2022,1,271122465178,12/1/2022 12:00:00 AM,1027 22ND AVE SE,44.988693,-93.221556,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377376.1448888,5619741.60610694
118,Dover,2022,1,271122465177,12/1/2022 12:00:00 AM,1105 22ND AVE SE,44.991114,-93.221566,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377377.2580349,5620122.67588315
119,Dover,2022,1,271122465176,12/1/2022 12:00:00 AM,1107 22ND AVE SE,44.991372,-93.221739,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377396.5162939,5620163.28638739
120,Dover,2022,1,271122465175,12/1/2022 12:00:00 AM,1071 21ST AVE SE,44.99024,-93.222818,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377516.6300574,5619985.10473846
121,Dover,2022,1,271122465174,12/1/2022 12:00:00 AM,1029 21ST AVE SE,44.98868,-93.222906,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377526.4262239,5619739.55983263
122,Dover,2022,1,271122465173,12/1/2022 12:00:00 AM,1027 21ST AVE SE,44.988666,-93.22289,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377524.6450299,5619737.35629469
123,Dover,2022,1,271122465172,12/1/2022 12:00:00 AM,1025 21ST AVE SE,44.988586,-93.222914,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377527.3167208,5619724.76441693
124,Dover,2022,1,271122465171,12/1/2022 12:00:00 AM,1023 21ST AVE SE,44.988443,-93.222919,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377527.8733439,5619702.25659956
125,Dover,2022,1,271122465170,12/1/2022 12:00:00 AM,1019 21ST AVE SE,44.988442,-93.222893,478.1000(c),Snow emergency parking restric...,1,Como,University,3,4,-10377524.9790038,5619702.09919451
