X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day_ID,Snow_Emerg
-10382835.697982,5612535.16183673,13,01/18/2020 09:54pm,Snow Emergency,"3304 4TH AVE S,Minneapolis,MN",44.94289,-93.2706,9,Central,Powderhorn,5,1,Newton
-10384592.3195631,5622610.96435404,14,01/18/2020 10:01pm,Snow Emergency,"2600 LYNDALE AVE N ,Minneapolis,MN",45.00692,-93.28638,5,Hawthorne,Near North,1,1,Newton
-10385377.1219239,5615556.8789037,15,01/18/2020 10:02pm,Snow Emergency,"2020 DUPONT AVE S,Minneapolis,MN",44.9621,-93.29343,7,Lowry Hill,Calhoun Isle,3,1,Newton
-10385359.1995604,5615494.7356504,16,01/18/2020 10:03pm,Snow Emergency,"2104 DUPONT AVE S,Minneapolis,MN",44.961705,-93.293269,7,Lowry Hill,Calhoun Isle,3,1,Newton
-10383924.4026517,5621314.46868577,17,01/18/2020 10:03pm,Snow Emergency,"1963 2ND ST N ,Minneapolis,MN",44.998685,-93.28038,5,Near - North,Near North,1,1,Newton
-10380706.1561287,5619290.98541236,18,01/18/2020 10:04pm,Snow Emergency,"301-399 university ave se,Minneapolis,MN",44.98583,-93.25147,3,Marcy Holmes,University,4,1,Newton
-10385377.1219239,5615599.35686684,19,01/18/2020 10:12pm,Snow Emergency,"2000 Dupont Ave S,Minneapolis,MN",44.96237,-93.29343,7,Lowry Hill,Calhoun Isle,3,1,Newton
-10384727.0161515,5624456.45018165,20,01/18/2020 10:14pm,Snow Emergency,"3500 block Lyndale ave N,Minneapolis,MN",45.01864,-93.28759,4,McKinley,Camden,1,1,Newton
-10385378.2351702,5615459.33764988,21,01/18/2020 10:14pm,Snow Emergency,"2112 Dupont Ave S,Minneapolis,MN",44.96148,-93.29344,7,Lowry Hill,Calhoun Isle,3,1,Newton
-10383622.2815368,5619957.24448868,22,01/18/2020 10:17pm,Snow Emergency,"866 2ND ST N,Minneapolis,MN",44.990063,-93.277666,3,North Loop,Central,1,1,Newton
-10380612.6477491,5619240.62064023,23,01/18/2020 10:22pm,Snow Emergency,"327 UNIVERSITY AVE SE,Minneapolis,MN",44.98551,-93.25063,3,Marcy Holmes,University,4,1,Newton
-10383372.2579435,5619596.32843758,24,01/18/2020 10:23pm,Snow Emergency,"625 2ND St N,Minneapolis,MN",44.98777,-93.27542,3,North Loop,Central,1,1,Newton
-10383667.2545827,5620001.47468366,25,01/18/2020 10:24pm,Snow Emergency,"904 2ND ST N,Minneapolis,MN",44.990344,-93.27807,3,North Loop,Central,1,1,Newton
-10383542.5767099,5615882.54858537,26,01/18/2020 10:25pm,Snow Emergency,"14 e 19th st,Minneapolis,MN",44.96417,-93.27695,6,Steven's Square - Loring Heights,Central,3,1,Newton
-10382780.9287696,5613345.15335188,27,01/18/2020 10:25pm,Snow Emergency,"3011 4th ave S,Minneapolis,MN",44.94804,-93.270108,9,Central,Powderhorn,5,1,Newton
-10383836.1262291,5620245.76740202,28,01/18/2020 10:26pm,Snow Emergency,"1266 2nd street N,Minneapolis,MN",44.991896,-93.279587,3,North Loop,Central,1,1,Newton
-10383597.123273,5615814.89642575,29,01/18/2020 10:29pm,Snow Emergency,"1 East 19th Street,Minneapolis,MN",44.96374,-93.27744,6,Steven's Square - Loring Heights,Central,3,1,Newton
-10383650.4453653,5619928.44001247,30,01/18/2020 10:31pm,Snow Emergency,"875 2nd st n,Minneapolis,MN",44.98988,-93.277919,3,North Loop,Central,1,1,Newton
-10383614.934412,5615864.45553272,31,01/18/2020 10:36pm,Snow Emergency,"2 e 19th st ,Minneapolis,MN",44.964055,-93.2776,6,Steven's Square - Loring Heights,Central,3,1,Newton
-10383541.4635637,5615882.54858537,32,01/18/2020 10:37pm,Snow Emergency,"10 E 19TH ST ,Minneapolis,MN",44.96417,-93.27694,6,Steven's Square - Loring Heights,Central,3,1,Newton
-10381431.9592419,5627075.73586007,33,01/18/2020 10:37pm,Snow Emergency,"552 37TH AVE NE,Minneapolis,MN",45.03527,-93.25799,1,Columbia Park,Northeast,2,1,Newton
-10381125.4966669,5627100.15249844,34,01/18/2020 10:40pm,Snow Emergency,"626 37TH AVE NE,Minneapolis,MN",45.035425,-93.255237,1,Columbia Park,Northeast,2,1,Newton
-10382745.529241,5611582.13870489,35,01/18/2020 10:40pm,Snow Emergency,"3629 4TH AVE S,Minneapolis,MN",44.93683,-93.26979,8,Central,Powderhorn,5,1,Newton
-10382015.2733431,5604857.22048198,36,01/18/2020 10:41pm,Snow Emergency,"6004 CHICAGO AVE S,Minneapolis,MN",44.89405,-93.26323,11,Diamond Lake,Nokomis,5,1,Newton
-10381498.750913,5627097.00195617,37,01/18/2020 10:44pm,Snow Emergency,"540 37TH AVE NE,Minneapolis,MN",45.035405,-93.25859,1,Columbia Park,Northeast,2,1,Newton
-10381993.0094194,5608129.45151719,38,01/18/2020 10:44pm,Snow Emergency,"4840 CHICAGO AVE S,Minneapolis,MN",44.91487,-93.26303,8,Field,Nokomis,5,1,Newton
-10383320.6057205,5619597.58766326,39,01/18/2020 10:47pm,Snow Emergency,"581 2ND ST N ,Minneapolis,MN",44.987778,-93.274956,3,North Loop,Central,1,1,Newton
-10383459.087146,5619684.47055454,40,01/18/2020 10:49pm,Snow Emergency,"701 2ND ST N ,Minneapolis,MN",44.98833,-93.2762,3,North Loop,Central,1,1,Newton
-10383624.3966046,5619902.7835155,41,01/18/2020 10:49pm,Snow Emergency,"853 2ND ST N,Minneapolis,MN",44.989717,-93.277685,3,North Loop,Central,1,1,Newton
-10380299.8399709,5619059.62426468,42,01/18/2020 10:52pm,Snow Emergency,"525 UNIVERSITY AVE SE,Minneapolis,MN",44.98436,-93.24782,3,Marcy Holmes,University,4,1,Newton
-10383208.6182542,5619481.43007142,43,01/18/2020 10:52pm,Snow Emergency,"525 2ND ST N ,Minneapolis,MN",44.98704,-93.27395,3,North Loop,Central,1,1,Newton
-10383320.6057205,5619597.58766326,44,01/18/2020 10:53pm,Snow Emergency,"581 2ND ST N ,Minneapolis,MN",44.987778,-93.274956,3,North Loop,Central,1,1,Newton
-10383175.2224687,5619602.62428463,45,01/18/2020 10:53pm,Snow Emergency,"560 2ND ST N ,Minneapolis,MN",44.98781,-93.27365,3,North Loop,Central,1,1,Newton
-10385466.7341419,5619075.36295427,46,01/18/2020 10:58pm,Snow Emergency,"601 VAN WHITE MEMORIAL BLVD,Minneapolis,MN",44.98446,-93.294235,5,Near - North,Near North,1,1,Newton
-10386206.4521323,5614265.32895168,47,01/18/2020 11:00pm,Snow Emergency,"2700 IRVING AVE S,Minneapolis,MN",44.95389,-93.30088,7,East Isles,Calhoun Isle,3,1,Newton
-10380361.0657112,5619117.85748253,48,01/18/2020 11:00pm,Snow Emergency,"511 UNIVERSITY AVE SE,Minneapolis,MN",44.98473,-93.24837,3,Marcy Holmes,University,4,1,Newton
-10386206.4521323,5614265.32895168,49,01/18/2020 11:03pm,Snow Emergency,"2700 Irving Ave S,Minneapolis,MN",44.95389,-93.30088,7,East Isles,Calhoun Isle,3,1,Newton
-10380797.9947391,5621886.73011562,50,01/18/2020 11:05pm,Snow Emergency,"1435 MONROE ST NE,Minneapolis,MN",45.00232,-93.252295,1,Logan Park,Northeast,2,1,Newton
-10386182.0732409,5614322.27289384,51,01/18/2020 11:07pm,Snow Emergency,"2698 irving av s ,Minneapolis,MN",44.954252,-93.300661,7,East Isles,Calhoun Isle,3,1,Newton
-10380826.9377398,5620942.00674328,52,01/18/2020 11:10pm,Snow Emergency,"672 MONROE ST NE,Minneapolis,MN",44.996319,-93.252555,3,St. Anthony East,Northeast,2,1,Newton
-10383107.3175513,5613368.7465244,53,01/18/2020 11:12pm,Snow Emergency,"3000 3RD AVE S,Minneapolis,MN",44.94819,-93.27304,9,Central,Powderhorn,5,1,Newton
-10380826.9377398,5620922.64413186,54,01/18/2020 11:13pm,Snow Emergency,"664 Monroe st. NE,Minneapolis,MN",44.996196,-93.252555,3,St. Anthony East,Northeast,2,1,Newton
-10385407.2894955,5619072.37260821,55,01/18/2020 11:13pm,Snow Emergency,"600 VAN WHITE MEMORIAL BLVD,Minneapolis,MN",44.984441,-93.293701,5,Sumner - Glenwood,Near North,1,1,Newton
-10386206.4521323,5614265.32895168,56,01/18/2020 11:17pm,Snow Emergency,"2700 Irving Ave s ,Minneapolis,MN",44.95389,-93.30088,7,East Isles,Calhoun Isle,3,1,Newton
-10383320.6057205,5619597.58766326,57,01/18/2020 11:19pm,Snow Emergency,"581 2ND st n ,Minneapolis,MN",44.987778,-93.274956,3,North Loop,Central,1,1,Newton
-10380361.0657112,5619117.85748253,58,01/18/2020 11:19pm,Snow Emergency,"505 UNIVERSITY AVE SE,Minneapolis,MN",44.98473,-93.24837,3,Marcy Holmes,University,4,1,Newton
-10382123.2532231,5605864.53900853,59,01/18/2020 11:21pm,Snow Emergency,"5600 chicago AVE S,Minneapolis,MN",44.90046,-93.2642,11,Diamond Lake,Nokomis,5,1,Newton
-10383320.6057205,5619597.58766326,60,01/18/2020 11:22pm,Snow Emergency,"581 2ND st n ,Minneapolis,MN",44.987778,-93.274956,3,North Loop,Central,1,1,Newton
-10386206.4521323,5614265.32895168,61,01/18/2020 11:22pm,Snow Emergency,"2700 Irving Avenue South,Minneapolis,MN",44.95389,-93.30088,7,East Isles,Calhoun Isle,3,1,Newton
-10387742.6611686,5609317.93265036,62,01/18/2020 11:22pm,Snow Emergency,"4425 UPTON AVE S,Minneapolis,MN",44.92243,-93.31468,13,Linden Hills,Southwest,5,1,Newton
-10380833.616917,5613369.69015073,63,01/18/2020 11:22pm,Snow Emergency,"3000 BLOOMINGTON AVE S,Minneapolis,MN",44.948196,-93.252615,9,Powderhorn Park,Powderhorn,6,1,Newton
-10383137.0398244,5619410.28840925,64,01/18/2020 11:25pm,Snow Emergency,"475 2ND ST N,Minneapolis,MN",44.986588,-93.273307,3,North Loop,Central,3,1,Newton
-10380121.7287812,5618840.85953465,65,01/18/2020 11:27pm,Snow Emergency,"700 UNIVERSITY AVE SE,Minneapolis,MN",44.98297,-93.24622,3,Marcy Holmes,University,4,1,Newton
-10383208.6182542,5619481.43007142,66,01/18/2020 11:27pm,Snow Emergency,"525 2ND ST N ,Minneapolis,MN",44.98704,-93.27395,3,North Loop,Central,1,1,Newton
-10381990.783027,5606579.63052712,67,01/18/2020 11:30pm,Snow Emergency,"5400 CHICAGO AVE S,Minneapolis,MN",44.90501,-93.26301,11,Page,Nokomis,5,1,Newton
-10380121.7287812,5618840.85953465,68,01/18/2020 11:32pm,Snow Emergency,"700 UNIVERSITY AV SE,Minneapolis,MN",44.98297,-93.24622,3,Marcy Holmes,University,4,1,Newton
-10385437.791041,5621409.71187381,69,01/18/2020 11:39pm,Snow Emergency,"2000 EMERSON AVE N ,Minneapolis,MN",44.99929,-93.293975,5,Hawthorne,Near North,1,1,Newton
-10380776.2874385,5613161.12948602,70,01/18/2020 11:42pm,Snow Emergency,"3045 BLOOMINGTON AVE S,Minneapolis,MN",44.94687,-93.2521,9,Powderhorn Park,Powderhorn,6,1,Newton
-10386326.1205973,5613579.04212492,71,01/18/2020 11:44pm,Snow Emergency,"2885-2801 IRVING AV S,Minneapolis,MN",44.949527,-93.301955,7,East Isles,Calhoun Isle,3,1,Newton
-10380802.4475238,5613140.9972498,72,01/18/2020 11:46pm,Snow Emergency,"3043 BLOOMINGTON AVE S,Minneapolis,MN",44.946742,-93.252335,9,Powderhorn Park,Powderhorn,6,1,Newton
-10380851.9846791,5611116.67223117,73,01/18/2020 11:46pm,Snow Emergency,"3800 BLOOMINGTON AVE S,Minneapolis,MN",44.93387,-93.25278,8,Bancroft,Powderhorn,6,1,Newton
-10383142.9397292,5619363.38546835,74,01/18/2020 11:47pm,Snow Emergency,"401 2ND ST N ,Minneapolis,MN",44.98629,-93.27336,3,North Loop,Central,3,1,Newton
-10380826.9377398,5620942.00674328,75,01/18/2020 11:47pm,Snow Emergency,"672 MONROE ST NE,Minneapolis,MN",44.996319,-93.252555,3,St. Anthony East,Northeast,2,1,Newton
-10380833.616917,5613369.69015073,76,01/18/2020 11:50pm,Snow Emergency,"3000 Bloomington ave s,Minneapolis,MN",44.948196,-93.252615,9,Powderhorn Park,Powderhorn,6,1,Newton
-10383142.9397292,5619363.38546835,77,01/18/2020 11:52pm,Snow Emergency,"401 2ND ST N ,Minneapolis,MN",44.98629,-93.27336,3,North Loop,Central,3,1,Newton
-10379970.3343,5618755.87328742,78,01/18/2020 11:54pm,Snow Emergency,"800 UNIVERSITY AVE SE,Minneapolis,MN",44.98243,-93.24486,3,Marcy Holmes,University,4,1,Newton
-10381985.2170961,5608292.93703424,79,01/18/2020 11:54pm,Snow Emergency,"4800 CHICAGO AVE S,Minneapolis,MN",44.91591,-93.26296,8,Field,Nokomis,5,1,Newton
-10386357.2900905,5613415.9327715,80,01/18/2020 11:57pm,Snow Emergency,"2998 IRVING AVE S,Minneapolis,MN",44.94849,-93.302235,7,East Isles,Calhoun Isle,3,1,Newton
-10383067.4651378,5619342.29499974,81,01/18/2020 11:58pm,Snow Emergency,"411 2ND ST N ,Minneapolis,MN",44.986156,-93.272682,3,North Loop,Central,3,1,Newton
-10385461.168211,5622922.56048676,82,01/19/2020 12:00am,Snow Emergency,"2800 EMERSON AVE N ,Minneapolis,MN",45.008899,-93.294185,5,Hawthorne,Near North,1,1,Newton
-10383145.7227447,5619418.78758609,83,01/19/2020 12:01am,Snow Emergency,"483 2ND ST N ,Minneapolis,MN",44.986642,-93.273385,3,North Loop,Central,3,1,Newton
-10380851.9846791,5611116.67223117,84,01/19/2020 12:02am,Snow Emergency,"3800 BLOOMINGTON AVE S,Minneapolis,MN",44.93387,-93.25278,8,Bancroft,Powderhorn,6,1,Newton
-10385601.4307304,5623610.81802022,85,01/19/2020 12:02am,Snow Emergency,"3200 FREMONT AVE N ,Minneapolis,MN",45.01327,-93.295445,4,Folwell,Camden,1,1,Newton
-10379970.3343,5618755.87328742,86,01/19/2020 12:05am,Snow Emergency,"800-899 UNIVERSITY AVE SE,Minneapolis,MN",44.98243,-93.24486,3,Marcy Holmes,University,4,1,Newton
-10380828.0509861,5621931.7568505,87,01/19/2020 12:06am,Snow Emergency,"1464 MONROE ST NE,Minneapolis,MN",45.002606,-93.252565,1,Logan Park,Northeast,2,1,Newton
-10381994.1226656,5613104.50758885,88,01/19/2020 12:07am,Snow Emergency,"3100 CHICAGO AVE S,Minneapolis,MN",44.94651,-93.26304,9,Central,Powderhorn,5,1,Newton
-10380270.8968701,5618924.27280905,89,01/19/2020 12:11am,Snow Emergency,"600 block of University Ave SE,Minneapolis,MN",44.9835,-93.24756,3,Marcy Holmes,University,4,1,Newton
-10380838.6263248,5611981.57845014,90,01/19/2020 12:12am,Snow Emergency,"3500 BLOOMINGTON AVE S ,Minneapolis,MN",44.93937,-93.25266,9,Powderhorn Park,Powderhorn,6,1,Newton
-10380838.6263248,5611981.57845014,91,01/19/2020 12:14am,Snow Emergency,"3500 BLOOMINGTON AVE S,Minneapolis,MN",44.93937,-93.25266,9,Powderhorn Park,Powderhorn,6,1,Newton
-10381975.1982804,5610569.46520337,92,01/19/2020 12:15am,Snow Emergency,"4000 Chicago ,Minneapolis,MN",44.93039,-93.26287,8,Bryant,Powderhorn,5,1,Newton
-10386357.8467136,5613538.61839449,93,01/19/2020 12:16am,Snow Emergency,"2900 IRVING AVE S,Minneapolis,MN",44.94927,-93.30224,7,East Isles,Calhoun Isle,3,1,Newton
-10384412.6499287,5616478.22409806,94,01/19/2020 12:18am,Snow Emergency,"301 15th st w ,Minneapolis,MN",44.967956,-93.284766,7,Loring Park,Central,3,1,Newton
-10379484.3134153,5618558.99143392,95,01/19/2020 12:19am,Snow Emergency,"300 Block of 11th Ave SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,4,1,Newton
-10384412.6499287,5616478.22409806,96,01/19/2020 12:19am,Snow Emergency,"301 W 15TH ST,Minneapolis,MN",44.967956,-93.284766,7,Loring Park,Central,3,1,Newton
-10383240.9008935,5619605.7722098,97,01/19/2020 12:20am,Snow Emergency,"580 2ND ST N ,Minneapolis,MN",44.98783,-93.27424,3,North Loop,Central,1,1,Newton
-10384412.6499287,5616478.22409806,98,01/19/2020 12:20am,Snow Emergency,"301 W 15TH ST ,Minneapolis,MN",44.967956,-93.284766,7,Loring Park,Central,3,1,Newton
-10385435.0081257,5623047.10739126,99,01/19/2020 12:20am,Snow Emergency,"2900 EMERSON AVE N ,Minneapolis,MN",45.00969,-93.29395,5,Hawthorne,Near North,1,1,Newton
-10383078.2631258,5619352.99755606,100,01/19/2020 12:24am,Snow Emergency,"421 2ND ST N ,Minneapolis,MN",44.986224,-93.272779,3,North Loop,Central,3,1,Newton
-10379181.0790542,5615977.73445271,101,01/19/2020 12:25am,Snow Emergency,"2400 Butler pl,Minneapolis,MN",44.964775,-93.23777,2,Cedar Riverside,University,4,1,Newton
-10384231.310425,5616487.19256059,102,01/19/2020 12:25am,Snow Emergency,"300 W 15TH ST,Minneapolis,MN",44.968013,-93.283137,7,Loring Park,Central,3,1,Newton
-10379275.7006801,5615758.25788065,103,01/19/2020 12:26am,Snow Emergency,"2329 9 ST S,Minneapolis,MN",44.96338,-93.23862,6,Seward,Longfellow,4,1,Newton
-10379484.3134153,5618558.99143392,104,01/19/2020 12:28am,Snow Emergency,"300 11TH AVE SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,4,1,Newton
-10385576.3838913,5623919.45674851,105,01/19/2020 12:29am,Snow Emergency,"3300 blk fremont Ave n,Minneapolis,MN",45.01523,-93.29522,4,Folwell,Camden,1,1,Newton
-10383786.2551,5616459.18576027,106,01/19/2020 12:31am,Snow Emergency,"98 15TH ST W,Minneapolis,MN",44.967835,-93.279139,7,Loring Park,Central,3,1,Newton
-10380037.1259711,5618995.09599517,107,01/19/2020 12:32am,Snow Emergency,"700 4th st se,Minneapolis,MN",44.98395,-93.24546,3,Marcy Holmes,University,4,1,Newton
-10379484.3134153,5618558.99143392,108,01/19/2020 12:35am,Snow Emergency,"300-399 11th ave se,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,4,1,Newton
-10384231.310425,5616487.19256059,109,01/19/2020 12:37am,Snow Emergency,"300 15th st w,Minneapolis,MN",44.968013,-93.283137,7,Loring Park,Central,3,1,Newton
-10383661.0207041,5616459.18576027,110,01/19/2020 12:38am,Snow Emergency,"2-99 15TH ST W,Minneapolis,MN",44.967835,-93.278014,7,Loring Park,Central,3,1,Newton
-10383786.2551,5616459.18576027,111,01/19/2020 12:38am,Snow Emergency,"98 W 15TH ST ,Minneapolis,MN",44.967835,-93.279139,7,Loring Park,Central,3,1,Newton
-10380794.6551005,5610392.1018077,112,01/19/2020 12:40am,Snow Emergency,"4047 Bloomington Ave S ,Minneapolis,MN",44.929262,-93.252265,8,Bancroft,Powderhorn,6,1,Newton
-10383559.0520535,5616468.62624982,113,01/19/2020 12:41am,Snow Emergency,"00-99 15TH ST E,Minneapolis,MN",44.967895,-93.277098,7,Loring Park,Central,3,1,Newton
-10380853.0978252,5610679.53289094,114,01/19/2020 12:44am,Snow Emergency,"3940 Bloomington Ave S ,Minneapolis,MN",44.93109,-93.25279,8,Bancroft,Powderhorn,6,1,Newton
-10383552.2615517,5616511.10850425,115,01/19/2020 12:44am,Snow Emergency,"100-199 15TH ST E,Minneapolis,MN",44.968165,-93.277037,7,Loring Park,Central,3,1,Newton
-10379484.3134153,5618558.99143392,116,01/19/2020 12:46am,Snow Emergency,"300 11th ave se,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,4,1,Newton
-10385435.0081257,5623047.10739126,117,01/19/2020 12:46am,Snow Emergency,"2900 EMERSON AVE N ,Minneapolis,MN",45.00969,-93.29395,5,Hawthorne,Near North,1,1,Newton
-10380854.2110714,5610553.74133731,118,01/19/2020 12:47am,Snow Emergency,"4000 Bloomington AVE S,Minneapolis,MN",44.93029,-93.2528,8,Bancroft,Powderhorn,6,1,Newton
-10383786.2551,5616459.18576027,119,01/19/2020 12:47am,Snow Emergency,"98 15th st w ,Minneapolis,MN",44.967835,-93.279139,7,Loring Park,Central,3,1,Newton
-10383786.2551,5616459.18576027,120,01/19/2020 12:48am,Snow Emergency,"98 W 15TH ST,Minneapolis,MN",44.967835,-93.279139,7,Loring Park,Central,3,1,Newton
-10385611.449446,5621560.84365151,121,01/19/2020 12:49am,Snow Emergency,"2100 FREMONT AVE N ,Minneapolis,MN",45.00025,-93.295535,5,Jordan,Near North,1,1,Newton
-10382787.2739729,5613541.92150288,122,01/19/2020 12:49am,Snow Emergency,"2939 4TH AVE S,Minneapolis,MN",44.949291,-93.270165,6,Phillips West,Phillips,3,1,Newton
-10379665.2075204,5613130.45920638,123,01/19/2020 12:51am,Snow Emergency,"2100 31ST ST E,Minneapolis,MN",44.946675,-93.242119,9,Corcoran,Powderhorn,6,1,Newton
-10383775.9024104,5616459.18576027,124,01/19/2020 12:53am,Snow Emergency,"90 W 15TH ST ,Minneapolis,MN",44.967835,-93.279046,7,Loring Park,Central,3,1,Newton
-10383786.2551,5616459.18576027,125,01/19/2020 12:53am,Snow Emergency,"98 W 15TH ST,Minneapolis,MN",44.967835,-93.279139,7,Loring Park,Central,3,1,Newton
-10385601.4307304,5623610.81802022,126,01/19/2020 12:54am,Snow Emergency,"3200 FREMONT AVE N ,Minneapolis,MN",45.01327,-93.295445,4,Folwell,Camden,1,1,Newton
-10379665.2075204,5613130.45920638,127,01/19/2020 12:56am,Snow Emergency,"2100 E 31ST ST ,Minneapolis,MN",44.946675,-93.242119,9,Corcoran,Powderhorn,6,1,Newton
-10385657.6470628,5624749.36923437,128,01/19/2020 12:58am,Snow Emergency,"3601 FREMONT AVE N ,Minneapolis,MN",45.0205,-93.29595,4,Folwell,Camden,1,1,Newton
-10385885.8520308,5611841.61519065,129,01/19/2020 12:59am,Snow Emergency,"3529 HENNEPIN AVE ,Minneapolis,MN",44.93848,-93.298,10,South Uptown,Calhoun Isle,5,1,Newton
-10383661.0207041,5616459.18576027,130,01/19/2020 01:00am,Snow Emergency,"2-98 W 15TH ST ,Minneapolis,MN",44.967835,-93.278014,7,Loring Park,Central,3,1,Newton
-10387503.3242387,5610228.2639532,131,01/19/2020 01:01am,Snow Emergency,"4111 SHERIDAN AVE S,Minneapolis,MN",44.92822,-93.31253,13,Linden Hills,Southwest,5,1,Newton
-10379477.0776151,5613089.56575656,132,01/19/2020 01:02am,Snow Emergency,"2201 E 31TH ST ,Minneapolis,MN",44.946415,-93.240429,9,Corcoran,Powderhorn,6,1,Newton
-10385605.8835151,5623485.16103283,133,01/19/2020 01:04am,Snow Emergency,"3100 FREMONT AVE N ,Minneapolis,MN",45.012472,-93.295485,5,Jordan,Near North,1,1,Newton
-10382245.8160282,5616473.34656905,134,01/19/2020 01:05am,Snow Emergency,"699 E 15TH ST,Minneapolis,MN",44.967925,-93.265301,6,Elliot Park,Central,3,1,Newton
-10379484.3134153,5618558.99143392,135,01/19/2020 01:05am,Snow Emergency,"300 11TH AVE SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,4,1,Newton
-10384021.2505698,5616467.8395066,136,01/19/2020 01:07am,Snow Emergency,"200 15 st w,Minneapolis,MN",44.96789,-93.28125,7,Loring Park,Central,3,1,Newton
-10380512.3488678,5613132.03211124,137,01/19/2020 01:09am,Snow Emergency,"1700 E 31ST ST,Minneapolis,MN",44.946685,-93.249729,9,Powderhorn Park,Powderhorn,6,1,Newton
-10383661.0207041,5616459.18576027,138,01/19/2020 01:10am,Snow Emergency,"2-99 W 15TH ST ,Minneapolis,MN",44.967835,-93.278014,7,Loring Park,Central,3,1,Newton
-10385437.791041,5621409.71187381,139,01/19/2020 01:11am,Snow Emergency,"2000 EMERSON AVE N ,Minneapolis,MN",44.99929,-93.293975,5,Hawthorne,Near North,1,1,Newton
-10384228.1935357,5616486.72051368,140,01/19/2020 01:11am,Snow Emergency,"298 W 15TH ST ,Minneapolis,MN",44.96801,-93.283109,7,Loring Park,Central,3,1,Newton
-10379665.2075204,5613130.45920638,141,01/19/2020 01:12am,Snow Emergency,"2100 E 31ST ST ,Minneapolis,MN",44.946675,-93.242119,9,Corcoran,Powderhorn,6,1,Newton
-10379665.2075204,5613130.45920638,142,01/19/2020 01:14am,Snow Emergency,"2100 31ST ST E,Minneapolis,MN",44.946675,-93.242119,9,Corcoran,Powderhorn,6,1,Newton
-10383786.2551,5616459.18576027,143,01/19/2020 01:16am,Snow Emergency,"98 W 15TH ST ,Minneapolis,MN",44.967835,-93.279139,7,Loring Park,Central,3,1,Newton
-10385577.4970374,5624765.11785532,144,01/19/2020 01:16am,Snow Emergency,"3600 FREMONT AVE N,Minneapolis,MN",45.0206,-93.29523,4,Folwell,Camden,1,1,Newton
-10379484.3134153,5618558.99143392,145,01/19/2020 01:16am,Snow Emergency,"300 11TH AVE SE,Minneapolis,MN",44.981179,-93.240494,3,Marcy Holmes,University,4,1,Newton
-10382252.1612315,5616515.8288457,146,01/19/2020 01:17am,Snow Emergency,"690 E 15TH ST ,Minneapolis,MN",44.968195,-93.265358,7,Elliot Park,Central,3,1,Newton
