X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Date___Tim,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone
-10380465.0381049,5619711.5429359,17,Lourdes,2022-2023,3,271122481359,2022/12/23 00:00:00+00,12:27:00,12/23/22 12:27 PM,309 6TH ST SE,44.988502,-93.249304,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380323.43969,5619634.57579737,18,Lourdes,2022-2023,3,271122481358,2022/12/23 00:00:00+00,12:25:00,12/23/22 12:25 PM,403 6TH ST SE,44.988013,-93.248032,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380239.3935031,5619588.45870572,19,Lourdes,2022-2023,3,271122481357,2022/12/23 00:00:00+00,12:23:00,12/23/22 12:23 PM,423 6TH ST SE,44.98772,-93.247277,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380216.6842808,5619574.13560469,20,Lourdes,2022-2023,3,271122481356,2022/12/23 00:00:00+00,12:21:00,12/23/22 12:21 PM,425 6TH ST SE,44.987629,-93.247073,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380123.1759012,5619517.78826353,21,Lourdes,2022-2023,3,271122481355,2022/12/23 00:00:00+00,11:31:00,12/23/22 11:31 AM,509 6TH ST SE,44.987271,-93.246233,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379927.0310234,5619407.92741027,22,Lourdes,2022-2023,3,271122481354,2022/12/23 00:00:00+00,11:29:00,12/23/22 11:29 AM,615 6TH ST SE,44.986573,-93.244471,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378442.1403362,5618975.89495421,23,Lourdes,2022-2023,3,271122481353,2022/12/23 00:00:00+00,11:22:00,12/23/22 11:22 AM,1503 8TH ST SE,44.983828,-93.231132,478.1000(c),Snow emergency parking restrictions - odd number address,2,University of Minnesota,University,3,4
-10379527.0600688,5619132.96669322,24,Lourdes,2022-2023,3,271122481352,2022/12/23 00:00:00+00,11:14:00,12/23/22 11:14 AM,523 9 1/2 AVE SE,44.984826,-93.240878,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379516.3734054,5619150.90890493,25,Lourdes,2022-2023,3,271122481351,2022/12/23 00:00:00+00,11:13:00,12/23/22 11:13 AM,525 9 1/2 AVE SE,44.98494,-93.240782,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379507.2451867,5619159.565233,26,Lourdes,2022-2023,3,271122481350,2022/12/23 00:00:00+00,11:12:00,12/23/22 11:12 AM,529 9 1/2 AVE SE,44.984995,-93.2407,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379459.3778007,5619245.65706233,27,Lourdes,2022-2023,3,271122481349,2022/12/23 00:00:00+00,11:11:00,12/23/22 11:11 AM,623 9 1/2 AVE SE,44.985542,-93.24027,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378796.9154956,5618972.58985649,28,Lourdes,2022-2023,3,271122481348,2022/12/23 00:00:00+00,11:07:00,12/23/22 11:07 AM,1309 7TH ST SE,44.983807,-93.234319,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379459.3778007,5619146.18732641,29,Lourdes,2022-2023,3,271122481347,2022/12/23 00:00:00+00,11:00:00,12/23/22 11:00 AM,925 6TH ST SE,44.98491,-93.24027,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379438.3384478,5619129.50414289,30,Lourdes,2022-2023,3,271122481346,2022/12/23 00:00:00+00,10:59:00,12/23/22 10:59 AM,929 6TH ST SE,44.984804,-93.240081,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379236.627539,5619014.92650764,31,Lourdes,2022-2023,3,271122481345,2022/12/23 00:00:00+00,10:57:00,12/23/22 10:57 AM,1101 6TH ST SE,44.984076,-93.238269,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378961.6684311,5618865.09649791,32,Lourdes,2022-2023,3,271122481344,2022/12/23 00:00:00+00,10:54:00,12/23/22 10:54 AM,1229 6TH ST SE,44.983124,-93.235799,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378970.9078744,5618864.78171702,33,Lourdes,2022-2023,3,271122481343,2022/12/23 00:00:00+00,10:53:00,12/23/22 10:53 AM,1227 6TH ST SE,44.983122,-93.235882,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378760.6253699,5618758.39136283,34,Lourdes,2022-2023,3,271122481342,2022/12/23 00:00:00+00,10:51:00,12/23/22 10:51 AM,1403 6TH ST SE,44.982446,-93.233993,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378729.0106783,5618749.10586593,35,Lourdes,2022-2023,3,271122481341,2022/12/23 00:00:00+00,10:50:00,12/23/22 10:50 AM,1405 6TH ST SE,44.982387,-93.233709,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378721.218255,5618731.00706512,36,Lourdes,2022-2023,3,271122481340,2022/12/23 00:00:00+00,10:48:00,12/23/22 10:48 AM,1413 6TH ST SE,44.982272,-93.233639,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378727.340809,5618732.89558102,37,Lourdes,2022-2023,3,271122481339,2022/12/23 00:00:00+00,10:47:00,12/23/22 10:47 AM,1409 6TH ST SE,44.982284,-93.233694,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378699.6222789,5618713.85262738,38,Lourdes,2022-2023,3,271122481338,2022/12/23 00:00:00+00,10:45:00,12/23/22 10:45 AM,1421 6TH ST SE,44.982163,-93.233445,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378669.566032,5618697.6424058,39,Lourdes,2022-2023,3,271122481337,2022/12/23 00:00:00+00,10:43:00,12/23/22 10:43 AM,1427 6TH ST SE,44.98206,-93.233175,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378655.9850285,5618686.31107753,40,Lourdes,2022-2023,3,271122481336,2022/12/23 00:00:00+00,10:42:00,12/23/22 10:42 AM,1429 6TH ST SE,44.981988,-93.233053,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378711.9788117,5619250.37883445,41,Lourdes,2022-2023,3,271122481335,2022/12/23 00:00:00+00,10:38:00,12/23/22 10:38 AM,817 13TH AVE SE,44.985572,-93.233556,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378722.5541504,5619237.31544552,42,Lourdes,2022-2023,3,271122481334,2022/12/23 00:00:00+00,10:37:00,12/23/22 10:37 AM,815 13TH AVE SE,44.985489,-93.233651,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378820.7378639,5619068.91008115,43,Lourdes,2022-2023,3,271122481333,2022/12/23 00:00:00+00,10:35:00,12/23/22 10:35 AM,709 13TH AVE SE,44.984419,-93.234533,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10378959.5533634,5619184.43263643,44,Lourdes,2022-2023,3,271122481332,2022/12/23 00:00:00+00,10:30:00,12/23/22 10:30 AM,719 12TH AVE SE,44.985153,-93.23578,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380524.7054005,5615141.7065524,45,Lourdes,2022-2023,3,271122480824,2022/12/23 00:00:00+00,01:58:00,12/23/22 1:58 PM,2233 17TH AVE S,44.959461,-93.24984,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380525.5958974,5615147.68464114,46,Lourdes,2022-2023,3,271122480823,2022/12/23 00:00:00+00,01:56:00,12/23/22 1:56 PM,2235 17TH AVE S,44.959499,-93.249848,478.1000(c),Snow emergency parking restrictions - odd number address,9,Ventura Village,Phillips,3,3
-10380523.7034789,5615173.79945904,47,Lourdes,2022-2023,3,271122480822,2022/12/23 00:00:00+00,01:54:00,12/23/22 1:54 PM,2231 17TH AVE S,44.959665,-93.249831,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380525.9298713,5615185.91300928,48,Lourdes,2022-2023,3,271122480821,2022/12/23 00:00:00+00,01:53:00,12/23/22 1:53 PM,2229 17TH AVE S,44.959742,-93.249851,478.1000(c),Snow emergency parking restrictions - odd number address,6,Ventura Village,Phillips,3,3
-10380523.1468558,5615198.81320832,49,Lourdes,2022-2023,3,271122480820,2022/12/23 00:00:00+00,01:52:00,12/23/22 1:52 PM,2227 17TH AVE S,44.959824,-93.249826,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380520.5864895,5615207.30841964,50,Lourdes,2022-2023,3,271122480819,2022/12/23 00:00:00+00,01:51:00,12/23/22 1:51 PM,2225 17TH AVE S,44.959878,-93.249803,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380523.4808296,5615240.03100993,51,Lourdes,2022-2023,3,271122480818,2022/12/23 00:00:00+00,01:42:00,12/23/22 1:42 PM,2221 17TH AVE S,44.960086,-93.249829,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380520.6978141,5615258.43746604,52,Lourdes,2022-2023,3,271122480817,2022/12/23 00:00:00+00,01:40:00,12/23/22 1:40 PM,2221 17TH AVE S,44.960203,-93.249804,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380520.6978141,5614703.90034059,53,Lourdes,2022-2023,3,271122480816,2022/12/23 00:00:00+00,01:35:00,12/23/22 1:35 PM,2517 17TH AVE S,44.956678,-93.249804,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380526.1525205,5614703.27121053,54,Lourdes,2022-2023,3,271122480815,2022/12/23 00:00:00+00,01:34:00,12/23/22 1:34 PM,2521 17TH AVE S,44.956674,-93.249853,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380526.9317929,5614663.31439718,55,Lourdes,2022-2023,3,271122480814,2022/12/23 00:00:00+00,01:31:00,12/23/22 1:31 PM,2523 17TH AVE S,44.95642,-93.24986,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380524.260102,5614647.42608321,56,Lourdes,2022-2023,3,271122480813,2022/12/23 00:00:00+00,01:27:00,12/23/22 1:27 PM,2535 17TH AVE S,44.956319,-93.249836,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380525.2619235,5614612.18872158,57,Lourdes,2022-2023,3,271122480812,2022/12/23 00:00:00+00,01:25:00,12/23/22 1:25 PM,2535 17TH AVE S,44.956095,-93.249845,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380528.8242114,5614565.93997277,58,Lourdes,2022-2023,3,271122480811,2022/12/23 00:00:00+00,01:22:00,12/23/22 1:22 PM,2541 17TH AVE S,44.955801,-93.249877,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380526.9317929,5614466.99374393,59,Lourdes,2022-2023,3,271122480810,2022/12/23 00:00:00+00,01:19:00,12/23/22 1:19 PM,2607 17TH AVE S,44.955172,-93.24986,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10380530.1600068,5614462.90372857,60,Lourdes,2022-2023,3,271122480809,2022/12/23 00:00:00+00,01:16:00,12/23/22 1:16 PM,2609 17TH AVE S,44.955146,-93.249889,478.1000(c),Snow emergency parking restrictions - odd number address,9,East Phillips,Phillips,3,3
-10379852.7809028,5622558.69158319,61,Lourdes,2022-2023,3,271122480768,2022/12/23 00:00:00+00,01:39:00,12/23/22 1:39 PM,1819 TAYLOR ST NE,45.006588,-93.243804,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10379854.1166981,5622583.41090346,62,Lourdes,2022-2023,3,271122480767,2022/12/23 00:00:00+00,01:36:00,12/23/22 1:36 PM,1823 TAYLOR ST NE,45.006745,-93.243816,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10379854.3393474,5622678.35257807,63,Lourdes,2022-2023,3,271122480766,2022/12/23 00:00:00+00,01:35:00,12/23/22 1:35 PM,1837 TAYLOR ST NE,45.007348,-93.243818,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10379849.9978873,5622676.30577905,64,Lourdes,2022-2023,3,271122480765,2022/12/23 00:00:00+00,01:33:00,12/23/22 1:33 PM,1839 TAYLOR ST NE,45.007335,-93.243779,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10379850.9998089,5623009.00302182,65,Lourdes,2022-2023,3,271122480764,2022/12/23 00:00:00+00,01:28:00,12/23/22 1:28 PM,2015 TAYLOR ST NE,45.009448,-93.243788,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10380048.0352837,5623402.33545113,66,Lourdes,2022-2023,3,271122480763,2022/12/23 00:00:00+00,01:24:00,12/23/22 1:24 PM,2337 POLK ST NE,45.011946,-93.245558,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10379963.321149,5622259.23121304,67,Lourdes,2022-2023,3,271122480762,2022/12/23 00:00:00+00,01:18:00,12/23/22 1:18 PM,1617 POLK ST NE,45.004686,-93.244797,478.1000(c),Snow emergency parking restrictions - odd number address,1,Northeast Park,Northeast,3,2
-10379968.5532061,5622439.81943999,68,Lourdes,2022-2023,3,271122480761,2022/12/23 00:00:00+00,01:17:00,12/23/22 1:17 PM,1729 POLK ST NE,45.005833,-93.244844,478.1000(c),Snow emergency parking restrictions - odd number address,1,Northeast Park,Northeast,3,2
-10380106.923307,5622265.84367689,69,Lourdes,2022-2023,3,271122480760,2022/12/23 00:00:00+00,01:10:00,12/23/22 1:10 PM,1617 TYLER ST NE,45.004728,-93.246087,478.1000(c),Snow emergency parking restrictions - odd number address,1,Northeast Park,Northeast,3,2
-10377238.5539602,5619278.39429913,70,Lourdes,2022-2023,3,271122480759,2022/12/23 00:00:00+00,12:39:00,12/23/22 12:39 PM,879 23RD AVE SE,44.98575,-93.22032,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377234.2125001,5619241.09283122,71,Lourdes,2022-2023,3,271122480758,2022/12/23 00:00:00+00,12:37:00,12/23/22 12:37 PM,867 23RD AVE SE,44.985513,-93.220281,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377241.4483003,5619241.25022822,72,Lourdes,2022-2023,3,271122480757,2022/12/23 00:00:00+00,12:35:00,12/23/22 12:35 PM,863 23RD AVE SE,44.985514,-93.220346,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377241.2256511,5619130.44851327,73,Lourdes,2022-2023,3,271122480756,2022/12/23 00:00:00+00,12:30:00,12/23/22 12:30 PM,835 23RD AVE SE,44.98481,-93.220344,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377238.9992587,5619106.36823185,74,Lourdes,2022-2023,3,271122480755,2022/12/23 00:00:00+00,12:28:00,12/23/22 12:28 PM,835 23RD AVE SE,44.984657,-93.220324,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377239.5558818,5619088.42596717,75,Lourdes,2022-2023,3,271122480754,2022/12/23 00:00:00+00,12:26:00,12/23/22 12:26 PM,875 23RD AVE SE,44.984543,-93.220329,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377099.5159116,5619308.77068168,76,Lourdes,2022-2023,3,271122480753,2022/12/23 00:00:00+00,12:21:00,12/23/22 12:21 PM,875 24TH AVE SE,44.985943,-93.219071,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377098.7367393,5619291.30020812,77,Lourdes,2022-2023,3,271122480752,2022/12/23 00:00:00+00,12:19:00,12/23/22 12:19 PM,873 24TH AVE SE,44.985832,-93.219064,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377096.2876977,5619282.3289582,78,Lourdes,2022-2023,3,271122480751,2022/12/23 00:00:00+00,12:17:00,12/23/22 12:17 PM,869 24TH AVE SE,44.985775,-93.219042,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377096.2876977,5619262.49785799,79,Lourdes,2022-2023,3,271122480750,2022/12/23 00:00:00+00,12:15:00,12/23/22 12:15 PM,863 24TH AVE SE,44.985649,-93.219042,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377100.7404825,5619220.00264849,80,Lourdes,2022-2023,3,271122480749,2022/12/23 00:00:00+00,12:14:00,12/23/22 12:14 PM,861 24TH AVE SE,44.985379,-93.219082,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377096.3990224,5619188.20999999,81,Lourdes,2022-2023,3,271122480748,2022/12/23 00:00:00+00,12:11:00,12/23/22 12:11 PM,849 24TH AVE SE,44.985177,-93.219043,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376957.9175969,5619169.32333955,82,Lourdes,2022-2023,3,271122480747,2022/12/23 00:00:00+00,12:06:00,12/23/22 12:06 PM,849 25TH AVE SE,44.985057,-93.217799,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376958.9194184,5619161.926167,83,Lourdes,2022-2023,3,271122480746,2022/12/23 00:00:00+00,12:05:00,12/23/22 12:05 PM,847 25TH AVE SE,44.98501,-93.217808,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376959.5873661,5619157.83402334,84,Lourdes,2022-2023,3,271122480745,2022/12/23 00:00:00+00,12:04:00,12/23/22 12:04 PM,845 25TH AVE SE,44.984984,-93.217814,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376959.3647169,5619146.18732641,85,Lourdes,2022-2023,3,271122480744,2022/12/23 00:00:00+00,12:03:00,12/23/22 12:03 PM,843 25TH AVE SE,44.98491,-93.217812,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376958.3627953,5619137.68826482,86,Lourdes,2022-2023,3,271122480743,2022/12/23 00:00:00+00,12:01:00,12/23/22 12:01 PM,839 25TH AVE SE,44.984856,-93.217803,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376811.0871249,5619100.38752018,87,Lourdes,2022-2023,3,271122480742,2022/12/23 00:00:00+00,11:56:00,12/23/22 11:56 AM,2539 COLE AVE SE,44.984619,-93.21648,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10376866.7469343,5619142.40998044,88,Lourdes,2022-2023,3,271122480741,2022/12/23 00:00:00+00,11:53:00,12/23/22 11:53 AM,2537 COLE AVE SE,44.984886,-93.21698,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377254.6953299,5619454.20097984,89,Lourdes,2022-2023,3,271122480740,2022/12/23 00:00:00+00,11:50:00,12/23/22 11:50 AM,2237 COLE AVE SE,44.986867,-93.220465,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377310.3550392,5619499.37311767,90,Lourdes,2022-2023,3,271122480739,2022/12/23 00:00:00+00,11:48:00,12/23/22 11:48 AM,2221 COLE AVE SE,44.987154,-93.220965,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377376.8128365,5619454.67318201,91,Lourdes,2022-2023,3,271122480738,2022/12/23 00:00:00+00,11:46:00,12/23/22 11:46 AM,911 22ND AVE SE,44.98687,-93.221562,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377380.2636997,5619145.87253571,92,Lourdes,2022-2023,3,271122480737,2022/12/23 00:00:00+00,11:43:00,12/23/22 11:43 AM,837 22ND AVE SE,44.984908,-93.221593,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377377.8146581,5619594.43974094,93,Lourdes,2022-2023,3,271122480736,2022/12/23 00:00:00+00,11:39:00,12/23/22 11:39 AM,931 22ND AVE SE,44.987758,-93.221571,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377381.7108197,5619752.15173104,94,Lourdes,2022-2023,3,271122480735,2022/12/23 00:00:00+00,11:35:00,12/23/22 11:35 AM,1025 22ND AVE SE,44.98876,-93.221606,478.1000(c),Snow emergency parking restrictions - odd number address,1,Como,University,3,4
-10377377.4806842,5619840.6101853,95,Lourdes,2022-2023,3,271122480734,2022/12/23 00:00:00+00,11:30:00,12/23/22 11:30 AM,1049 22ND AVE SE,44.989322,-93.221568,478.1000(c),Snow emergency parking restrictions - odd number address,1,Como,University,3,4
-10377376.7015119,5620140.46265054,96,Lourdes,2022-2023,3,271122480733,2022/12/23 00:00:00+00,11:23:00,12/23/22 11:23 AM,1103 22ND AVE SE,44.991227,-93.221561,478.1000(c),Snow emergency parking restrictions - odd number address,1,Como,University,3,4
-10377521.0828422,5620059.08433597,97,Lourdes,2022-2023,3,271122480732,2022/12/23 00:00:00+00,11:20:00,12/23/22 11:20 AM,1095 21ST AVE SE,44.99071,-93.222858,478.1000(c),Snow emergency parking restrictions - odd number address,1,Como,University,3,4
-10377521.1941668,5619762.38269681,98,Lourdes,2022-2023,3,271122480731,2022/12/23 00:00:00+00,11:14:00,12/23/22 11:14 AM,1033 21ST AVE SE,44.988825,-93.222859,478.1000(c),Snow emergency parking restrictions - odd number address,1,Como,University,3,4
-10377523.6432084,5619706.82106397,99,Lourdes,2022-2023,3,271122480730,2022/12/23 00:00:00+00,11:12:00,12/23/22 11:12 AM,1019 21ST AVE SE,44.988472,-93.222881,478.1000(c),Snow emergency parking restrictions - odd number address,1,Como,University,3,4
-10377521.5281407,5619513.38115495,100,Lourdes,2022-2023,3,271122480729,2022/12/23 00:00:00+00,11:09:00,12/23/22 11:09 AM,921 21ST AVE SE,44.987243,-93.222862,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377525.7582762,5619465.37601318,101,Lourdes,2022-2023,3,271122480728,2022/12/23 00:00:00+00,11:08:00,12/23/22 11:08 AM,911 21ST AVE SE,44.986938,-93.2229,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
-10377524.1998315,5619279.96813424,102,Lourdes,2022-2023,3,271122480727,2022/12/23 00:00:00+00,11:05:00,12/23/22 11:05 AM,879 21ST AVE SE,44.98576,-93.222886,478.1000(c),Snow emergency parking restrictions - odd number address,2,Como,University,3,4
